method,sequence,frame_count,dN_Acc,dN_Comp,dnormals,dCD_Acc,dCD_Comp,dchamferL2_old,dchamfer-L1,dchamfer-L2,dP_5,dR_5,dF_5,dP_10,dR_10,dF_10,dP_20,dR_20,dF_20
apuldi_local_pu1k_4x_2048_full,BlueSpeech,168,nan,nan,nan,-2.6314119098205424,-2.8922851409318575,-2.7618485253762,-5.5236970507524,-505.2805446774007,0.00019169561761581133,-0.1916026370903836,-0.15507515596443272,-0.0069347120017620445,-0.17895673453251137,-0.10299384251796417,-0.0546637105033283,-0.05407720664718896,-0.05433738848804304
apuldi_local_pu1k_4x_2048_full,BlueVolley,171,nan,nan,nan,-3.923724051595073,-3.465552460191372,-3.6946382558932243,-7.3892765117864485,-703.6431084317267,-0.021966045246197274,-0.18972343819676726,-0.16664402142230111,-0.04411190895664041,-0.19862138520003916,-0.14190109321137823,-0.07085829251693021,-0.05888717311581437,-0.06419982540589897
apuldi_local_pu1k_4x_2048_full,BouncingBlue,157,nan,nan,nan,-4.08173577056608,-3.514773548998331,-3.7982546597822093,-7.596509319564419,-1364.5004081007764,-0.020236362128107976,-0.15631540468806981,-0.13329789452165003,-0.03469344861492346,-0.17369930146051418,-0.12038146730004681,-0.05021489602140128,-0.05000889293258337,-0.049691257428390756
apuldi_local_pu1k_4x_2048_full,FitFluencer,201,nan,nan,nan,-4.054483377201086,-2.282104642560636,-3.1682940098808565,-6.336588019761713,-409.32280092791575,-0.060168308821497096,-0.1586681164722479,-0.1586608285935112,-0.09520455080342011,-0.11154455752362791,-0.10820914775236995,-0.101807358822951,-0.03390420862309329,-0.0628109005786911
apuldi_local_pu1k_4x_2048_full,GoodVision,167,nan,nan,nan,-4.273534791176033,-2.418532237522353,-3.3460335143491875,-6.692067028698375,-687.4915900277233,-0.027850128792957146,-0.12511408834620852,-0.11976669546736396,-0.0494364739650513,-0.09494538097078745,-0.08133594877378092,-0.07176633714507641,-0.0307055169682382,-0.047400378455195846
apuldi_local_pu1k_4x_2048_full,Mannequin,188,nan,nan,nan,-13.201957540262022,-2.402894113154872,-7.8024258267084505,-15.604851653416901,-2140.7163880827675,-0.07521182315658789,-0.11955241383266038,-0.12704798599282022,-0.1330706228275979,-0.08045394016805854,-0.10072057001200943,-0.17430655733875766,-0.026081074506031476,-0.08336747487175417
apuldi_local_pu1k_4x_2048_full,OrangeKettlebell,170,nan,nan,nan,-2.841784359993216,-2.7536690334632112,-2.7977266967282155,-5.595453393456431,-427.35832664220334,-0.015064647720928415,-0.17813573406155972,-0.1544584164597007,-0.03852731910617685,-0.1691619856544614,-0.11717113411943442,-0.055812366601661,-0.04681137912282185,-0.05113867128135818
apuldi_local_pu1k_4x_2048_full,PinkNoir,201,nan,nan,nan,-2.940392254513352,-1.493109251310969,-2.2167507529121586,-4.433501505824317,-680.3287715618037,-0.016051777194109718,-0.10484491732983038,-0.10546189482075027,-0.025349086377497,-0.06481841250761516,-0.05483302800380441,-0.03491343145675607,-0.015094620622811472,-0.022398257027151813
apuldi_local_pu1k_4x_2048_full,TicTacToe,165,nan,nan,nan,-5.42755920254662,-2.085599879879716,-3.756579541213167,-7.513159082426334,-407.2800799480374,-0.057292542342825464,-0.15192306729513022,-0.17607220950838443,-0.10738613827579846,-0.19934708501324677,-0.20966903534187215,-0.10971877355704918,-0.05755275774348173,-0.07628486402224266
apuldi_local_pu1k_4x_2048_full,TrumanShow,171,nan,nan,nan,-2.5693495800896784,-2.9529497569899483,-2.761149668539815,-5.52229933707963,-569.2227093209262,-0.010460055181345629,-0.17054820306497795,-0.1400303179035989,-0.01945678539036222,-0.1511900179081483,-0.09543887402732154,-0.036522817195349555,-0.046341803308790785,-0.04076447996160648
apuldi_local_pu1k_4x_2048_full,VictoryHeart,197,nan,nan,nan,-2.055150501942819,-3.141232379586963,-2.598191440764893,-5.196382881529786,-482.8627067627091,0.010509657386439442,-0.17995874667291464,-0.13169911069380663,0.004323918644077829,-0.167287180283489,-0.08681189609586604,-0.04044047103740367,-0.07451164649627473,-0.056508990942387816
apuldi_local_pu1k_4x_2048_full,VirtualLife,196,nan,nan,nan,-3.9216030423025146,-2.4080191886970397,-3.164811115499777,-6.329622230999554,-725.412732206813,-0.027706571472264074,-0.1731765712550713,-0.15762454461196584,-0.049601916540866875,-0.14173761770468105,-0.10906377558358654,-0.07366083160586201,-0.03957277584245844,-0.054861731224821186
crcir_aftercomp_4x_full,BlueSpeech,168,nan,nan,nan,-0.3332861753581309,0.3351509971205573,0.0009324108812105436,0.0018648217624210872,-20.282879135636904,-0.0003586853117245603,0.013420485492940504,0.005903783533104973,0.00021156104598935022,0.012577536221845986,0.005754917127699599,-0.009471197022889566,0.0071924965121663575,-0.0014612776133633432
crcir_aftercomp_4x_full,BlueVolley,171,nan,nan,nan,-0.3251276864603554,0.3701176600776108,0.022494986808627715,0.04498997361725543,-24.018289753800445,0.0023155650497382607,0.012835172239322012,0.007471906633656211,0.0009701759822053346,0.010521713466623228,0.00583996756564531,-0.006257029447561013,0.00684532329436105,0.000675329522442536
crcir_aftercomp_4x_full,BouncingBlue,157,nan,nan,nan,-0.35496014302931655,0.38553144737427303,0.015285652172480013,0.030571304344960026,-48.57588920123135,-0.0027016253845983107,0.011374134277796655,0.003533855145421899,-0.0039937476522017845,0.008916290093675061,0.0020667761156545894,-0.005038811373721197,0.006278625944580063,0.0008282509362178558
crcir_aftercomp_4x_full,FitFluencer,201,nan,nan,nan,-0.3615173379592669,0.37398891777792187,0.00623578990932927,0.01247157981865854,-12.927028373414032,-0.005041282150372417,0.010950326615630418,0.004863696456700928,-0.008096790315139657,0.010199576897013507,0.0031533016560840177,-0.008639323118521891,0.007743144398480339,0.0010778757445616405
crcir_aftercomp_4x_full,GoodVision,167,nan,nan,nan,-0.15037511675067705,0.36956079685554144,0.10959284005243575,0.2191856801048715,-8.480802870962634,0.0009924293158691255,0.008033373068025956,0.005196160314384718,0.0007604438025918259,0.007276117458943687,0.004797394044520176,-0.0014533276363922765,0.006075642754957367,0.003272885061806341
crcir_aftercomp_4x_full,Mannequin,188,nan,nan,nan,-1.0789294072729732,0.37662849210348526,-0.3511504575847404,-0.7023009151694808,-106.56925031295714,-0.011863134475758902,0.007562399343305659,0.000858548830475675,-0.020424446331043122,0.006939285177596788,-0.0021987663020733295,-0.019998937560644414,0.005446845485230722,-0.0031092181845272515
crcir_aftercomp_4x_full,OrangeKettlebell,170,nan,nan,nan,-0.2663945670914991,0.36036044771192266,0.046982940310215326,0.09396588062043065,-8.091966150804637,0.0004976631806251075,0.012631515198186616,0.0064409387572118,-0.0046494913081869815,0.011887189175268154,0.003415661979329243,-0.009757019048041937,0.00818002073724411,-0.0009271913038829682
crcir_aftercomp_4x_full,PinkNoir,201,nan,nan,nan,-0.29756838209723924,0.4627292607793372,0.08258043934105075,0.1651608786821015,-22.5593123634344,0.0002804545482266996,0.009152357203568329,0.006268239637240908,0.0012081884286489486,0.009045269832557767,0.006522668661056996,0.0007536662094113078,0.008462293175340363,0.00591583287495534
crcir_aftercomp_4x_full,TicTacToe,165,nan,nan,nan,-0.5615674255038581,0.7079327434419653,0.07318265896904919,0.14636531793809837,79.68294063892608,-0.0063614142813000485,0.00834637994944748,0.004059464935771251,-0.0152990391371563,0.006956397251583146,0.000520203378855888,-0.012836037935300304,0.005230360529622169,-0.00011062040185960687
crcir_aftercomp_4x_full,TrumanShow,171,nan,nan,nan,-0.19961938235564602,0.3460342238189611,0.07320742073165576,0.14641484146331152,-9.730505789747667,-0.00035226926393111535,0.011191061994611035,0.004877921120293532,-0.0007320857616998633,0.009557139210829735,0.00412782969969433,-0.0037405627504245587,0.006678061675393643,0.0017111646548130244
crcir_aftercomp_4x_full,VictoryHeart,197,nan,nan,nan,-0.26428896750252306,0.338175183870856,0.036943108184164686,0.07388621636832937,-13.274608597144379,6.418010234079952e-05,0.013440791409933789,0.005287287654608813,-0.0016668832457497063,0.012350010742206263,0.004078535898982549,-0.009996476602538995,0.007053385684454017,-0.0022788521378943605
crcir_aftercomp_4x_full,VirtualLife,196,nan,nan,nan,-0.15658047962085675,0.3678309183515438,0.10562521936534353,0.21125043873068705,-19.39016979646408,0.005187525103931057,0.011426847563234949,0.00857726120008373,0.0068580132152092355,0.010076451286631372,0.008662107226126703,-0.002043601211357049,0.0073189898015473265,0.0032211409447143735
neuralpoints_16x_2048_full,BlueSpeech,168,nan,nan,nan,-2.8558010765151955,-0.20086276387469582,-1.5283319201949457,-3.0566638403898914,-597.9344598279301,-0.002222644447023331,-0.10532991000655934,-0.06428860466347947,-0.00809183683900161,-0.031366555143817754,-0.018618156663303298,-0.045533141771929575,0.01019477938467972,-0.019546033123204687
neuralpoints_16x_2048_full,BlueVolley,171,nan,nan,nan,-4.3422470389842225,-0.40506459931040695,-2.3736558191473165,-4.747311638294633,-712.2813091814603,-0.023112149846891722,-0.12308490389720045,-0.089025519257798,-0.04568561658182313,-0.051583237501699464,-0.048131246692839524,-0.07280642048659391,0.0037084736773685956,-0.0342691184322208
neuralpoints_16x_2048_full,BouncingBlue,157,nan,nan,nan,-4.792402377300764,0.23959771386438078,-2.2764023317181916,-4.552804663436383,-1573.3577569579493,-0.020912608333820554,-0.10632635598549224,-0.0749251412414048,-0.035765451438868556,-0.03898009619316217,-0.03683328057232116,-0.05297916658519508,0.01408512399634132,-0.02010812793421235
neuralpoints_16x_2048_full,FitFluencer,201,nan,nan,nan,-4.2128315668786325,0.9118458329659092,-1.650492866956359,-3.300985733912718,-408.0601206091226,-0.053830976926285634,-0.07284808829541808,-0.06888985131603326,-0.08822771622630571,0.013283643689760205,-0.0305885949323364,-0.0974764438178981,0.03458738840593523,-0.02448062863029543
neuralpoints_16x_2048_full,GoodVision,167,nan,nan,nan,-4.891506912628362,0.8718878249538733,-2.0098095438372425,-4.019619087674485,-681.3320573377387,-0.030171109390356082,-0.0663897016011301,-0.056280621363479444,-0.0523398469066681,-0.0058970197733422824,-0.02587073238416482,-0.07504743364348587,0.020045148631459564,-0.020176254615791644
neuralpoints_16x_2048_full,Mannequin,188,nan,nan,nan,-13.742311647583392,1.4290650923850627,-6.15662327759917,-12.31324655519834,-2057.952437542588,-0.0752522427148492,-0.05654942728298361,-0.06474079102341608,-0.13549092649697958,0.0073839708701174955,-0.0517632632305679,-0.17921972508933942,0.02703151567136769,-0.05777234356266259
neuralpoints_16x_2048_full,OrangeKettlebell,170,nan,nan,nan,-2.8861148041522426,0.0009085800471417826,-1.4426031120525522,-2.8852062241051044,-402.0403115152244,-0.014300272146479887,-0.10028143348382702,-0.06942898678615153,-0.034963763557004035,-0.0206455216175761,-0.02773773039500904,-0.04817597097895876,0.01989424919405891,-0.015768580131475307
neuralpoints_16x_2048_full,PinkNoir,201,nan,nan,nan,-3.325751909328538,2.5636052230197635,-0.3810733431543909,-0.7621466863087818,-606.4881621070888,-0.018066392836600387,-0.04117696073813501,-0.036289845081741476,-0.028951982541209675,0.02940701805466095,0.006883691885337995,-0.03824258038982509,0.057547973852261014,0.020095213689103053
neuralpoints_16x_2048_full,TicTacToe,165,nan,nan,nan,-5.390263156632164,2.2206568883046387,-1.584803134163753,-3.169606268327506,0.5528649384959863,-0.05364855855968151,-0.11483808040271311,-0.12029552445084653,-0.10457408216784392,-0.0711642297800141,-0.08475739486291123,-0.10562756853810973,-0.0020052901588993866,-0.03643935995667502
neuralpoints_16x_2048_full,TrumanShow,171,nan,nan,nan,-2.9604967858073934,-0.08829788393920168,-1.5243973348732993,-3.0487946697465986,-605.1713954291538,-0.011584208541634389,-0.09889224605040235,-0.06400280453499946,-0.02028343698027446,-0.026689495432206667,-0.022760490370168696,-0.035590871037637584,0.010223432418376754,-0.012233263887763801
neuralpoints_16x_2048_full,VictoryHeart,197,nan,nan,nan,-2.152379103361085,-0.6817631585209867,-1.4170711309410393,-2.8341422618820786,-547.9338180370111,0.019713882878190703,-0.09509563342245315,-0.04325675387255776,0.013446350829991516,-0.019257807149943573,-0.0005926237120065236,-0.03959511863218479,-0.02531975943896181,-0.03325025268535653
neuralpoints_16x_2048_full,VirtualLife,196,nan,nan,nan,-4.095200450642714,0.5488024031633039,-1.7731990237397035,-3.546398047479407,-777.5186360155133,-0.028061883274719424,-0.09468909262130999,-0.07292979341422887,-0.05002885123075845,-0.015444854311829237,-0.0313878720245222,-0.06922566215233839,0.026091148361526706,-0.018634629101793032
pucrn_pu1k_4x_full,BlueSpeech,168,nan,nan,nan,-0.0187602803872835,0.8590712847302449,0.4201555021714771,0.8403110043429542,38.53305524866232,-9.544393892155223e-05,0.03470720639772876,0.01481256970007147,-0.0005379576410400877,0.03349737380809498,0.01409448698947574,-0.0007585509480638741,0.017752187616558057,0.008117534914569235
pucrn_pu1k_4x_full,BlueVolley,171,nan,nan,nan,-0.029440197245143906,0.896661335865204,0.43361056931003006,0.8672211386200601,48.884850977884525,-0.00041496658332418335,0.029380740432094127,0.01322859502931542,-0.0006048344775778092,0.026441436779751193,0.012462519823376317,-0.0007836982430813322,0.016955871732302286,0.008439855291408338
pucrn_pu1k_4x_full,BouncingBlue,157,nan,nan,nan,0.016855955575294956,1.0584941507056271,0.537675053140461,1.075350106280922,80.84700326952134,0.0001753510421292348,0.0233221898789083,0.010044154774847519,0.00038559444628633033,0.021271932137746752,0.00985819428367718,0.0005094961296624456,0.017166391351882027,0.008958322278657782
pucrn_pu1k_4x_full,FitFluencer,201,nan,nan,nan,-0.008348976968985511,1.1006012047284273,0.5461261138797191,1.0922522277594382,62.95799481118297,-0.00041911167180302966,0.027109822054784044,0.0162806503008964,-0.00040242585339700376,0.02789264161020849,0.016925479564645185,-0.0002755956500114509,0.023274502995000335,0.0137366329594647
