method,sequence,frame_count,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
apuldi_local_pu1k_4x_2048_full,BlueSpeech,168,nan,nan,nan,16.761026323190592,19.469937101386567,18.115481712288577,36.230963424577155,1604.1318481842688,0.21569024948846727,0.04054609338391494,0.06824975820782132,0.40433175223214285,0.2788389086019462,0.32999122407432574,0.6962941487630209,0.7196881042760268,0.7077235744367025
apuldi_local_pu1k_4x_2048_full,BlueVolley,171,nan,nan,nan,20.03223388408909,23.147487984680936,21.589860934385015,43.17972186877003,2028.56682104198,0.19290107593201755,0.028326519907656743,0.04939532228931285,0.36407149465460525,0.20831419126509623,0.26497639142173646,0.6317060147112573,0.6063865740468368,0.6185577588116975
apuldi_local_pu1k_4x_2048_full,BouncingBlue,157,nan,nan,nan,26.271988486424572,31.35926572020086,28.81562710331272,57.63125420662544,4020.1753456202496,0.14165832130772293,0.020117448916836565,0.03521662836783991,0.2708545854896497,0.15106250363419513,0.19385653649195952,0.4967911835688694,0.47924076234889557,0.4876408942464051
apuldi_local_pu1k_4x_2048_full,FitFluencer,201,nan,nan,nan,17.64866576365664,23.09256261947496,20.3706141915658,40.7412283831316,1616.0401977597228,0.2009161953902363,0.040130345804174246,0.06689375808140036,0.37908844449626866,0.2562618751798915,0.30578479984667,0.6588456642568408,0.5883041739502343,0.6214976477941593
apuldi_local_pu1k_4x_2048_full,GoodVision,167,nan,nan,nan,24.714679139441827,31.9183952692025,28.31653720432216,56.63307440864432,2993.2114959090286,0.15809567388660178,0.02857313486862891,0.0483969873875168,0.29770683242889223,0.18638163923790232,0.2292153417302586,0.529158723568488,0.4403633008500894,0.4805484830332194
apuldi_local_pu1k_4x_2048_full,Mannequin,188,nan,nan,nan,32.67785855375083,34.48464542333288,33.58125198854186,67.16250397708372,4795.336670419132,0.14340274891954788,0.03141451880306331,0.05153618699298442,0.27290116979720747,0.1949194600931485,0.22740087830799996,0.47762412213264627,0.42440466235274893,0.44941379638118123
apuldi_local_pu1k_4x_2048_full,OrangeKettlebell,170,nan,nan,nan,18.41342219626745,20.530040193748725,19.47173119500809,38.94346239001618,1503.992441302854,0.19882453469669117,0.03439761101006141,0.05863794064454257,0.3730705710018382,0.2435605025530449,0.2946686945139501,0.6465274586397058,0.6576844157395959,0.6519149864493098
apuldi_local_pu1k_4x_2048_full,PinkNoir,201,nan,nan,nan,20.460030062434747,29.79832465358292,25.129177358008835,50.25835471601767,2583.6391121032375,0.1784394677005597,0.0330279810356532,0.05573707963861199,0.3371594177549751,0.1988434734794653,0.2501387909567752,0.5993634124300373,0.4536908993680686,0.5163657089870629
apuldi_local_pu1k_4x_2048_full,TicTacToe,165,nan,nan,nan,19.331099482750197,41.598160258497636,30.464629870623916,60.92925974124783,4422.974186676879,0.20090923887310605,0.013567368371978937,0.02541773562839416,0.38166429924242423,0.10647088099988689,0.16649030369896362,0.6440474076704545,0.4243146129754997,0.5115332132619151
apuldi_local_pu1k_4x_2048_full,TrumanShow,171,nan,nan,nan,20.43430987969391,23.762042762857728,22.09817632127582,44.19635264255164,2004.847262523556,0.17872592859100878,0.032929245857199835,0.05560870267790966,0.33928479646381576,0.22719227721581214,0.27211728194649826,0.6044829073008041,0.5817019534886926,0.5926361697224263
apuldi_local_pu1k_4x_2048_full,VictoryHeart,197,nan,nan,nan,17.95339542850193,19.6718766795829,18.812636054042414,37.62527210808483,1465.4788291767031,0.1829586125872462,0.03565992294726287,0.05968373900102555,0.35359989689086296,0.25141931542475404,0.2938643443658676,0.6578505462801396,0.6832068374863689,0.6702401123102235
apuldi_local_pu1k_4x_2048_full,VirtualLife,196,nan,nan,nan,17.979283011031782,23.025838037216168,20.502560524123975,41.00512104824795,2046.6003569098305,0.2041644660794005,0.037136557825414605,0.06284040820938089,0.38763490015146684,0.2497103640094495,0.30373010553873275,0.6754667321029975,0.6195238666089029,0.6461552243457921
cg_baseline,BlueSpeech,1344,nan,nan,nan,14.12961441337005,16.57765196045471,15.353633186912377,30.707266373824755,1098.8513035068681,0.21549855387085146,0.23214873047429854,0.22332491417225403,0.4112664642339049,0.4577956431344576,0.4329850665922899,0.7509578592663492,0.7737653109232158,0.7620609629247456
cg_baseline,BlueVolley,1368,nan,nan,nan,16.10850983249402,19.681935524489564,17.89522267849179,35.79044535698358,1324.9237126102532,0.21486712117821483,0.218049958104424,0.21603934371161396,0.40818340361124567,0.4069355764651354,0.4068774846331147,0.7025643072281875,0.6652737471626512,0.6827575842175965
cg_baseline,BouncingBlue,1256,nan,nan,nan,22.19025271585849,27.84449217120253,25.017372443530512,50.034744887061024,2655.674937519473,0.1618946834358309,0.17643285360490638,0.16851452288948993,0.30554803410457315,0.3247618050947093,0.31423800379200634,0.5470060795902707,0.5292496552814789,0.5373321516747959
cg_baseline,FitFluencer,1608,nan,nan,nan,13.594182386455556,20.810457976914325,17.202320181684943,34.404640363369886,1206.717396831807,0.2610845042117334,0.19879846227642214,0.22555458667491154,0.47429299529968877,0.3678064327035194,0.41399394759903996,0.7606530230797918,0.6222083825733276,0.6843085483728504
cg_baseline,GoodVision,1336,nan,nan,nan,20.441144348265794,29.499863031680146,24.970503689972972,49.941007379945944,2305.7199058813053,0.18594580267955893,0.15368722321483744,0.16816368285488076,0.34714330639394353,0.28132702020868977,0.3105512905040395,0.6009250607135644,0.4710688178183276,0.5279488614884152
cg_baseline,Mannequin,1504,nan,nan,nan,19.47590101348881,32.08175131017801,25.778826161833408,51.557652323666815,2654.6202823363647,0.21861457207613577,0.1509669326357237,0.17858417298580465,0.40597179262480537,0.27537340026120705,0.3281214483200094,0.6519306794714039,0.4504857368587804,0.5327812712529354
cg_baseline,OrangeKettlebell,1360,nan,nan,nan,15.571637836274235,17.776371160285514,16.674004498279874,33.34800899655975,1076.6341146606508,0.2138891824176196,0.21253334507162114,0.2130963571042433,0.41159789010801506,0.4127224882075063,0.41183982863338453,0.7023398252413668,0.7044957948624178,0.703053657730668
