sequence,frame,cg_v2_file,he_file,expected_sequence_frames,sequence_common_frames,sequence_cg_frames,sequence_he_frames,missing_cg_count,missing_he_count
BlueSpeech,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0000.ply,169,168,169,168,0,1
BlueSpeech,0001,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0001.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0001.ply,169,168,169,168,0,1
BlueSpeech,0002,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0002.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0002.ply,169,168,169,168,0,1
BlueSpeech,0003,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0003.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0003.ply,169,168,169,168,0,1
BlueSpeech,0004,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0004.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0004.ply,169,168,169,168,0,1
BlueSpeech,0005,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0005.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0005.ply,169,168,169,168,0,1
BlueSpeech,0006,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0006.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0006.ply,169,168,169,168,0,1
BlueSpeech,0007,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0007.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0007.ply,169,168,169,168,0,1
BlueSpeech,0008,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0008.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0008.ply,169,168,169,168,0,1
BlueSpeech,0009,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/cg/15fps/BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0009.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/BlueSpeech/he/15fps/BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0009.ply,169,168,169,168,0,1
