method,category,method_dir,decision,geometry_summary,CD_Acc_baseline,CD_Acc_method,CD_Acc_delta_for_better,CD_Comp_baseline,CD_Comp_method,CD_Comp_delta_for_better,chamfer-L1_baseline,chamfer-L1_method,chamfer-L1_delta_for_better,F_10_baseline,F_10_method,F_10_delta_for_better,F_20_baseline,F_20_method,F_20_delta_for_better,yuv_psnr_mean_baseline,yuv_psnr_mean_method,yuv_psnr_mean_delta_for_better,projection_ssim_mean_baseline,projection_ssim_mean_method,projection_ssim_mean_delta_for_better,projection_lpips_mean_baseline,projection_lpips_mean_method,projection_lpips_mean_delta_for_better,pcqm_baseline,pcqm_method,pcqm_delta_for_better
PointCleanNet,Denoising,pointcleannet_selected10,Candidate,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/pointcleannet_selected10/summary_metrics.csv,25.517652660152855,25.4359448294341,0.08170783071875576,27.60646585734178,27.074636177870946,0.5318296794708353,53.12411851749463,52.51058100730504,0.6135375101895875,0.2458615939694805,0.256220566257268,0.01035897228778751,0.45518571191709434,0.4599415389898495,0.004755827072755181,21.170754385288113,21.2200706012733,0.04931621598518632,0.6190367089038592,0.6155117581786047,-0.0035249507252544943,0.4684055795272192,0.49822708020607626,-0.029821500678857082,0.1147357,0.1138534,-0.0008823000000000025
Pointfilter,Denoising,pointfilter_selected10,Negative baseline,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/pointfilter_selected10/summary_metrics.csv,25.517652660152855,24.787778568924104,0.7298740912287514,27.60646585734178,35.69822869078429,-8.091762833442509,53.12411851749463,60.4860072597084,-7.361888742213772,0.2458615939694805,0.21192293432744602,-0.03393865964203449,0.45518571191709434,0.39516220127408314,-0.0600235106430112,21.170754385288113,21.33469352418527,0.16393913889715606,0.6190367089038592,0.6077015393121629,-0.011335169591696337,0.4684055795272192,0.4889408136407535,-0.020535234113534306,0.1147357,0.11256019999999997,-0.0021755000000000246
MAG,Denoising,mag_selected10,Candidate,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/mag_selected10/summary_metrics.csv,25.517652660152855,25.087147861247846,0.4305047989050088,27.60646585734178,27.80769168361467,-0.2012258262728892,53.12411851749463,52.89483954486252,0.22927897263210895,0.2458615939694805,0.24839041778702398,0.002528823817543463,0.45518571191709434,0.459355543077519,0.004169831160424686,21.170754385288113,21.1778857253793,0.007131340091188321,0.6190367089038592,0.6188868237849416,-0.00014988511891755874,0.4684055795272192,0.46880911340316134,-0.0004035338759421636,0.1147357,0.1141017,-0.0006339999999999957
Score-Denoise,Denoising,score_denoise_selected10,Candidate,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/score_denoise_selected10/summary_metrics.csv,25.517652660152855,25.08631872244561,0.4313339377072438,27.60646585734178,27.809362848949057,-0.20289699160727537,53.12411851749463,52.89568157139466,0.22843694609996845,0.2458615939694805,0.24838339208941757,0.002521798119937052,0.45518571191709434,0.45932832262434903,0.00414261070725469,21.170754385288113,21.17839232719825,0.007637941910136448,0.6190367089038592,0.6189199963777323,-0.0001167125261268831,0.4684055795272192,0.4685332079728445,-0.00012762844562530518,0.1147357,0.1141065,-0.0006291999999999964
P2P-Bridge,Denoising,p2p_bridge_pvds_punet_selected10,Candidate,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/p2p_bridge_pvds_punet_selected10/summary_metrics.csv,25.517652660152855,23.783172587054302,1.7344800730985526,27.60646585734178,27.872661158536886,-0.26619530119510415,53.12411851749463,51.65583374559119,1.4682847719034413,0.2458615939694805,0.256636094198161,0.010774500228680511,0.45518571191709434,0.4732616192716287,0.01807590735453435,21.170754385288113,21.635153911600348,0.4643995263122349,0.6190367089038592,0.6149854153185143,-0.0040512935853449505,0.4684055795272192,0.4751443689068159,-0.00673878937959671,0.1147357,0.10142359999999999,-0.013312100000000007
PathNet,Denoising,pathnet_chunked_selected10,Included / weak-mixed,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/pathnet_chunked_selected10/summary_metrics.csv,25.517652660152855,25.526143439210585,-0.008490779057730435,27.60646585734178,27.65684011383321,-0.050374256491426905,53.12411851749463,53.1829835530438,-0.058865035549168,0.2458615939694805,0.2464522600100536,0.0005906660405730901,0.45518571191709434,0.4563661375022413,0.0011804255851469714,21.170754385288113,21.1776497991536,0.006895413865485978,0.6190367089038592,0.6163731277009294,-0.0026635812029297545,0.4684055795272192,0.47804118494192754,-0.00963560541470837,0.1147357,0.1149862,0.0002505000000000007
GQE-Net,Color / texture enhancement,gqenet_selected10,Candidate for texture,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/gqenet_selected10/summary_metrics.csv,25.517652660152855,25.51765265830818,1.844675523443584e-09,27.60646585734178,27.60646596303536,-1.0569358011025543e-07,53.12411851749463,53.12411862134354,-1.038489116922392e-07,0.2458615939694805,0.24586159031243832,-3.657042196847371e-09,0.45518571191709434,0.45518572969459337,1.777749902842629e-08,21.170754385288113,21.23105528603996,0.06030090075184802,0.6190367089038592,0.6199869626555502,0.0009502537516909992,0.4684055795272192,0.4674179072181384,0.000987672309080756,0.1147357,0.1155723,0.0008366000000000068
Octree upsample-clean,Joint upsampling / cleaning,upsample_clean_ounet_selected10,Candidate,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/upsample_clean_ounet_selected10/summary_metrics.csv,25.517652660152855,23.264428612987423,2.253224047165432,27.60646585734178,27.18431298493103,0.42215287241075217,53.12411851749463,50.44874159791845,2.6753769195761805,0.2458615939694805,0.284492918798389,0.03863132482890849,0.45518571191709434,0.4937007541075517,0.03851504219045737,21.170754385288113,21.25375915429361,0.08300476900549825,0.6190367089038592,0.5345964802632266,-0.08444022864063261,0.4684055795272192,0.6732012162605922,-0.20479563673337298,0.1147357,0.1053873,-0.009348399999999993
PU-Flow,Upsampling,puflow_discrete_selected10,Candidate,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/puflow_discrete_selected10/summary_metrics.csv,25.517652660152855,25.199674979334123,0.317977680818732,27.60646585734178,25.481628903427634,2.124836953914148,53.12411851749463,50.68130388276175,2.4428146347328763,0.2458615939694805,0.2591057579355355,0.013244163966054961,0.45518571191709434,0.4789100094576252,0.023724297540530848,21.170754385288113,21.07075988961369,-0.09999449567442298,0.6190367089038592,0.8631550639868015,0.24411835508294233,0.4684055795272192,0.1932157024430732,0.275189877084146,0.1147357,0.10048913,-0.01424657
PC2-PU,Upsampling,pc2pu_4x_chunks256_selected10,Candidate / weak-positive geometry,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/uvg_cwi_dqpc/OrangeKettlebell/pc2pu_4x_chunks256_selected10/summary_metrics.csv,25.517652660152855,25.456644172892258,0.06100848726059738,27.60646585734178,27.64371077271416,-0.03724491537237995,53.12411851749463,53.10035494560641,0.023763571888217427,0.2458615939694805,0.24653171025268644,0.0006701162832059293,0.45518571191709434,0.45562675609354486,0.0004410441764505224,21.170754385288113,21.174253479437844,0.0034990941497312633,0.6190367089038592,0.6324029299033254,0.01336622099946616,0.4684055795272192,0.4182829216122627,0.05012265791495646,0.1147357,0.1147413,5.600000000008376e-06
