method,sequence,frame,pred_file,ref_file,point_count,y_psnr,u_psnr,v_psnr,yuv_psnr_mean,projection_ssim_mean,projection_lpips_mean,pcqm
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502941,17.87026437855683,21.369983633346276,24.078122227607267,21.106123413170124,0.6206519121519233,0.459532767534256,0.118726
gqenet_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/gqenet_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502941,17.883797699445704,21.35477105195632,24.29543914451493,21.17800263197232,0.6215304952414556,0.4584472080071767,0.119836
mag_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/mag_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502941,17.899013743233414,21.35933592546454,24.000801189196245,21.086383619298065,0.6096999914047644,0.47218504548072815,0.118521
score_denoise_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/score_denoise_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502941,17.903849221728038,21.35914805630849,24.000690552966212,21.08789594366758,0.6096410747660089,0.47198717792828876,0.118447
pointcleannet_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointcleannet_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502941,17.938843599050276,21.367606825810086,24.161834024390792,21.15609481641705,0.6144121405377472,0.48628027240435284,0.11788
upsample_clean_ounet_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/upsample_clean_ounet_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,50519,17.775329607020424,21.461727828831055,24.252243148100437,21.16310019465064,0.4554130437920181,0.7588168481985728,0.110889
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,564767,18.106273196316515,21.48408873589557,24.26798384545686,21.28611525922298,0.5560633924646526,0.5411478281021118,0.11499
gqenet_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/gqenet_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,564767,18.121163000959868,21.46930510355952,24.47092255870968,21.353796887743027,0.5570987844553924,0.5401581029097239,0.115803
mag_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/mag_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,564767,18.14842789135838,21.46328483616417,24.180583319636472,21.264098682386344,0.5567287460521674,0.5391642302274704,0.113695
score_denoise_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/score_denoise_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,564767,18.147866924474435,21.464463531215713,24.18258154189232,21.264970665860822,0.556725237133158,0.5381057113409042,0.113645
