method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
gqenet_selected10,OrangeKettlebell,0000,x_pos,0.484051838569733,0.6355488300323486
gqenet_selected10,OrangeKettlebell,0000,x_neg,0.49462504175915206,0.6400039792060852
gqenet_selected10,OrangeKettlebell,0000,y_pos,0.6510375392408574,0.4256236255168915
gqenet_selected10,OrangeKettlebell,0000,y_neg,0.6419917558694577,0.4477001428604126
gqenet_selected10,OrangeKettlebell,0000,z_pos,0.7259286036525201,0.30235347151756287
gqenet_selected10,OrangeKettlebell,0000,z_neg,0.7315481923570136,0.2994531989097595
mag_selected10,OrangeKettlebell,0000,x_pos,0.49857670691058287,0.6122258901596069
mag_selected10,OrangeKettlebell,0000,x_neg,0.5094532483376208,0.6164829730987549
mag_selected10,OrangeKettlebell,0000,y_pos,0.6297881795312087,0.4629221558570862
mag_selected10,OrangeKettlebell,0000,y_neg,0.6193304822169563,0.48559197783470154
mag_selected10,OrangeKettlebell,0000,z_pos,0.6981610322228894,0.3278302252292633
mag_selected10,OrangeKettlebell,0000,z_neg,0.7028902992093286,0.32805705070495605
score_denoise_selected10,OrangeKettlebell,0000,x_pos,0.49921817271221264,0.6161368489265442
score_denoise_selected10,OrangeKettlebell,0000,x_neg,0.5100063470685293,0.617090106010437
score_denoise_selected10,OrangeKettlebell,0000,y_pos,0.6292103229664131,0.4580860435962677
score_denoise_selected10,OrangeKettlebell,0000,y_neg,0.619028656063939,0.4831307828426361
score_denoise_selected10,OrangeKettlebell,0000,z_pos,0.698050383378119,0.326446533203125
score_denoise_selected10,OrangeKettlebell,0000,z_neg,0.702332566406841,0.33103275299072266
pointcleannet_selected10,OrangeKettlebell,0000,x_pos,0.47009053033590836,0.6845488548278809
pointcleannet_selected10,OrangeKettlebell,0000,x_neg,0.4757042908792936,0.6850948333740234
pointcleannet_selected10,OrangeKettlebell,0000,y_pos,0.6514674388284298,0.44312164187431335
pointcleannet_selected10,OrangeKettlebell,0000,y_neg,0.6441835440452133,0.4605303406715393
pointcleannet_selected10,OrangeKettlebell,0000,z_pos,0.7209599874783222,0.3192818760871887
pointcleannet_selected10,OrangeKettlebell,0000,z_neg,0.7240670516593158,0.32510408759117126
upsample_clean_ounet_selected10,OrangeKettlebell,0000,x_pos,0.4520533259533817,0.7606046199798584
upsample_clean_ounet_selected10,OrangeKettlebell,0000,x_neg,0.4520910687058089,0.7691558599472046
upsample_clean_ounet_selected10,OrangeKettlebell,0000,y_pos,0.4163126148360876,0.8174579739570618
upsample_clean_ounet_selected10,OrangeKettlebell,0000,y_neg,0.4083203141635272,0.8316977024078369
upsample_clean_ounet_selected10,OrangeKettlebell,0000,z_pos,0.5019742999880633,0.6857956051826477
upsample_clean_ounet_selected10,OrangeKettlebell,0000,z_neg,0.50172663910524,0.6881893277168274
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
gqenet_selected10,OrangeKettlebell,0010,x_pos,0.4859243831935163,0.6320105791091919
gqenet_selected10,OrangeKettlebell,0010,x_neg,0.4934464466990129,0.6419339179992676
gqenet_selected10,OrangeKettlebell,0010,y_pos,0.4861708164706368,0.6455919742584229
gqenet_selected10,OrangeKettlebell,0010,y_neg,0.4768478364522238,0.6450397372245789
gqenet_selected10,OrangeKettlebell,0010,z_pos,0.6983458369904647,0.33703160285949707
gqenet_selected10,OrangeKettlebell,0010,z_neg,0.7018573869265002,0.33934080600738525
mag_selected10,OrangeKettlebell,0010,x_pos,0.4837124135987851,0.6318262815475464
mag_selected10,OrangeKettlebell,0010,x_neg,0.49125850075955807,0.639310896396637
mag_selected10,OrangeKettlebell,0010,y_pos,0.48652708703519537,0.6438314318656921
mag_selected10,OrangeKettlebell,0010,y_neg,0.4771371889055917,0.6454468369483948
mag_selected10,OrangeKettlebell,0010,z_pos,0.6987674459233943,0.3359672427177429
mag_selected10,OrangeKettlebell,0010,z_neg,0.7029698400904794,0.3386026918888092
score_denoise_selected10,OrangeKettlebell,0010,x_pos,0.48367395989269313,0.6315449476242065
score_denoise_selected10,OrangeKettlebell,0010,x_neg,0.49143390482943855,0.6415257453918457
score_denoise_selected10,OrangeKettlebell,0010,y_pos,0.4865311020523071,0.6409856677055359
score_denoise_selected10,OrangeKettlebell,0010,y_neg,0.4777603275325286,0.6434673070907593
score_denoise_selected10,OrangeKettlebell,0010,z_pos,0.6985172403085209,0.33373504877090454
score_denoise_selected10,OrangeKettlebell,0010,z_neg,0.70243488818346,0.33737555146217346
pointcleannet_selected10,OrangeKettlebell,0010,x_pos,0.47132008704072187,0.667792558670044
pointcleannet_selected10,OrangeKettlebell,0010,x_neg,0.4766713218622458,0.6748505234718323
pointcleannet_selected10,OrangeKettlebell,0010,y_pos,0.5190689289929664,0.6519076824188232
pointcleannet_selected10,OrangeKettlebell,0010,y_neg,0.5117601869019816,0.6447845101356506
pointcleannet_selected10,OrangeKettlebell,0010,z_pos,0.7040434847655893,0.36008214950561523
pointcleannet_selected10,OrangeKettlebell,0010,z_neg,0.7059597761675489,0.36585864424705505
upsample_clean_ounet_selected10,OrangeKettlebell,0010,x_pos,0.4538307639874432,0.7662832140922546
upsample_clean_ounet_selected10,OrangeKettlebell,0010,x_neg,0.4549113064809373,0.7786946296691895
upsample_clean_ounet_selected10,OrangeKettlebell,0010,y_pos,0.47647805960012773,0.770576000213623
upsample_clean_ounet_selected10,OrangeKettlebell,0010,y_neg,0.4702514030589642,0.7633532881736755
upsample_clean_ounet_selected10,OrangeKettlebell,0010,z_pos,0.6538996147007072,0.5306301116943359
upsample_clean_ounet_selected10,OrangeKettlebell,0010,z_neg,0.6533029171671847,0.5355321764945984
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
gqenet_selected10,OrangeKettlebell,0020,x_pos,0.5029198021358531,0.623916506767273
gqenet_selected10,OrangeKettlebell,0020,x_neg,0.5115067240442428,0.6281064748764038
gqenet_selected10,OrangeKettlebell,0020,y_pos,0.5456008415774817,0.576819896697998
gqenet_selected10,OrangeKettlebell,0020,y_neg,0.5379524349448774,0.5952502489089966
gqenet_selected10,OrangeKettlebell,0020,z_pos,0.7463061899415139,0.27473726868629456
gqenet_selected10,OrangeKettlebell,0020,z_neg,0.7521167743238695,0.2761164903640747
mag_selected10,OrangeKettlebell,0020,x_pos,0.5021714016617791,0.6201960444450378
mag_selected10,OrangeKettlebell,0020,x_neg,0.5089490868766435,0.6245671510696411
mag_selected10,OrangeKettlebell,0020,y_pos,0.5458330213611389,0.5730878114700317
mag_selected10,OrangeKettlebell,0020,y_neg,0.5380150150885524,0.594131588935852
mag_selected10,OrangeKettlebell,0020,z_pos,0.7462052861840629,0.27815788984298706
mag_selected10,OrangeKettlebell,0020,z_neg,0.7516362252213704,0.27799636125564575
score_denoise_selected10,OrangeKettlebell,0020,x_pos,0.5022168924807088,0.6189795732498169
score_denoise_selected10,OrangeKettlebell,0020,x_neg,0.5088214092490205,0.6267979741096497
score_denoise_selected10,OrangeKettlebell,0020,y_pos,0.5456538916581007,0.5715616345405579
score_denoise_selected10,OrangeKettlebell,0020,y_neg,0.5380553224660521,0.5908576250076294
