method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,x_pos,0.43921248917737404,0.8714563250541687
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,x_neg,0.4397291808222941,0.8780601024627686
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,y_pos,0.6316331098394673,0.5803646445274353
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,y_neg,0.6293934911056764,0.5960268378257751
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,z_pos,0.6725609816047863,0.555012047290802
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,z_neg,0.6724651825905577,0.5587737560272217
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,x_pos,0.44837635554118155,0.8601880073547363
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,x_neg,0.44896253100126066,0.8688289523124695
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,y_pos,0.4774260595967243,0.8025040030479431
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,y_neg,0.47409545424855803,0.8112140893936157
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,z_pos,0.6386631099636141,0.611519455909729
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,z_neg,0.6384956717912771,0.6162196397781372
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,x_pos,0.4633947383937113,0.8470260500907898
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,x_neg,0.4640916515461895,0.8534660935401917
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,y_pos,0.5303163706491648,0.7472350597381592
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,y_neg,0.5293351296186218,0.7543426156044006
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,z_pos,0.6920520742326767,0.5393509864807129
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,z_neg,0.6922211497429478,0.5425729751586914
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,x_pos,0.522912653990155,0.7663798332214355
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,x_neg,0.5232223105521473,0.7712433338165283
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,y_pos,0.6864483766161323,0.5473395586013794
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,y_neg,0.6846393751180871,0.5609238147735596
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,z_pos,0.7054597610450549,0.5137631893157959
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,z_neg,0.7054575408018063,0.5159558653831482
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,x_pos,0.4672608890612344,0.839111328125
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,x_neg,0.4675692959190825,0.843456506729126
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,y_pos,0.6605822482831666,0.5429523587226868
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,y_neg,0.658299355988157,0.5534282326698303
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,z_pos,0.6932948492113683,0.513881266117096
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,z_neg,0.6932997989994947,0.5146669745445251
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
cg_baseline,OrangeKettlebell,0050,x_neg,0.5312544288567778,0.6144236326217651
cg_baseline,OrangeKettlebell,0050,y_pos,0.5468503578486023,0.5701625943183899
cg_baseline,OrangeKettlebell,0050,y_neg,0.5398016445151975,0.5815996527671814
cg_baseline,OrangeKettlebell,0050,z_pos,0.7351502960839609,0.29310142993927
cg_baseline,OrangeKettlebell,0050,z_neg,0.7386926327159101,0.2925269603729248
neuralpoints_16x_2048_selected10,OrangeKettlebell,0050,x_pos,0.502085596362882,0.7992329597473145
neuralpoints_16x_2048_selected10,OrangeKettlebell,0050,x_neg,0.5020226260445319,0.8079349994659424
neuralpoints_16x_2048_selected10,OrangeKettlebell,0050,y_pos,0.5359923762067987,0.7628686428070068
neuralpoints_16x_2048_selected10,OrangeKettlebell,0050,y_neg,0.5342297726319581,0.7709735035896301
neuralpoints_16x_2048_selected10,OrangeKettlebell,0050,z_pos,0.6649742727125633,0.5965676307678223
neuralpoints_16x_2048_selected10,OrangeKettlebell,0050,z_neg,0.6649710448611276,0.5973864793777466
cg_baseline,OrangeKettlebell,0060,x_pos,0.5780310159508807,0.5248764753341675
cg_baseline,OrangeKettlebell,0060,x_neg,0.5926466215094837,0.5292774438858032
cg_baseline,OrangeKettlebell,0060,y_pos,0.6730341949687432,0.43098074197769165
cg_baseline,OrangeKettlebell,0060,y_neg,0.6668309037398835,0.435055136680603
cg_baseline,OrangeKettlebell,0060,z_pos,0.7386379927356646,0.3229566812515259
cg_baseline,OrangeKettlebell,0060,z_neg,0.745202674047702,0.32218632102012634
neuralpoints_16x_2048_selected10,OrangeKettlebell,0060,x_pos,0.5314687878122977,0.7613480091094971
neuralpoints_16x_2048_selected10,OrangeKettlebell,0060,x_neg,0.5321546502485099,0.763256847858429
neuralpoints_16x_2048_selected10,OrangeKettlebell,0060,y_pos,0.6335202129628462,0.6589244604110718
neuralpoints_16x_2048_selected10,OrangeKettlebell,0060,y_neg,0.6312470169474712,0.669710099697113
neuralpoints_16x_2048_selected10,OrangeKettlebell,0060,z_pos,0.6747921342162734,0.6011708974838257
neuralpoints_16x_2048_selected10,OrangeKettlebell,0060,z_neg,0.6741031088552778,0.6018691658973694
cg_baseline,OrangeKettlebell,0070,x_pos,0.4865297926070704,0.6476198434829712
cg_baseline,OrangeKettlebell,0070,x_neg,0.4952956608158306,0.6447771787643433
cg_baseline,OrangeKettlebell,0070,y_pos,0.6897664903830233,0.38428357243537903
cg_baseline,OrangeKettlebell,0070,y_neg,0.6781057643399934,0.4127063751220703
cg_baseline,OrangeKettlebell,0070,z_pos,0.7647543338252047,0.25215303897857666
cg_baseline,OrangeKettlebell,0070,z_neg,0.7664123224612106,0.25053271651268005
