method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0000,x_pos,0.5096027386984004,0.5952102541923523
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0000,x_neg,0.519550773236208,0.5992116332054138
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0000,y_pos,0.6593260527455302,0.4228819012641907
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0000,y_neg,0.6581661680628378,0.43105340003967285
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0000,z_pos,0.7164590425891766,0.3108089864253998
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0000,z_neg,0.7179001163272587,0.31403231620788574
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0010,x_pos,0.5500072045984172,0.5538634061813354
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0010,x_neg,0.5565924196512673,0.5577651262283325
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0010,y_pos,0.5331590172039364,0.5952997207641602
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0010,y_neg,0.5321883104255447,0.5975676774978638
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0010,z_pos,0.6956190004242369,0.361420214176178
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0010,z_neg,0.6971918213526375,0.36354321241378784
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0020,x_pos,0.4881072160502001,0.624284029006958
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0020,x_neg,0.4911455759492416,0.6260836124420166
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0020,y_pos,0.5275024624220528,0.6066349744796753
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0020,y_neg,0.5283366797286921,0.6010189056396484
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0020,z_pos,0.736187330555984,0.3077312111854553
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0020,z_neg,0.7379402843247735,0.31023722887039185
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0030,x_pos,0.5492603907748037,0.5587412714958191
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0030,x_neg,0.5597020961370741,0.559677004814148
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0030,y_pos,0.7102768906816829,0.3893013298511505
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0030,y_neg,0.7141465497236958,0.39419320225715637
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0030,z_pos,0.7401826353573352,0.313302606344223
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0030,z_neg,0.740172238476737,0.31400585174560547
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0040,x_pos,0.4995398748904349,0.5994353890419006
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0040,x_neg,0.5087898381144366,0.6085036396980286
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0040,y_pos,0.6734239602540751,0.38302451372146606
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0040,y_neg,0.6741114448524453,0.38538646697998047
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0040,z_pos,0.7345443215972179,0.275787353515625
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0040,z_neg,0.7332826939426789,0.27974820137023926
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
cg_baseline,OrangeKettlebell,0050,x_neg,0.5312544288567778,0.6144236326217651
cg_baseline,OrangeKettlebell,0050,y_pos,0.5468503578486023,0.5701625943183899
cg_baseline,OrangeKettlebell,0050,y_neg,0.5398016445151975,0.5815996527671814
cg_baseline,OrangeKettlebell,0050,z_pos,0.7351502960839609,0.29310142993927
cg_baseline,OrangeKettlebell,0050,z_neg,0.7386926327159101,0.2925269603729248
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0050,x_pos,0.49992505015019906,0.6278690099716187
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0050,x_neg,0.501739226728055,0.6376815438270569
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0050,y_pos,0.5171368044229343,0.622224748134613
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0050,y_neg,0.5193996028807821,0.6166379451751709
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0050,z_pos,0.7269589132412954,0.3131553828716278
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0050,z_neg,0.7251641150826451,0.31499260663986206
cg_baseline,OrangeKettlebell,0060,x_pos,0.5780310159508807,0.5248764753341675
cg_baseline,OrangeKettlebell,0060,x_neg,0.5926466215094837,0.5292774438858032
cg_baseline,OrangeKettlebell,0060,y_pos,0.6730341949687432,0.43098074197769165
cg_baseline,OrangeKettlebell,0060,y_neg,0.6668309037398835,0.435055136680603
cg_baseline,OrangeKettlebell,0060,z_pos,0.7386379927356646,0.3229566812515259
cg_baseline,OrangeKettlebell,0060,z_neg,0.745202674047702,0.32218632102012634
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0060,x_pos,0.5576632449662887,0.5633208751678467
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0060,x_neg,0.5674507568028538,0.5644843578338623
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0060,y_pos,0.6520979342953495,0.4700258672237396
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0060,y_neg,0.6553136973402808,0.4698052704334259
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0060,z_pos,0.7302446131334207,0.35443928837776184
p2p_bridge_pvds_punet_selected10,OrangeKettlebell,0060,z_neg,0.7318849257584154,0.35152748227119446
cg_baseline,OrangeKettlebell,0070,x_pos,0.4865297926070704,0.6476198434829712
cg_baseline,OrangeKettlebell,0070,x_neg,0.4952956608158306,0.6447771787643433
cg_baseline,OrangeKettlebell,0070,y_pos,0.6897664903830233,0.38428357243537903
cg_baseline,OrangeKettlebell,0070,y_neg,0.6781057643399934,0.4127063751220703
