method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pathnet_chunked_selected10,OrangeKettlebell,0000,x_pos,0.4761802022965473,0.6522824764251709
pathnet_chunked_selected10,OrangeKettlebell,0000,x_neg,0.48514435957036794,0.6589377522468567
pathnet_chunked_selected10,OrangeKettlebell,0000,y_pos,0.6472588807396499,0.4371761083602905
pathnet_chunked_selected10,OrangeKettlebell,0000,y_neg,0.6383348223608141,0.4552219808101654
pathnet_chunked_selected10,OrangeKettlebell,0000,z_pos,0.724950480860608,0.3055949807167053
pathnet_chunked_selected10,OrangeKettlebell,0000,z_neg,0.7301579216664406,0.30460476875305176
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
pathnet_chunked_selected10,OrangeKettlebell,0010,x_pos,0.4800120277086508,0.6400642395019531
pathnet_chunked_selected10,OrangeKettlebell,0010,x_neg,0.48625465671922424,0.6514490842819214
pathnet_chunked_selected10,OrangeKettlebell,0010,y_pos,0.4871967749717521,0.6555132865905762
pathnet_chunked_selected10,OrangeKettlebell,0010,y_neg,0.47883612680950427,0.6612027287483215
pathnet_chunked_selected10,OrangeKettlebell,0010,z_pos,0.6987856235963138,0.3363145887851715
pathnet_chunked_selected10,OrangeKettlebell,0010,z_neg,0.703220649248732,0.34028327465057373
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
pathnet_chunked_selected10,OrangeKettlebell,0020,x_pos,0.4991840208601836,0.6325496435165405
pathnet_chunked_selected10,OrangeKettlebell,0020,x_neg,0.5056749726795712,0.639116644859314
pathnet_chunked_selected10,OrangeKettlebell,0020,y_pos,0.5455111113320252,0.5856718420982361
pathnet_chunked_selected10,OrangeKettlebell,0020,y_neg,0.5383077754971474,0.6131688356399536
pathnet_chunked_selected10,OrangeKettlebell,0020,z_pos,0.7423471427777989,0.2852839231491089
pathnet_chunked_selected10,OrangeKettlebell,0020,z_neg,0.7496514304982966,0.2884996235370636
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
pathnet_chunked_selected10,OrangeKettlebell,0030,x_pos,0.5551481926789673,0.5553765296936035
pathnet_chunked_selected10,OrangeKettlebell,0030,x_neg,0.5687708292022834,0.5586738586425781
pathnet_chunked_selected10,OrangeKettlebell,0030,y_pos,0.7336373237646222,0.35863202810287476
pathnet_chunked_selected10,OrangeKettlebell,0030,y_neg,0.7295615015101656,0.3704170882701874
pathnet_chunked_selected10,OrangeKettlebell,0030,z_pos,0.7558040627686063,0.28247779607772827
pathnet_chunked_selected10,OrangeKettlebell,0030,z_neg,0.7627650342998987,0.28167644143104553
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
pathnet_chunked_selected10,OrangeKettlebell,0040,x_pos,0.49940999320935847,0.6237722635269165
pathnet_chunked_selected10,OrangeKettlebell,0040,x_neg,0.5079855048551355,0.6319168210029602
pathnet_chunked_selected10,OrangeKettlebell,0040,y_pos,0.6764997380033955,0.38674911856651306
pathnet_chunked_selected10,OrangeKettlebell,0040,y_neg,0.6689098403630845,0.40829166769981384
pathnet_chunked_selected10,OrangeKettlebell,0040,z_pos,0.7324680213689261,0.2864125072956085
pathnet_chunked_selected10,OrangeKettlebell,0040,z_neg,0.7372200457903236,0.28283873200416565
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
cg_baseline,OrangeKettlebell,0050,x_neg,0.5312544288567778,0.6144236326217651
cg_baseline,OrangeKettlebell,0050,y_pos,0.5468503578486023,0.5701625943183899
cg_baseline,OrangeKettlebell,0050,y_neg,0.5398016445151975,0.5815996527671814
cg_baseline,OrangeKettlebell,0050,z_pos,0.7351502960839609,0.29310142993927
cg_baseline,OrangeKettlebell,0050,z_neg,0.7386926327159101,0.2925269603729248
pathnet_chunked_selected10,OrangeKettlebell,0050,x_pos,0.5217894744281995,0.6106370091438293
pathnet_chunked_selected10,OrangeKettlebell,0050,x_neg,0.5262942430638126,0.6216838955879211
pathnet_chunked_selected10,OrangeKettlebell,0050,y_pos,0.5451727063292217,0.581112802028656
pathnet_chunked_selected10,OrangeKettlebell,0050,y_neg,0.5385557951728343,0.5930427312850952
pathnet_chunked_selected10,OrangeKettlebell,0050,z_pos,0.7311421369531335,0.3072599172592163
pathnet_chunked_selected10,OrangeKettlebell,0050,z_neg,0.735359032243032,0.3046605885028839
cg_baseline,OrangeKettlebell,0060,x_pos,0.5780310159508807,0.5248764753341675
cg_baseline,OrangeKettlebell,0060,x_neg,0.5926466215094837,0.5292774438858032
cg_baseline,OrangeKettlebell,0060,y_pos,0.6730341949687432,0.43098074197769165
cg_baseline,OrangeKettlebell,0060,y_neg,0.6668309037398835,0.435055136680603
cg_baseline,OrangeKettlebell,0060,z_pos,0.7386379927356646,0.3229566812515259
cg_baseline,OrangeKettlebell,0060,z_neg,0.745202674047702,0.32218632102012634
pathnet_chunked_selected10,OrangeKettlebell,0060,x_pos,0.5641133401130639,0.5414429903030396
pathnet_chunked_selected10,OrangeKettlebell,0060,x_neg,0.5769075280461555,0.537165105342865
pathnet_chunked_selected10,OrangeKettlebell,0060,y_pos,0.6573777856468267,0.45188626646995544
pathnet_chunked_selected10,OrangeKettlebell,0060,y_neg,0.6524816063035207,0.46163034439086914
pathnet_chunked_selected10,OrangeKettlebell,0060,z_pos,0.734434219661234,0.3313117027282715
pathnet_chunked_selected10,OrangeKettlebell,0060,z_neg,0.7410796655541302,0.3264182209968567
cg_baseline,OrangeKettlebell,0070,x_pos,0.4865297926070704,0.6476198434829712
cg_baseline,OrangeKettlebell,0070,x_neg,0.4952956608158306,0.6447771787643433
cg_baseline,OrangeKettlebell,0070,y_pos,0.6897664903830233,0.38428357243537903
cg_baseline,OrangeKettlebell,0070,y_neg,0.6781057643399934,0.4127063751220703
cg_baseline,OrangeKettlebell,0070,z_pos,0.7647543338252047,0.25215303897857666
cg_baseline,OrangeKettlebell,0070,z_neg,0.7664123224612106,0.25053271651268005
pathnet_chunked_selected10,OrangeKettlebell,0070,x_pos,0.4891016807665862,0.6490893363952637
pathnet_chunked_selected10,OrangeKettlebell,0070,x_neg,0.49592492536631955,0.6513555645942688
pathnet_chunked_selected10,OrangeKettlebell,0070,y_pos,0.6930835441244728,0.39095091819763184
