method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0000,x_pos,0.5070941931937908,0.543030858039856
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0000,x_neg,0.5259378880009303,0.5454727411270142
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0000,y_pos,0.6760846196577344,0.37361347675323486
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0000,y_neg,0.6580990646634103,0.3958981931209564
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0000,z_pos,0.7374003374890683,0.25567811727523804
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0000,z_neg,0.7440379928729968,0.2524966299533844
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0010,x_pos,0.5028879650729774,0.5515904426574707
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0010,x_neg,0.5176438300421898,0.5601857304573059
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0010,y_pos,0.5097563842476326,0.5627691745758057
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0010,y_neg,0.4943973679770181,0.5780454874038696
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0010,z_pos,0.7072565257645244,0.30196264386177063
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0010,z_neg,0.7105435791693976,0.3065066635608673
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0020,x_pos,0.52740837446969,0.5365869998931885
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0020,x_neg,0.5363721661832958,0.5410706996917725
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0020,y_pos,0.5618331907894659,0.5126475691795349
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0020,y_neg,0.5493100811930025,0.5323295593261719
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0020,z_pos,0.7496697755324551,0.2550625801086426
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0020,z_neg,0.755542324690084,0.257442444562912
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0030,x_pos,0.5701622375755654,0.47864916920661926
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0030,x_neg,0.5926749480312465,0.47906285524368286
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0030,y_pos,0.7230238603101222,0.3531867265701294
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0030,y_neg,0.7175266772759384,0.37298011779785156
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0030,z_pos,0.7448495509483045,0.28263935446739197
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0030,z_neg,0.7517837449894699,0.2740650773048401
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0040,x_pos,0.5336885147558187,0.5056739449501038
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0040,x_neg,0.5512774454357546,0.5193020105361938
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0040,y_pos,0.696693097583393,0.3295789361000061
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0040,y_neg,0.6872700177253979,0.3457699418067932
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0040,z_pos,0.7389429894069449,0.24198052287101746
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0040,z_neg,0.74305913116787,0.24136103689670563
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
cg_baseline,OrangeKettlebell,0050,x_neg,0.5312544288567778,0.6144236326217651
cg_baseline,OrangeKettlebell,0050,y_pos,0.5468503578486023,0.5701625943183899
cg_baseline,OrangeKettlebell,0050,y_neg,0.5398016445151975,0.5815996527671814
cg_baseline,OrangeKettlebell,0050,z_pos,0.7351502960839609,0.29310142993927
cg_baseline,OrangeKettlebell,0050,z_neg,0.7386926327159101,0.2925269603729248
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0050,x_pos,0.5473322493627885,0.5356477499008179
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0050,x_neg,0.5541857291633566,0.5448957085609436
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0050,y_pos,0.5641337778225384,0.5240161418914795
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0050,y_neg,0.5495679452041166,0.54139244556427
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0050,z_pos,0.7394966134059312,0.28450530767440796
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0050,z_neg,0.7425380948481136,0.28159406781196594
cg_baseline,OrangeKettlebell,0060,x_pos,0.5780310159508807,0.5248764753341675
cg_baseline,OrangeKettlebell,0060,x_neg,0.5926466215094837,0.5292774438858032
cg_baseline,OrangeKettlebell,0060,y_pos,0.6730341949687432,0.43098074197769165
cg_baseline,OrangeKettlebell,0060,y_neg,0.6668309037398835,0.435055136680603
cg_baseline,OrangeKettlebell,0060,z_pos,0.7386379927356646,0.3229566812515259
cg_baseline,OrangeKettlebell,0060,z_neg,0.745202674047702,0.32218632102012634
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0060,x_pos,0.5826245709631184,0.48453232645988464
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0060,x_neg,0.6010627315630678,0.4831015169620514
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0060,y_pos,0.6736539619984376,0.41388097405433655
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0060,y_neg,0.6653667074477455,0.4193854331970215
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0060,z_pos,0.7422622283609787,0.3134281635284424
pc2pu_4x_chunks256_selected10,OrangeKettlebell,0060,z_neg,0.748905188359326,0.3105476200580597
cg_baseline,OrangeKettlebell,0070,x_pos,0.4865297926070704,0.6476198434829712
cg_baseline,OrangeKettlebell,0070,x_neg,0.4952956608158306,0.6447771787643433
cg_baseline,OrangeKettlebell,0070,y_pos,0.6897664903830233,0.38428357243537903
cg_baseline,OrangeKettlebell,0070,y_neg,0.6781057643399934,0.4127063751220703
cg_baseline,OrangeKettlebell,0070,z_pos,0.7647543338252047,0.25215303897857666
