method,sequence,frame,pred_file,ref_file,point_count,y_psnr,u_psnr,v_psnr,yuv_psnr_mean,projection_ssim_mean,projection_lpips_mean,pcqm
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502941,17.87026437855683,21.369983633346276,24.078122227607267,21.106123413170124,0.6206519121519233,0.459532767534256,0.118726
pointfilter_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,502939,17.98200463145953,21.35526689880013,24.24458456736937,21.19395203254301,0.5034162832684886,0.637697160243988,0.117706
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,2011760,17.87120719059828,21.423730079706502,24.03900758563244,21.111314951979075,0.6373661517437348,0.411577636996905,0.119549
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,564767,18.106273196316515,21.48408873589557,24.26798384545686,21.28611525922298,0.5560633924646526,0.5411478281021118,0.11499
pointfilter_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,564767,18.338720394843822,21.465654759273463,24.44777133253603,21.417382162217773,0.5586857462446412,0.5427968402703603,0.113524
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,2259064,18.03748812944469,21.50312015673469,24.157334254887704,21.232647513689027,0.5739133536139187,0.4776086211204529,0.115506
cg_baseline,OrangeKettlebell,0020,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,579826,18.262180114518596,21.399467075993453,24.288133086240705,21.31659342558425,0.5984651462798188,0.49704646567503613,0.112542
pointfilter_selected10,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,579826,18.48638824290808,21.467629142361925,24.69607519939985,21.55003086155662,0.5949695398522765,0.5039124737183253,0.109518
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,2319304,18.207622700314147,21.49071482765146,24.224549236822646,21.307628921596084,0.6129325610824531,0.44314560294151306,0.112358
cg_baseline,OrangeKettlebell,0030,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,568123,18.02400798769649,21.23961039710649,23.881870516410395,21.04849630040446,0.6794720723262954,0.3990166634321213,0.111331
pointfilter_selected10,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,568123,18.325645867437395,21.273189256813993,24.222781115456975,21.273872079902787,0.6931867663737036,0.3872469365596771,0.106384
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,2272488,17.93823394348599,21.290249767483644,23.65299878377715,20.960494164915595,0.6893838983225526,0.36661742627620697,0.112563
cg_baseline,OrangeKettlebell,0040,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,533099,18.28187251136142,21.6939510578231,23.764079328141595,21.246634299108706,0.642588186844978,0.4225901911656062,0.114391
pointfilter_selected10,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,533099,18.604437244716152,21.74969361104901,23.861837136899734,21.405322664221632,0.6825980653746669,0.38028584420681,0.111189
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,2132392,18.18205041637506,21.749975787166143,23.819236211335635,21.250420804958946,0.6564894888880077,0.37148331850767136,0.116161
cg_baseline,OrangeKettlebell,0050,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,590573,18.327244050104014,21.452983375962766,24.326564089942362,21.36893050533638,0.6028442028279529,0.49220892786979675,0.112588
pointfilter_selected10,OrangeKettlebell,0050,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,590572,18.55716327107305,21.507353457735057,24.897929528355057,21.654148752387723,0.596311127026972,0.5050418029228846,0.112301
crcir_aftercomp_4x_selected10,OrangeKettlebell,0050,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,2362288,18.240677769003984,21.50452597625403,24.146087304227663,21.297097016495226,0.6175560960336169,0.45071835815906525,0.112924
cg_baseline,OrangeKettlebell,0060,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0060.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0060.ply,599608,18.025198700712412,21.04499596354157,23.516939257106507,20.86237797378683,0.6657305671587262,0.42755546669165295,0.114788
pointfilter_selected10,OrangeKettlebell,0060,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0060.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0060.ply,599604,18.178066773799728,21.059380772948906,23.645949298930653,20.961132281893097,0.6300991452550936,0.4733421504497528,0.114883
crcir_aftercomp_4x_selected10,OrangeKettlebell,0060,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0060.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0060.ply,2398432,17.915666823053932,21.070378466901992,23.31358680062113,20.766544030192353,0.6722392079510943,0.41080377002557117,0.115739
cg_baseline,OrangeKettlebell,0070,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0070.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0070.ply,504510,18.023398167990845,21.93283479056774,23.26447361217941,21.073568856912665,0.6468107274053888,0.4320121208826701,0.122951
pointfilter_selected10,OrangeKettlebell,0070,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0070.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0070.ply,504510,18.23251630220043,21.96094804152601,23.304632164085668,21.166032169270704,0.6355000546344488,0.45150531828403473,0.120372
crcir_aftercomp_4x_selected10,OrangeKettlebell,0070,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0070.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0070.ply,2018040,18.03335876675977,21.935116515373068,23.437883785490968,21.135453022541267,0.661096432046193,0.38121767342090607,0.122425
cg_baseline,OrangeKettlebell,0080,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0080.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0080.ply,574138,18.321254231046897,21.742560693343773,24.552783597261875,21.538866173884184,0.5828735766484084,0.5079619437456131,0.111521
pointfilter_selected10,OrangeKettlebell,0080,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pointfilter_selected10/OrangeKettlebell/15fps/frame_0080.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0080.ply,574138,18.493723106236764,21.79382623877493,24.90364211810328,21.73039715437166,0.5864601924531244,0.5080364098151525,0.109466
crcir_aftercomp_4x_selected10,OrangeKettlebell,0080,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/crcir_aftercomp_4x_selected10/OrangeKettlebell/15fps/frame_0080.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0080.ply,2296552,18.166609138324027,21.751705982035304,24.18138791116353,21.366567677174288,0.5977870981349376,0.46363505224386853,0.113598
cg_baseline,OrangeKettlebell,0090,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0090.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0090.ply,584096,17.952167952791026,21.12192339693982,23.505421586680924,20.85983764547059,0.5948673049304473,0.5049834201733271,0.113529
