method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pointfilter_selected10,OrangeKettlebell,0000,x_pos,0.5588163879800065,0.5577158331871033
pointfilter_selected10,OrangeKettlebell,0000,x_neg,0.5640624581170245,0.5615849494934082
pointfilter_selected10,OrangeKettlebell,0000,y_pos,0.4386893947239285,0.7077783346176147
pointfilter_selected10,OrangeKettlebell,0000,y_neg,0.43143782920709506,0.7648144960403442
pointfilter_selected10,OrangeKettlebell,0000,z_pos,0.5149600861523206,0.6179476380348206
pointfilter_selected10,OrangeKettlebell,0000,z_neg,0.5125315434305567,0.6163417100906372
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,x_pos,0.5045744790249768,0.5527236461639404
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,x_neg,0.5244744073721609,0.5544319152832031
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,y_pos,0.6683394636823529,0.39147448539733887
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,y_neg,0.6516411264926277,0.41546154022216797
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,z_pos,0.7349268407182225,0.2786708176136017
crcir_aftercomp_4x_selected10,OrangeKettlebell,0000,z_neg,0.7402405931720685,0.276703417301178
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
pointfilter_selected10,OrangeKettlebell,0010,x_pos,0.4907785649167069,0.6210668683052063
pointfilter_selected10,OrangeKettlebell,0010,x_neg,0.4937281308866614,0.6267789006233215
pointfilter_selected10,OrangeKettlebell,0010,y_pos,0.48074173189068947,0.6646955013275146
pointfilter_selected10,OrangeKettlebell,0010,y_neg,0.47339876708171685,0.6602320075035095
pointfilter_selected10,OrangeKettlebell,0010,z_pos,0.7073002684139137,0.33816301822662354
pointfilter_selected10,OrangeKettlebell,0010,z_neg,0.7061670142781589,0.34584474563598633
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,x_pos,0.5070681226760494,0.5521312355995178
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,x_neg,0.5222254053574785,0.5569798350334167
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,y_pos,0.5032628764461285,0.575989842414856
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,y_neg,0.49157490002185983,0.5845453143119812
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,z_pos,0.7080056878647473,0.29686683416366577
crcir_aftercomp_4x_selected10,OrangeKettlebell,0010,z_neg,0.7113431293172487,0.2991386651992798
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
pointfilter_selected10,OrangeKettlebell,0020,x_pos,0.519044903749534,0.6065254807472229
pointfilter_selected10,OrangeKettlebell,0020,x_neg,0.5228587527980294,0.607905924320221
pointfilter_selected10,OrangeKettlebell,0020,y_pos,0.5274553906632686,0.5996074080467224
pointfilter_selected10,OrangeKettlebell,0020,y_neg,0.5206082088546878,0.6107711791992188
pointfilter_selected10,OrangeKettlebell,0020,z_pos,0.7386495649725783,0.2973461449146271
pointfilter_selected10,OrangeKettlebell,0020,z_neg,0.741200418075561,0.3013187050819397
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,x_pos,0.5283908840803623,0.5453316569328308
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,x_neg,0.5381025139581835,0.5448476076126099
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,y_pos,0.5585594417634175,0.5171809792518616
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,y_neg,0.5474513848900403,0.538422703742981
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,z_pos,0.749869587848492,0.25498339533805847
crcir_aftercomp_4x_selected10,OrangeKettlebell,0020,z_neg,0.7552215539542232,0.2581072747707367
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
pointfilter_selected10,OrangeKettlebell,0030,x_pos,0.576601157944108,0.5332913994789124
pointfilter_selected10,OrangeKettlebell,0030,x_neg,0.582167072448422,0.54038405418396
pointfilter_selected10,OrangeKettlebell,0030,y_pos,0.7349752836293341,0.3474471867084503
pointfilter_selected10,OrangeKettlebell,0030,y_neg,0.7305220252466408,0.3685202896595001
pointfilter_selected10,OrangeKettlebell,0030,z_pos,0.7667319970598246,0.26587042212486267
pointfilter_selected10,OrangeKettlebell,0030,z_neg,0.7681230619138922,0.2679682672023773
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,x_pos,0.5732800615856856,0.47925472259521484
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,x_neg,0.596109568395016,0.481220543384552
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,y_pos,0.7310890104143222,0.3469585180282593
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,y_neg,0.7257697610270532,0.3676646947860718
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,z_pos,0.7519625005192098,0.26501786708831787
crcir_aftercomp_4x_selected10,OrangeKettlebell,0030,z_neg,0.7580924879940295,0.25958821177482605
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
pointfilter_selected10,OrangeKettlebell,0040,x_pos,0.5781901526344786,0.5159689784049988
pointfilter_selected10,OrangeKettlebell,0040,x_neg,0.5832244223786306,0.5198166370391846
pointfilter_selected10,OrangeKettlebell,0040,y_pos,0.7164697006488044,0.340592622756958
pointfilter_selected10,OrangeKettlebell,0040,y_neg,0.710509144262649,0.3671150505542755
pointfilter_selected10,OrangeKettlebell,0040,z_pos,0.7529684447139537,0.2680865526199341
pointfilter_selected10,OrangeKettlebell,0040,z_neg,0.7542265276094854,0.27013522386550903
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,x_pos,0.5247957668264428,0.5216925144195557
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,x_neg,0.5437381966206535,0.522515058517456
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,y_pos,0.6956531035933246,0.3365229666233063
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,y_neg,0.6861410696483499,0.3556598126888275
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,z_pos,0.7430155826057607,0.24720706045627594
crcir_aftercomp_4x_selected10,OrangeKettlebell,0040,z_neg,0.7455932140335149,0.2453024983406067
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
