method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,x_pos,0.5163813215692306,0.5494815111160278
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,x_neg,0.5370279218249506,0.5523428916931152
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,y_pos,0.6962503393649581,0.364662230014801
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,y_neg,0.6792031050098887,0.38560789823532104
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,z_pos,0.7441421551158158,0.26253262162208557
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,z_neg,0.7510652671117434,0.25698378682136536
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,x_pos,0.5046216703032574,0.5749286413192749
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,x_neg,0.5186576285470196,0.5791252851486206
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,y_pos,0.5044563409901642,0.5854763388633728
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,y_neg,0.4896025348224556,0.5907647609710693
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,z_pos,0.703943523663659,0.30566033720970154
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,z_neg,0.7082385509925379,0.3077154755592346
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,x_pos,0.52578200750568,0.5675108432769775
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,x_neg,0.535848277356886,0.5670425891876221
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,y_pos,0.5596712497682012,0.5253751277923584
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,y_neg,0.5474225255868119,0.5443644523620605
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,z_pos,0.7495786571371799,0.258680135011673
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,z_neg,0.7554515605894085,0.25915244221687317
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,x_pos,0.5688803308562638,0.4988763928413391
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,x_neg,0.5925467956390821,0.5014211535453796
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,y_pos,0.7296221863667361,0.35110700130462646
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,y_neg,0.7245269838234716,0.37297821044921875
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,z_pos,0.7501552891074844,0.27976787090301514
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,z_neg,0.7569755215153234,0.27634063363075256
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,x_pos,0.5305019508896257,0.5397239327430725
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,x_neg,0.5480976545411784,0.5478290319442749
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,y_pos,0.701978363868918,0.33105209469795227
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,y_neg,0.6927135870083357,0.3529878556728363
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,z_pos,0.7403001098853492,0.2534191608428955
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,z_neg,0.7442085386718063,0.25147417187690735
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
cg_baseline,OrangeKettlebell,0050,x_neg,0.5312544288567778,0.6144236326217651
cg_baseline,OrangeKettlebell,0050,y_pos,0.5468503578486023,0.5701625943183899
cg_baseline,OrangeKettlebell,0050,y_neg,0.5398016445151975,0.5815996527671814
cg_baseline,OrangeKettlebell,0050,z_pos,0.7351502960839609,0.29310142993927
cg_baseline,OrangeKettlebell,0050,z_neg,0.7386926327159101,0.2925269603729248
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,x_pos,0.5653904161855036,0.5268985033035278
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,x_neg,0.57204691100335,0.5321956276893616
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,y_pos,0.5902092813987694,0.5097992420196533
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,y_neg,0.5772486339326782,0.5265355110168457
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,z_pos,0.7436095663771133,0.2824321389198303
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,z_neg,0.7471595567256998,0.27532264590263367
cg_baseline,OrangeKettlebell,0060,x_pos,0.5780310159508807,0.5248764753341675
cg_baseline,OrangeKettlebell,0060,x_neg,0.5926466215094837,0.5292774438858032
cg_baseline,OrangeKettlebell,0060,y_pos,0.6730341949687432,0.43098074197769165
cg_baseline,OrangeKettlebell,0060,y_neg,0.6668309037398835,0.435055136680603
cg_baseline,OrangeKettlebell,0060,z_pos,0.7386379927356646,0.3229566812515259
cg_baseline,OrangeKettlebell,0060,z_neg,0.745202674047702,0.32218632102012634
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,x_pos,0.6264392851013812,0.4495956003665924
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,x_neg,0.6441854860852168,0.4483906626701355
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,y_pos,0.7105765566006231,0.3876703977584839
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,y_neg,0.7029094221799426,0.3966723084449768
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,z_pos,0.7364030382561095,0.3345336318016052
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,z_neg,0.7441049472004216,0.3305763602256775
cg_baseline,OrangeKettlebell,0070,x_pos,0.4865297926070704,0.6476198434829712
cg_baseline,OrangeKettlebell,0070,x_neg,0.4952956608158306,0.6447771787643433
cg_baseline,OrangeKettlebell,0070,y_pos,0.6897664903830233,0.38428357243537903
cg_baseline,OrangeKettlebell,0070,y_neg,0.6781057643399934,0.4127063751220703
cg_baseline,OrangeKettlebell,0070,z_pos,0.7647543338252047,0.25215303897857666
cg_baseline,OrangeKettlebell,0070,z_neg,0.7664123224612106,0.25053271651268005
