method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pudm_pu1k_4x_selected10,OrangeKettlebell,0000,x_pos,0.4948347041010999,0.5617208480834961
pudm_pu1k_4x_selected10,OrangeKettlebell,0000,x_neg,0.511646910212161,0.5641034245491028
pudm_pu1k_4x_selected10,OrangeKettlebell,0000,y_pos,0.6713744422789855,0.39318832755088806
pudm_pu1k_4x_selected10,OrangeKettlebell,0000,y_neg,0.6557098321402021,0.4116378128528595
pudm_pu1k_4x_selected10,OrangeKettlebell,0000,z_pos,0.7411838400854037,0.2798336446285248
pudm_pu1k_4x_selected10,OrangeKettlebell,0000,z_neg,0.7462722327661617,0.274392306804657
spupmd_pu1k_4x_selected10,OrangeKettlebell,0000,x_pos,0.515545588767016,0.5374587178230286
spupmd_pu1k_4x_selected10,OrangeKettlebell,0000,x_neg,0.536092627828754,0.5362028479576111
spupmd_pu1k_4x_selected10,OrangeKettlebell,0000,y_pos,0.6761763930639337,0.3721734583377838
spupmd_pu1k_4x_selected10,OrangeKettlebell,0000,y_neg,0.6569768642614622,0.39341363310813904
spupmd_pu1k_4x_selected10,OrangeKettlebell,0000,z_pos,0.7343805177242148,0.26298099756240845
spupmd_pu1k_4x_selected10,OrangeKettlebell,0000,z_neg,0.7409254764504741,0.2591703236103058
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
pudm_pu1k_4x_selected10,OrangeKettlebell,0010,x_pos,0.499912341989268,0.5519636273384094
pudm_pu1k_4x_selected10,OrangeKettlebell,0010,x_neg,0.5130665702677883,0.5634810924530029
pudm_pu1k_4x_selected10,OrangeKettlebell,0010,y_pos,0.5045092159018812,0.572807252407074
pudm_pu1k_4x_selected10,OrangeKettlebell,0010,y_neg,0.49149176514181997,0.5834308862686157
pudm_pu1k_4x_selected10,OrangeKettlebell,0010,z_pos,0.7092572783231366,0.29917028546333313
pudm_pu1k_4x_selected10,OrangeKettlebell,0010,z_neg,0.7115916282028897,0.3076941668987274
spupmd_pu1k_4x_selected10,OrangeKettlebell,0010,x_pos,0.5100688812042521,0.5426896214485168
spupmd_pu1k_4x_selected10,OrangeKettlebell,0010,x_neg,0.5258601394571023,0.5493667721748352
spupmd_pu1k_4x_selected10,OrangeKettlebell,0010,y_pos,0.5095938449606496,0.5611676573753357
spupmd_pu1k_4x_selected10,OrangeKettlebell,0010,y_neg,0.49440313503762207,0.5731946229934692
spupmd_pu1k_4x_selected10,OrangeKettlebell,0010,z_pos,0.7063383438805889,0.2976645231246948
spupmd_pu1k_4x_selected10,OrangeKettlebell,0010,z_neg,0.7099686680618819,0.3023894429206848
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
pudm_pu1k_4x_selected10,OrangeKettlebell,0020,x_pos,0.5233324611952599,0.5452169179916382
pudm_pu1k_4x_selected10,OrangeKettlebell,0020,x_neg,0.5320904105911327,0.5469343066215515
pudm_pu1k_4x_selected10,OrangeKettlebell,0020,y_pos,0.5603538186516344,0.5156396627426147
pudm_pu1k_4x_selected10,OrangeKettlebell,0020,y_neg,0.5498631392357128,0.5349324941635132
pudm_pu1k_4x_selected10,OrangeKettlebell,0020,z_pos,0.7498249875333624,0.25906386971473694
pudm_pu1k_4x_selected10,OrangeKettlebell,0020,z_neg,0.7546991936766938,0.2609497308731079
spupmd_pu1k_4x_selected10,OrangeKettlebell,0020,x_pos,0.5333104621085489,0.5318933725357056
spupmd_pu1k_4x_selected10,OrangeKettlebell,0020,x_neg,0.5431548803599527,0.5306692123413086
spupmd_pu1k_4x_selected10,OrangeKettlebell,0020,y_pos,0.5626319851031818,0.5070704817771912
spupmd_pu1k_4x_selected10,OrangeKettlebell,0020,y_neg,0.5491205040281789,0.5273731350898743
spupmd_pu1k_4x_selected10,OrangeKettlebell,0020,z_pos,0.7487691651386518,0.259138822555542
spupmd_pu1k_4x_selected10,OrangeKettlebell,0020,z_neg,0.7543331619078272,0.26035985350608826
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
pudm_pu1k_4x_selected10,OrangeKettlebell,0030,x_pos,0.5707753064770301,0.4739888906478882
pudm_pu1k_4x_selected10,OrangeKettlebell,0030,x_neg,0.5920890311705513,0.47899067401885986
pudm_pu1k_4x_selected10,OrangeKettlebell,0030,y_pos,0.7347334699896381,0.35294437408447266
pudm_pu1k_4x_selected10,OrangeKettlebell,0030,y_neg,0.7297346612891763,0.370106965303421
pudm_pu1k_4x_selected10,OrangeKettlebell,0030,z_pos,0.7553308195150654,0.27568143606185913
pudm_pu1k_4x_selected10,OrangeKettlebell,0030,z_neg,0.7607381135334825,0.2751982808113098
spupmd_pu1k_4x_selected10,OrangeKettlebell,0030,x_pos,0.5756771589815778,0.4681273400783539
spupmd_pu1k_4x_selected10,OrangeKettlebell,0030,x_neg,0.5999437226186971,0.4709849953651428
spupmd_pu1k_4x_selected10,OrangeKettlebell,0030,y_pos,0.7329660053134975,0.3285320997238159
spupmd_pu1k_4x_selected10,OrangeKettlebell,0030,y_neg,0.728508325795567,0.3420482277870178
spupmd_pu1k_4x_selected10,OrangeKettlebell,0030,z_pos,0.7503439987790038,0.2663452625274658
spupmd_pu1k_4x_selected10,OrangeKettlebell,0030,z_neg,0.757348599741806,0.2643076479434967
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
pudm_pu1k_4x_selected10,OrangeKettlebell,0040,x_pos,0.5064408182715555,0.5366356372833252
pudm_pu1k_4x_selected10,OrangeKettlebell,0040,x_neg,0.5235099074332329,0.5442991852760315
pudm_pu1k_4x_selected10,OrangeKettlebell,0040,y_pos,0.6879896846556619,0.3452853262424469
pudm_pu1k_4x_selected10,OrangeKettlebell,0040,y_neg,0.6800437036694064,0.36267998814582825
pudm_pu1k_4x_selected10,OrangeKettlebell,0040,z_pos,0.744572737180606,0.2487102895975113
pudm_pu1k_4x_selected10,OrangeKettlebell,0040,z_neg,0.7470311238981052,0.24582771956920624
spupmd_pu1k_4x_selected10,OrangeKettlebell,0040,x_pos,0.5294604014730542,0.5053344368934631
spupmd_pu1k_4x_selected10,OrangeKettlebell,0040,x_neg,0.5506980452477723,0.516025722026825
spupmd_pu1k_4x_selected10,OrangeKettlebell,0040,y_pos,0.6983882843392436,0.3270505666732788
