method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
puflow_discrete_selected10,OrangeKettlebell,0000,x_pos,0.9877806308289183,0.028012752532958984
puflow_discrete_selected10,OrangeKettlebell,0000,x_neg,0.9877993311506303,0.02937246486544609
puflow_discrete_selected10,OrangeKettlebell,0000,y_pos,0.992730648102036,0.023218825459480286
puflow_discrete_selected10,OrangeKettlebell,0000,y_neg,0.992842557133563,0.02433885633945465
puflow_discrete_selected10,OrangeKettlebell,0000,z_pos,0.9902246758686046,0.029579883441329002
puflow_discrete_selected10,OrangeKettlebell,0000,z_neg,0.9906538532991851,0.030230849981307983
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
puflow_discrete_selected10,OrangeKettlebell,0010,x_pos,0.6812667077691436,0.3886176347732544
puflow_discrete_selected10,OrangeKettlebell,0010,x_neg,0.6891952911544398,0.3900270462036133
puflow_discrete_selected10,OrangeKettlebell,0010,y_pos,0.7670647097068503,0.3005538880825043
puflow_discrete_selected10,OrangeKettlebell,0010,y_neg,0.760808610691477,0.316371887922287
puflow_discrete_selected10,OrangeKettlebell,0010,z_pos,0.7952798016717241,0.23741212487220764
puflow_discrete_selected10,OrangeKettlebell,0010,z_neg,0.7979525180537025,0.23998776078224182
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
puflow_discrete_selected10,OrangeKettlebell,0020,x_pos,0.860372404457659,0.16986805200576782
puflow_discrete_selected10,OrangeKettlebell,0020,x_neg,0.8635001315498876,0.17064979672431946
puflow_discrete_selected10,OrangeKettlebell,0020,y_pos,0.8955162323022652,0.12301206588745117
puflow_discrete_selected10,OrangeKettlebell,0020,y_neg,0.8938284946770277,0.13061532378196716
puflow_discrete_selected10,OrangeKettlebell,0020,z_pos,0.8963474293775403,0.14396636188030243
puflow_discrete_selected10,OrangeKettlebell,0020,z_neg,0.89913948995087,0.1402675211429596
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
puflow_discrete_selected10,OrangeKettlebell,0030,x_pos,0.9926966993844412,0.029519010335206985
puflow_discrete_selected10,OrangeKettlebell,0030,x_neg,0.9929000159259127,0.029382776468992233
puflow_discrete_selected10,OrangeKettlebell,0030,y_pos,0.9937687837615178,0.03265129774808884
puflow_discrete_selected10,OrangeKettlebell,0030,y_neg,0.9939148817371827,0.03351151943206787
puflow_discrete_selected10,OrangeKettlebell,0030,z_pos,0.9925028672595086,0.03432263061404228
puflow_discrete_selected10,OrangeKettlebell,0030,z_neg,0.9925800165605212,0.034455738961696625
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
puflow_discrete_selected10,OrangeKettlebell,0040,x_pos,0.6626418138693851,0.4019981920719147
puflow_discrete_selected10,OrangeKettlebell,0040,x_neg,0.672690367209743,0.40498995780944824
puflow_discrete_selected10,OrangeKettlebell,0040,y_pos,0.8159666697786491,0.2532424330711365
puflow_discrete_selected10,OrangeKettlebell,0040,y_neg,0.8100431609839638,0.28070709109306335
puflow_discrete_selected10,OrangeKettlebell,0040,z_pos,0.7909282369266054,0.24545970559120178
puflow_discrete_selected10,OrangeKettlebell,0040,z_neg,0.7936262483070503,0.2456875741481781
cg_baseline,OrangeKettlebell,0050,x_pos,0.5253158569472689,0.6014392971992493
cg_baseline,OrangeKettlebell,0050,x_neg,0.5312544288567778,0.6144236326217651
cg_baseline,OrangeKettlebell,0050,y_pos,0.5468503578486023,0.5701625943183899
cg_baseline,OrangeKettlebell,0050,y_neg,0.5398016445151975,0.5815996527671814
cg_baseline,OrangeKettlebell,0050,z_pos,0.7351502960839609,0.29310142993927
cg_baseline,OrangeKettlebell,0050,z_neg,0.7386926327159101,0.2925269603729248
puflow_discrete_selected10,OrangeKettlebell,0050,x_pos,0.7922107528737513,0.31195205450057983
puflow_discrete_selected10,OrangeKettlebell,0050,x_neg,0.7943352677751322,0.3181716799736023
puflow_discrete_selected10,OrangeKettlebell,0050,y_pos,0.7919601454503141,0.33209505677223206
puflow_discrete_selected10,OrangeKettlebell,0050,y_neg,0.7858218533070108,0.35361963510513306
puflow_discrete_selected10,OrangeKettlebell,0050,z_pos,0.8433807310096385,0.2911602258682251
puflow_discrete_selected10,OrangeKettlebell,0050,z_neg,0.8459508214867332,0.29058727622032166
cg_baseline,OrangeKettlebell,0060,x_pos,0.5780310159508807,0.5248764753341675
cg_baseline,OrangeKettlebell,0060,x_neg,0.5926466215094837,0.5292774438858032
cg_baseline,OrangeKettlebell,0060,y_pos,0.6730341949687432,0.43098074197769165
cg_baseline,OrangeKettlebell,0060,y_neg,0.6668309037398835,0.435055136680603
cg_baseline,OrangeKettlebell,0060,z_pos,0.7386379927356646,0.3229566812515259
cg_baseline,OrangeKettlebell,0060,z_neg,0.745202674047702,0.32218632102012634
puflow_discrete_selected10,OrangeKettlebell,0060,x_pos,0.8055361109563463,0.27393803000450134
puflow_discrete_selected10,OrangeKettlebell,0060,x_neg,0.8147072779034875,0.2709091305732727
puflow_discrete_selected10,OrangeKettlebell,0060,y_pos,0.8574314863159239,0.24612176418304443
puflow_discrete_selected10,OrangeKettlebell,0060,y_neg,0.8551854511528831,0.25702592730522156
puflow_discrete_selected10,OrangeKettlebell,0060,z_pos,0.8463258018616572,0.2603626847267151
puflow_discrete_selected10,OrangeKettlebell,0060,z_neg,0.850751375200779,0.2602885365486145
cg_baseline,OrangeKettlebell,0070,x_pos,0.4865297926070704,0.6476198434829712
cg_baseline,OrangeKettlebell,0070,x_neg,0.4952956608158306,0.6447771787643433
cg_baseline,OrangeKettlebell,0070,y_pos,0.6897664903830233,0.38428357243537903
cg_baseline,OrangeKettlebell,0070,y_neg,0.6781057643399934,0.4127063751220703
cg_baseline,OrangeKettlebell,0070,z_pos,0.7647543338252047,0.25215303897857666
cg_baseline,OrangeKettlebell,0070,z_neg,0.7664123224612106,0.25053271651268005
puflow_discrete_selected10,OrangeKettlebell,0070,x_pos,0.6447004334628706,0.431275874376297
puflow_discrete_selected10,OrangeKettlebell,0070,x_neg,0.6495552326308628,0.43898776173591614
puflow_discrete_selected10,OrangeKettlebell,0070,y_pos,0.8339068503790902,0.2693963646888733
puflow_discrete_selected10,OrangeKettlebell,0070,y_neg,0.8236663502666078,0.28774166107177734
