method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pufm_pugan_4x_selected10,OrangeKettlebell,0000,x_pos,0.5512076629728945,0.5057331323623657
pufm_pugan_4x_selected10,OrangeKettlebell,0000,x_neg,0.5683658091254253,0.5081614255905151
pufm_pugan_4x_selected10,OrangeKettlebell,0000,y_pos,0.6997709969829363,0.3880825936794281
pufm_pugan_4x_selected10,OrangeKettlebell,0000,y_neg,0.6832367565014171,0.40889284014701843
pufm_pugan_4x_selected10,OrangeKettlebell,0000,z_pos,0.7182907986081174,0.3229098618030548
pufm_pugan_4x_selected10,OrangeKettlebell,0000,z_neg,0.7225623305466882,0.3211551904678345
gradpu_chunked_4x_selected10,OrangeKettlebell,0000,x_pos,0.5101301523701073,0.5451695919036865
gradpu_chunked_4x_selected10,OrangeKettlebell,0000,x_neg,0.5293715897769087,0.5422475934028625
gradpu_chunked_4x_selected10,OrangeKettlebell,0000,y_pos,0.6727784030844354,0.3937680721282959
gradpu_chunked_4x_selected10,OrangeKettlebell,0000,y_neg,0.6534025386092114,0.4147668182849884
gradpu_chunked_4x_selected10,OrangeKettlebell,0000,z_pos,0.7323075933709734,0.28859812021255493
gradpu_chunked_4x_selected10,OrangeKettlebell,0000,z_neg,0.7383085299912038,0.28464823961257935
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
pufm_pugan_4x_selected10,OrangeKettlebell,0010,x_pos,0.49981797266986816,0.5784042477607727
pufm_pugan_4x_selected10,OrangeKettlebell,0010,x_neg,0.513889397857047,0.582563042640686
pufm_pugan_4x_selected10,OrangeKettlebell,0010,y_pos,0.5569174706885858,0.5316755771636963
pufm_pugan_4x_selected10,OrangeKettlebell,0010,y_neg,0.541153163646018,0.5405378937721252
pufm_pugan_4x_selected10,OrangeKettlebell,0010,z_pos,0.7247812120637636,0.3029934763908386
pufm_pugan_4x_selected10,OrangeKettlebell,0010,z_neg,0.726235148470316,0.30834776163101196
gradpu_chunked_4x_selected10,OrangeKettlebell,0010,x_pos,0.5078342444626901,0.5446674227714539
gradpu_chunked_4x_selected10,OrangeKettlebell,0010,x_neg,0.5227524071257661,0.5544230341911316
gradpu_chunked_4x_selected10,OrangeKettlebell,0010,y_pos,0.5081069402860507,0.5631788969039917
gradpu_chunked_4x_selected10,OrangeKettlebell,0010,y_neg,0.49439836704061,0.5724406838417053
gradpu_chunked_4x_selected10,OrangeKettlebell,0010,z_pos,0.7082308358145649,0.2987270653247833
gradpu_chunked_4x_selected10,OrangeKettlebell,0010,z_neg,0.7112676546372839,0.3014205992221832
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
pufm_pugan_4x_selected10,OrangeKettlebell,0020,x_pos,0.5197261797910903,0.583518385887146
pufm_pugan_4x_selected10,OrangeKettlebell,0020,x_neg,0.5296559818297748,0.5843421220779419
pufm_pugan_4x_selected10,OrangeKettlebell,0020,y_pos,0.5721634995690454,0.49700114130973816
pufm_pugan_4x_selected10,OrangeKettlebell,0020,y_neg,0.5579625068962902,0.5137678384780884
pufm_pugan_4x_selected10,OrangeKettlebell,0020,z_pos,0.7544916354186709,0.2594241499900818
pufm_pugan_4x_selected10,OrangeKettlebell,0020,z_neg,0.7591352369207732,0.2619042992591858
gradpu_chunked_4x_selected10,OrangeKettlebell,0020,x_pos,0.5322724930061778,0.5347017645835876
gradpu_chunked_4x_selected10,OrangeKettlebell,0020,x_neg,0.5421743981033639,0.5355437994003296
gradpu_chunked_4x_selected10,OrangeKettlebell,0020,y_pos,0.5620966313324498,0.512162446975708
gradpu_chunked_4x_selected10,OrangeKettlebell,0020,y_neg,0.548649366909562,0.5277013778686523
gradpu_chunked_4x_selected10,OrangeKettlebell,0020,z_pos,0.7489772747729814,0.2556430697441101
gradpu_chunked_4x_selected10,OrangeKettlebell,0020,z_neg,0.7543393831329791,0.2579565942287445
cg_baseline,OrangeKettlebell,0030,x_pos,0.5568684635602446,0.5409179925918579
cg_baseline,OrangeKettlebell,0030,x_neg,0.5714773346094639,0.5438688397407532
cg_baseline,OrangeKettlebell,0030,y_pos,0.7252341546238172,0.35643553733825684
cg_baseline,OrangeKettlebell,0030,y_neg,0.7204890772943685,0.3791927397251129
cg_baseline,OrangeKettlebell,0030,z_pos,0.7474946809185035,0.2870800495147705
cg_baseline,OrangeKettlebell,0030,z_neg,0.7552687229513744,0.2866048216819763
pufm_pugan_4x_selected10,OrangeKettlebell,0030,x_pos,0.5666180441561649,0.5205596089363098
pufm_pugan_4x_selected10,OrangeKettlebell,0030,x_neg,0.5886762565382565,0.5222768783569336
pufm_pugan_4x_selected10,OrangeKettlebell,0030,y_pos,0.7347186922185084,0.3762316107749939
pufm_pugan_4x_selected10,OrangeKettlebell,0030,y_neg,0.7307399883001833,0.3919249176979065
pufm_pugan_4x_selected10,OrangeKettlebell,0030,z_pos,0.7536439723778278,0.2916213274002075
pufm_pugan_4x_selected10,OrangeKettlebell,0030,z_neg,0.7598235612583375,0.29366999864578247
gradpu_chunked_4x_selected10,OrangeKettlebell,0030,x_pos,0.5749941109268705,0.47022077441215515
gradpu_chunked_4x_selected10,OrangeKettlebell,0030,x_neg,0.5992255946910618,0.47422295808792114
gradpu_chunked_4x_selected10,OrangeKettlebell,0030,y_pos,0.7312204790993282,0.3634047508239746
gradpu_chunked_4x_selected10,OrangeKettlebell,0030,y_neg,0.7265960942636434,0.38184162974357605
gradpu_chunked_4x_selected10,OrangeKettlebell,0030,z_pos,0.7516254921158417,0.28687745332717896
gradpu_chunked_4x_selected10,OrangeKettlebell,0030,z_neg,0.7581881778370505,0.28086209297180176
cg_baseline,OrangeKettlebell,0040,x_pos,0.5051589283496293,0.6070131659507751
cg_baseline,OrangeKettlebell,0040,x_neg,0.5142968397314771,0.608950138092041
cg_baseline,OrangeKettlebell,0040,y_pos,0.683125220553012,0.370476096868515
cg_baseline,OrangeKettlebell,0040,y_neg,0.6759863295019302,0.3951681852340698
cg_baseline,OrangeKettlebell,0040,z_pos,0.7364779431991014,0.2781278192996979
cg_baseline,OrangeKettlebell,0040,z_neg,0.7404838597347183,0.2758057415485382
pufm_pugan_4x_selected10,OrangeKettlebell,0040,x_pos,0.5282922894869109,0.5442855954170227
pufm_pugan_4x_selected10,OrangeKettlebell,0040,x_neg,0.5460409627775357,0.5515657663345337
pufm_pugan_4x_selected10,OrangeKettlebell,0040,y_pos,0.7072875588642334,0.33420395851135254
pufm_pugan_4x_selected10,OrangeKettlebell,0040,y_neg,0.698188682999473,0.354561448097229
pufm_pugan_4x_selected10,OrangeKettlebell,0040,z_pos,0.748215436196959,0.24545028805732727
pufm_pugan_4x_selected10,OrangeKettlebell,0040,z_neg,0.7502185242466367,0.24980399012565613
gradpu_chunked_4x_selected10,OrangeKettlebell,0040,x_pos,0.5319271002804457,0.5069717168807983
gradpu_chunked_4x_selected10,OrangeKettlebell,0040,x_neg,0.5522006783793508,0.5134465098381042
gradpu_chunked_4x_selected10,OrangeKettlebell,0040,y_pos,0.699140136569323,0.33426398038864136
gradpu_chunked_4x_selected10,OrangeKettlebell,0040,y_neg,0.6904020943693913,0.3557194769382477
