method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,x_pos,0.5197635976925428,0.531307578086853
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,x_neg,0.5405732223941695,0.5338772535324097
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,y_pos,0.6827861892360492,0.36536139249801636
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,y_neg,0.6641965884408025,0.38634416460990906
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,z_pos,0.7385977725805527,0.24787963926792145
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,z_neg,0.7432199975108401,0.24465471506118774
snowflakenet_pu_4x_selected10,OrangeKettlebell,0000,x_pos,0.5203749574303322,0.5300417542457581
snowflakenet_pu_4x_selected10,OrangeKettlebell,0000,x_neg,0.5428075565164657,0.5268480777740479
snowflakenet_pu_4x_selected10,OrangeKettlebell,0000,y_pos,0.6804475638492393,0.36646807193756104
snowflakenet_pu_4x_selected10,OrangeKettlebell,0000,y_neg,0.661223478999197,0.38280585408210754
snowflakenet_pu_4x_selected10,OrangeKettlebell,0000,z_pos,0.7377638180040359,0.2451319396495819
snowflakenet_pu_4x_selected10,OrangeKettlebell,0000,z_neg,0.7435785980884173,0.2409610152244568
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0000,x_pos,0.5174723937501565,0.5225416421890259
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0000,x_neg,0.5397036926712185,0.524431586265564
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0000,y_pos,0.6725575004722018,0.3757174015045166
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0000,y_neg,0.6538640984731373,0.3897400498390198
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0000,z_pos,0.7345232518015469,0.24557967483997345
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0000,z_neg,0.740365905767484,0.24290461838245392
spu_pointnet_4x_selected10,OrangeKettlebell,0000,x_pos,0.5107782773953756,0.5522153377532959
spu_pointnet_4x_selected10,OrangeKettlebell,0000,x_neg,0.5301686606819297,0.5543683171272278
spu_pointnet_4x_selected10,OrangeKettlebell,0000,y_pos,0.6752686710759687,0.380190372467041
spu_pointnet_4x_selected10,OrangeKettlebell,0000,y_neg,0.6574460757258344,0.3942009210586548
spu_pointnet_4x_selected10,OrangeKettlebell,0000,z_pos,0.7360008596541262,0.2596667408943176
spu_pointnet_4x_selected10,OrangeKettlebell,0000,z_neg,0.7415825260413852,0.25477010011672974
cg_baseline,OrangeKettlebell,0010,x_pos,0.48464137094320625,0.6333308815956116
cg_baseline,OrangeKettlebell,0010,x_neg,0.49224824156196406,0.6434945464134216
cg_baseline,OrangeKettlebell,0010,y_pos,0.48564522992248643,0.6463962197303772
cg_baseline,OrangeKettlebell,0010,y_neg,0.47634197503001596,0.646045446395874
cg_baseline,OrangeKettlebell,0010,z_pos,0.6968214626603677,0.3377887010574341
cg_baseline,OrangeKettlebell,0010,z_neg,0.7006820746698755,0.3398311734199524
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,x_pos,0.5112426460442324,0.5336072444915771
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,x_neg,0.5276609939524947,0.5416212677955627
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,y_pos,0.5114338691377207,0.5612208247184753
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,y_neg,0.495418449012717,0.5711247324943542
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,z_pos,0.7082995708798023,0.2900363802909851
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,z_neg,0.7113692153051933,0.29776471853256226
snowflakenet_pu_4x_selected10,OrangeKettlebell,0010,x_pos,0.5116293187955496,0.5366250872612
snowflakenet_pu_4x_selected10,OrangeKettlebell,0010,x_neg,0.5303957773552405,0.5391407012939453
snowflakenet_pu_4x_selected10,OrangeKettlebell,0010,y_pos,0.5223578078240904,0.5543079376220703
snowflakenet_pu_4x_selected10,OrangeKettlebell,0010,y_neg,0.5065050350847459,0.5686898231506348
snowflakenet_pu_4x_selected10,OrangeKettlebell,0010,z_pos,0.7109615672427178,0.292485773563385
snowflakenet_pu_4x_selected10,OrangeKettlebell,0010,z_neg,0.7146643361514177,0.2913273572921753
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0010,x_pos,0.5170529004743553,0.5170906186103821
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0010,x_neg,0.5354854080177064,0.5272774696350098
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0010,y_pos,0.5145467674137477,0.5540592074394226
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0010,y_neg,0.4992838642818542,0.5637335777282715
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0010,z_pos,0.7099660651469043,0.2875247299671173
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0010,z_neg,0.7130779181606736,0.29517391324043274
spu_pointnet_4x_selected10,OrangeKettlebell,0010,x_pos,0.5065790272047529,0.5606738328933716
spu_pointnet_4x_selected10,OrangeKettlebell,0010,x_neg,0.5211320504198659,0.5700527429580688
spu_pointnet_4x_selected10,OrangeKettlebell,0010,y_pos,0.5079193739439781,0.5732098817825317
spu_pointnet_4x_selected10,OrangeKettlebell,0010,y_neg,0.4938476104619008,0.583148181438446
spu_pointnet_4x_selected10,OrangeKettlebell,0010,z_pos,0.7069603035761185,0.3006709814071655
spu_pointnet_4x_selected10,OrangeKettlebell,0010,z_neg,0.7101911815194556,0.30654171109199524
cg_baseline,OrangeKettlebell,0020,x_pos,0.5018605253434459,0.6258913278579712
cg_baseline,OrangeKettlebell,0020,x_neg,0.510388148568865,0.6295903921127319
cg_baseline,OrangeKettlebell,0020,y_pos,0.5450771833343023,0.5773203372955322
cg_baseline,OrangeKettlebell,0020,y_neg,0.537522274177423,0.5963820219039917
cg_baseline,OrangeKettlebell,0020,z_pos,0.7449487027447569,0.2760564088821411
cg_baseline,OrangeKettlebell,0020,z_neg,0.75099404351012,0.2770383059978485
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,x_pos,0.5353214314374579,0.524895191192627
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,x_neg,0.5458053448882888,0.5241806507110596
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,y_pos,0.5646308856844052,0.5020464658737183
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,y_neg,0.5504513792002158,0.52250736951828
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,z_pos,0.749154093972796,0.25521326065063477
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,z_neg,0.7548109942766775,0.2547093629837036
snowflakenet_pu_4x_selected10,OrangeKettlebell,0020,x_pos,0.5391827056133106,0.5162968635559082
snowflakenet_pu_4x_selected10,OrangeKettlebell,0020,x_neg,0.5503194471772322,0.5129678249359131
snowflakenet_pu_4x_selected10,OrangeKettlebell,0020,y_pos,0.5703333849506721,0.492744117975235
snowflakenet_pu_4x_selected10,OrangeKettlebell,0020,y_neg,0.5548236176481672,0.5102143287658691
snowflakenet_pu_4x_selected10,OrangeKettlebell,0020,z_pos,0.7525928711126485,0.24963973462581635
snowflakenet_pu_4x_selected10,OrangeKettlebell,0020,z_neg,0.7577351825730559,0.24759957194328308
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0020,x_pos,0.5392577446807826,0.515926718711853
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0020,x_neg,0.5512454586187291,0.5117896199226379
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0020,y_pos,0.566769147136651,0.4971839189529419
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0020,y_neg,0.5525311857370433,0.5155351161956787
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0020,z_pos,0.7498522018296448,0.25440603494644165
pu_gaussian_pu1k_4x_selected10,OrangeKettlebell,0020,z_neg,0.7548624357337558,0.25506770610809326
