method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
gqenet_selected10,OrangeKettlebell,0000,x_pos,0.484051838569733,0.6355488300323486
gqenet_selected10,OrangeKettlebell,0000,x_neg,0.49462504175915206,0.6400039792060852
gqenet_selected10,OrangeKettlebell,0000,y_pos,0.6510375392408574,0.4256236255168915
gqenet_selected10,OrangeKettlebell,0000,y_neg,0.6419917558694577,0.4477001428604126
gqenet_selected10,OrangeKettlebell,0000,z_pos,0.7259286036525201,0.30235347151756287
gqenet_selected10,OrangeKettlebell,0000,z_neg,0.7315481923570136,0.2994531989097595
mag_selected10,OrangeKettlebell,0000,x_pos,0.49857670691058287,0.6122258901596069
mag_selected10,OrangeKettlebell,0000,x_neg,0.5094532483376208,0.6164829730987549
mag_selected10,OrangeKettlebell,0000,y_pos,0.6297881795312087,0.4629221558570862
mag_selected10,OrangeKettlebell,0000,y_neg,0.6193304822169563,0.48559197783470154
mag_selected10,OrangeKettlebell,0000,z_pos,0.6981610322228894,0.3278302252292633
mag_selected10,OrangeKettlebell,0000,z_neg,0.7028902992093286,0.32805705070495605
score_denoise_selected10,OrangeKettlebell,0000,x_pos,0.49921817271221264,0.6161368489265442
score_denoise_selected10,OrangeKettlebell,0000,x_neg,0.5100063470685293,0.617090106010437
score_denoise_selected10,OrangeKettlebell,0000,y_pos,0.6292103229664131,0.4580860435962677
score_denoise_selected10,OrangeKettlebell,0000,y_neg,0.619028656063939,0.4831307828426361
score_denoise_selected10,OrangeKettlebell,0000,z_pos,0.698050383378119,0.326446533203125
score_denoise_selected10,OrangeKettlebell,0000,z_neg,0.702332566406841,0.33103275299072266
pointcleannet_selected10,OrangeKettlebell,0000,x_pos,0.47009053033590836,0.6845488548278809
pointcleannet_selected10,OrangeKettlebell,0000,x_neg,0.4757042908792936,0.6850948333740234
pointcleannet_selected10,OrangeKettlebell,0000,y_pos,0.6514674388284298,0.44312164187431335
pointcleannet_selected10,OrangeKettlebell,0000,y_neg,0.6441835440452133,0.4605303406715393
pointcleannet_selected10,OrangeKettlebell,0000,z_pos,0.7209599874783222,0.3192818760871887
pointcleannet_selected10,OrangeKettlebell,0000,z_neg,0.7240670516593158,0.32510408759117126
