method,sequence,frame,view,projection_ssim,projection_lpips
cg_baseline,OrangeKettlebell,0000,x_pos,0.4832250534275351,0.6372741460800171
cg_baseline,OrangeKettlebell,0000,x_neg,0.49341684525370977,0.6415491104125977
cg_baseline,OrangeKettlebell,0000,y_pos,0.6505857388190305,0.4262535572052002
cg_baseline,OrangeKettlebell,0000,y_neg,0.6416065945357903,0.44836634397506714
cg_baseline,OrangeKettlebell,0000,z_pos,0.7246408923202257,0.30343860387802124
cg_baseline,OrangeKettlebell,0000,z_neg,0.7304363485552482,0.30031484365463257
pdflow,OrangeKettlebell,0000,x_pos,0.47444732578547427,0.6734127998352051
pdflow,OrangeKettlebell,0000,x_neg,0.4813436346083706,0.6779156923294067
pdflow,OrangeKettlebell,0000,y_pos,0.6406940267925293,0.4508540630340576
pdflow,OrangeKettlebell,0000,y_neg,0.6330900571893414,0.4718393385410309
pdflow,OrangeKettlebell,0000,z_pos,0.7140398246636979,0.3188033103942871
pdflow,OrangeKettlebell,0000,z_neg,0.7170936256271697,0.31871497631073
