method,metric,mean,std,count
adapointr_ps55,N_Acc,nan,nan,1
adapointr_ps55,N_Comp,nan,nan,1
adapointr_ps55,normals,nan,nan,1
adapointr_ps55,CD_Acc,28.638897165141394,0.0,1
adapointr_ps55,CD_Comp,47.903767271484995,0.0,1
adapointr_ps55,chamferL2_old,38.27133221831319,0.0,1
adapointr_ps55,chamfer-L1,76.54266443662638,0.0,1
adapointr_ps55,chamfer-L2,6248.266718017228,0.0,1
adapointr_ps55,P_5,0.122802734375,0.0,1
adapointr_ps55,R_5,0.021362785002492488,0.0,1
adapointr_ps55,F_5,0.036394394769279234,0.0,1
adapointr_ps55,P_10,0.2342529296875,0.0,1
adapointr_ps55,R_10,0.13649717026914893,0.0,1
adapointr_ps55,F_10,0.1724874088144031,0.0,1
adapointr_ps55,P_20,0.439208984375,0.0,1
adapointr_ps55,R_20,0.3890724827318881,0.0,1
adapointr_ps55,F_20,0.41262333343232954,0.0,1
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
