method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
crcir_aftercomp_4x_selected10,N_Acc,nan,nan,10
crcir_aftercomp_4x_selected10,N_Comp,nan,nan,10
crcir_aftercomp_4x_selected10,normals,nan,nan,10
crcir_aftercomp_4x_selected10,CD_Acc,25.12108782869251,1.5877331644305404,10
crcir_aftercomp_4x_selected10,CD_Comp,27.212062230234256,1.1943205930826926,10
crcir_aftercomp_4x_selected10,chamferL2_old,26.166575029463388,1.2481310293204395,10
crcir_aftercomp_4x_selected10,chamfer-L1,52.333150058926776,2.496262058640879,10
crcir_aftercomp_4x_selected10,chamfer-L2,2256.6031755308354,169.4759091802069,10
crcir_aftercomp_4x_selected10,P_5,0.12261688300187641,0.00833627326462884,10
crcir_aftercomp_4x_selected10,R_5,0.1465635314895183,0.007335987314130162,10
crcir_aftercomp_4x_selected10,F_5,0.13349984850317487,0.007853903653664774,10
crcir_aftercomp_4x_selected10,P_10,0.23548020273065268,0.016672544338579797,10
crcir_aftercomp_4x_selected10,R_10,0.272331539620986,0.015530995683799079,10
crcir_aftercomp_4x_selected10,F_10,0.2524953019797018,0.015771159877907094,10
crcir_aftercomp_4x_selected10,P_20,0.4512567867541567,0.031526878327638175,10
crcir_aftercomp_4x_selected10,R_20,0.4760848084606632,0.027603365186421938,10
crcir_aftercomp_4x_selected10,F_20,0.4630607889537167,0.02767458735605248,10
