method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
deeprs_denoise,N_Acc,nan,nan,1
deeprs_denoise,N_Comp,nan,nan,1
deeprs_denoise,normals,nan,nan,1
deeprs_denoise,CD_Acc,23.615288208450036,0.0,1
deeprs_denoise,CD_Comp,27.642735658555292,0.0,1
deeprs_denoise,chamferL2_old,25.629011933502664,0.0,1
deeprs_denoise,chamfer-L1,51.25802386700533,0.0,1
deeprs_denoise,chamfer-L2,2197.3496974482478,0.0,1
deeprs_denoise,P_5,0.12526717845631993,0.0,1
deeprs_denoise,R_5,0.12426484855231207,0.0,1
deeprs_denoise,F_5,0.12476400040553964,0.0,1
deeprs_denoise,P_10,0.24161482161923564,0.0,1
deeprs_denoise,R_10,0.2527403049324829,0.0,1
deeprs_denoise,F_10,0.24705237353643375,0.0,1
deeprs_denoise,P_20,0.47317876251886404,0.0,1
deeprs_denoise,R_20,0.47984078006679776,0.0,1
deeprs_denoise,F_20,0.4764864861051586,0.0,1
