method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
fbnet_mvp2k,N_Acc,nan,nan,1
fbnet_mvp2k,N_Comp,nan,nan,1
fbnet_mvp2k,normals,nan,nan,1
fbnet_mvp2k,CD_Acc,28.548280792710248,0.0,1
fbnet_mvp2k,CD_Comp,40.61071543749691,0.0,1
fbnet_mvp2k,chamferL2_old,34.579498115103576,0.0,1
fbnet_mvp2k,chamfer-L1,69.15899623020715,0.0,1
fbnet_mvp2k,chamfer-L2,3831.5755670637536,0.0,1
fbnet_mvp2k,P_5,0.109375,0.0,1
fbnet_mvp2k,R_5,0.004996851943677291,0.0,1
fbnet_mvp2k,F_5,0.009557083706379855,0.0,1
fbnet_mvp2k,P_10,0.220703125,0.0,1
fbnet_mvp2k,R_10,0.038692274084610775,0.0,1
fbnet_mvp2k,F_10,0.06584161349018113,0.0,1
fbnet_mvp2k,P_20,0.43017578125,0.0,1
fbnet_mvp2k,R_20,0.2341749122570046,0.0,1
fbnet_mvp2k,F_20,0.3032626497235531,0.0,1
