method,sequence,frame,pred_file,gt_file,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.617759213033505,26.488399366804423,25.053079289918962,50.106158579837924,2098.367986300955,0.12523735388445165,0.14140646620888223,0.1328316676827739,0.2417838275264892,0.27432219993479495,0.25702730813659047,0.47341338248422776,0.5004960773590293,0.4865781690646267
geometry_filter_sor,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/geometry_filter_sor/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.622749234923365,28.65988104845353,26.141315141688448,52.282630283376896,2293.952977432001,0.12497323051130234,0.12898407316690066,0.12694697947021316,0.2414067391805375,0.25046560874961665,0.24585275484402372,0.47287664415650105,0.4663936737927281,0.469612785806883
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.94215055900293,27.307251467895746,25.62470101344934,51.24940202689868,2158.955502050578,0.13069106374841305,0.1471705319619715,0.13844211414215993,0.2517586898667946,0.27569705066386074,0.2631846539595633,0.47687453409990316,0.4680568329832218,0.47242454200700684
geometry_filter_sor,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/geometry_filter_sor/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.928605780109574,29.677897003430623,26.803251391770097,53.60650278354019,2339.465686244586,0.1308250699118487,0.1318891772706512,0.13135496854164144,0.25199826780091455,0.24936660249464385,0.25067552833929047,0.47706854664092835,0.4344377690868587,0.45475624584940383
cg_baseline,OrangeKettlebell,0020,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.459573968552462,27.123948322714178,27.29176114563332,54.58352229126664,2378.607453328108,0.1152224977838179,0.13822788838150532,0.12568110708902866,0.21604412358190217,0.26252066007836844,0.23702557256714418,0.4040763953323928,0.4624890872937773,0.43131402535878965
geometry_filter_sor,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/geometry_filter_sor/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.50219268300921,29.545632918230947,28.523912800620078,57.047825601240156,2558.8781524574097,0.11535445715813442,0.12426625387253462,0.11964463503078794,0.21592738064692088,0.2373685037027584,0.22614085422878966,0.40237064363728364,0.42510144103658176,0.41342383292227214
cg_baseline,OrangeKettlebell,0030,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.478833267425685,28.288345625250475,26.88358944633808,53.76717889267616,2324.984719629893,0.11335397440343024,0.13338799271839993,0.12255766044744903,0.21653937615621968,0.2512871156317758,0.2326228044377577,0.4288789575496855,0.4526779614530087,0.4404572138877167
geometry_filter_sor,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/geometry_filter_sor/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.401637926707043,30.533756330944012,27.967697128825527,55.935394257651055,2478.9151196170683,0.11313256730149736,0.12074971715649671,0.11681710339457232,0.21614261402498777,0.22734555239566148,0.22160258470186378,0.4283022715665273,0.41631929665830747,0.4222257805480679
cg_baseline,OrangeKettlebell,0040,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.55243464179633,26.352273215747406,24.95235392877187,49.90470785754374,2073.5311704947126,0.13154029551734292,0.14466363027967347,0.13779019702699274,0.2550107953682149,0.2812834224598931,0.2675035713638136,0.47673321465618956,0.49730774152808166,0.48680318170777176
geometry_filter_sor,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/geometry_filter_sor/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.48891345200552,29.831927069067874,26.660420260536696,53.32084052107339,2352.2607168252634,0.13205158128136305,0.1302014211298129,0.13111997488833912,0.2556152020850352,0.252993414634658,0.25429755093457984,0.47682732329715644,0.4503387088991594,0.46320463365727854
cg_baseline,OrangeKettlebell,0050,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,nan,nan,nan,26.73945915222923,26.700826260374676,26.720142706301953,53.440285412603906,2280.1556313208107,0.11424836557038673,0.13701728274089003,0.12460119967254353,0.22192345400145283,0.26601819787206227,0.24197842947956938,0.4191945788242944,0.4789822949543239,0.44709853317190057
geometry_filter_sor,OrangeKettlebell,0050,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/geometry_filter_sor/OrangeKettlebell/15fps/frame_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,nan,nan,nan,26.777924745648605,28.540801407637705,27.659363076643153,55.318726153286306,2451.0480753862394,0.11405011264166194,0.12783627771323608,0.12055032820568215,0.22164783573234279,0.24920601338920623,0.23462046077462925,0.4181258491117646,0.45113863515547126,0.43400536500813275
