method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
gqenet,N_Acc,nan,nan,1
gqenet,N_Comp,nan,nan,1
gqenet,normals,nan,nan,1
gqenet,CD_Acc,23.617759236609036,0.0,1
gqenet,CD_Comp,26.488399352069486,0.0,1
gqenet,chamferL2_old,25.053079294339263,0.0,1
gqenet,chamfer-L1,50.106158588678525,0.0,1
gqenet,chamfer-L2,2098.3679824878727,0.0,1
gqenet,P_5,0.12523735388445165,0.0,1
gqenet,R_5,0.14140646620888223,0.0,1
gqenet,F_5,0.1328316676827739,0.0,1
gqenet,P_10,0.2417838275264892,0.0,1
gqenet,R_10,0.27432219993479495,0.0,1
gqenet,F_10,0.25702730813659047,0.0,1
gqenet,P_20,0.47341338248422776,0.0,1
gqenet,R_20,0.5004965173389486,0.0,1
gqenet,F_20,0.48657837698954887,0.0,1
