method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
gradpu_chunked_4x,N_Acc,nan,nan,1
gradpu_chunked_4x,N_Comp,nan,nan,1
gradpu_chunked_4x,normals,nan,nan,1
gradpu_chunked_4x,CD_Acc,23.521752766033554,0.0,1
gradpu_chunked_4x,CD_Comp,26.19390325478108,0.0,1
gradpu_chunked_4x,chamferL2_old,24.857828010407317,0.0,1
gradpu_chunked_4x,chamfer-L1,49.715656020814635,0.0,1
gradpu_chunked_4x,chamfer-L2,2076.059363101246,0.0,1
gradpu_chunked_4x,P_5,0.12500372807148352,0.0,1
gradpu_chunked_4x,R_5,0.14765858086236944,0.0,1
gradpu_chunked_4x,F_5,0.13538998596258947,0.0,1
gradpu_chunked_4x,P_10,0.24196227788150101,0.0,1
gradpu_chunked_4x,R_10,0.2795575209947418,0.0,1
gradpu_chunked_4x,F_10,0.2594048192400261,0.0,1
gradpu_chunked_4x,P_20,0.4759395237214703,0.0,1
gradpu_chunked_4x,R_20,0.5054260523549705,0.0,1
gradpu_chunked_4x,F_20,0.49023980563082314,0.0,1
