frame,metric,baseline,gradpu_chunked_4x_selected10,delta_for_better,gradpu_chunked_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.521752766033554,0.09600644699995087,True
0000,CD_Comp,26.488399366804423,26.19390325478108,0.29449611202334225,True
0000,chamferL2_old,25.053079289918962,24.857828010407317,0.19525127951164478,True
0000,chamfer-L1,50.106158579837924,49.715656020814635,0.39050255902328956,True
0000,chamfer-L2,2098.367986300955,2076.059363101246,22.308623199709018,True
0000,P_5,0.12523735388445165,0.12500372807148352,-0.00023362581296812457,False
0000,R_5,0.14140646620888223,0.14765858086236944,0.006252114653487212,True
0000,F_5,0.1328316676827739,0.13538998596258947,0.0025583182798155635,True
0000,P_10,0.2417838275264892,0.24196227788150101,0.00017845035501182216,True
0000,R_10,0.27432219993479495,0.2795575209947418,0.00523532105994684,True
0000,F_10,0.25702730813659047,0.2594048192400261,0.0023775111034356478,True
0000,P_20,0.47341338248422776,0.4759395237214703,0.0025261412372425407,True
0000,R_20,0.5004960773590293,0.5054260523549705,0.0049299749959411665,True
0000,F_20,0.4865781690646267,0.49023980563082314,0.0036616365661964467,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.81769988055621,0.12445067844672053,True
0010,CD_Comp,27.307251467895746,27.095304100190614,0.21194736770513245,True
0010,chamferL2_old,25.62470101344934,25.45650199037341,0.16819902307592827,True
0010,chamfer-L1,51.24940202689868,50.91300398074682,0.33639804615185653,True
0010,chamfer-L2,2158.955502050578,2147.5058907078987,11.449611342679418,True
0010,P_5,0.13069106374841305,0.13164543962377406,0.0009543758753610132,True
0010,R_5,0.1471705319619715,0.15317083199786716,0.0060003000358956615,True
0010,F_5,0.13844211414215993,0.14159472983120336,0.003152615689043431,True
0010,P_10,0.2517586898667946,0.25366390033412006,0.0019052104673254466,True
0010,R_10,0.27569705066386074,0.28029704389424864,0.0045999932303879,True
0010,F_10,0.2631846539595633,0.2663162621719015,0.0031316082123382105,True
0010,P_20,0.47687453409990316,0.48075356740036157,0.003879033300458412,True
0010,R_20,0.4680568329832218,0.4716777397184426,0.003620906735220808,True
0010,F_20,0.47242454200700684,0.476172411255471,0.003747869248464153,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.322039161901998,0.13753480665046425,True
0020,CD_Comp,27.123948322714178,26.92340022850846,0.20054809420571829,True
0020,chamferL2_old,27.29176114563332,27.122719695205227,0.16904145042809304,True
0020,chamfer-L1,54.58352229126664,54.24543939041045,0.3380829008561861,True
0020,chamfer-L2,2378.607453328108,2369.943717337297,8.663735990810892,True
0020,P_5,0.1152224977838179,0.11603136113247768,0.0008088633486597746,True
0020,R_5,0.13822788838150532,0.14347800325754897,0.0052501148760436545,True
0020,F_5,0.12568110708902866,0.1283032544869759,0.00262214739794725,True
0020,P_10,0.21604412358190217,0.21717118583851017,0.0011270622566079969,True
0020,R_10,0.26252066007836844,0.26649460465860164,0.003973944580233202,True
0020,F_10,0.23702557256714418,0.23931793585727693,0.002292363290132743,True
0020,P_20,0.4040763953323928,0.40584718519003976,0.0017707898576469483,True
0020,R_20,0.4624890872937773,0.46652684038880105,0.004037753095023744,True
0020,F_20,0.43131402535878965,0.4340766676581578,0.0027626422993681232,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.427179966166978,0.05165330125870682,True
0030,CD_Comp,28.288345625250475,28.026924936388507,0.2614206888619677,True
0030,chamferL2_old,26.88358944633808,26.727052451277743,0.15653699506033547,True
0030,chamfer-L1,53.76717889267616,53.454104902555486,0.31307399012067094,True
0030,chamfer-L2,2324.984719629893,2309.720206916111,15.264512713782096,True
0030,P_5,0.11335397440343024,0.114033844783612,0.0006798703801817602,True
0030,R_5,0.13338799271839993,0.1386819534556243,0.005293960737224379,True
0030,F_5,0.12255766044744903,0.12515589816570036,0.0025982377182513228,True
0030,P_10,0.21653937615621968,0.21811825960223402,0.0015788834460143397,True
0030,R_10,0.2512871156317758,0.25495592825767566,0.0036688126258998532,True
0030,F_10,0.2326228044377577,0.23510284337603332,0.002480038938275614,True
0030,P_20,0.4288789575496855,0.4313097691873063,0.0024308116376207667,True
0030,R_20,0.4526779614530087,0.45701029608885757,0.004332334635848867,True
0030,F_20,0.4404572138877167,0.4437882538677735,0.0033310399800567936,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.55678163105562,-0.004346989259289558,False
0040,CD_Comp,26.352273215747406,26.140776776253528,0.21149643949387809,True
0040,chamferL2_old,24.95235392877187,24.848779203654573,0.10357472511729782,True
0040,chamfer-L1,49.90470785754374,49.697558407309145,0.20714945023459563,True
0040,chamfer-L2,2073.5311704947126,2069.5291996040655,4.001970890647044,True
0040,P_5,0.13154029551734292,0.1314460353517827,-9.42601655602171e-05,False
0040,R_5,0.14466363027967347,0.15076060025636562,0.0060969699766921515,True
0040,F_5,0.13779019702699274,0.1404423616634621,0.002652164636469362,True
0040,P_10,0.2550107953682149,0.25556885306481536,0.0005580576966004447,True
0040,R_10,0.2812834224598931,0.2863989862859085,0.005115563826015412,True
0040,F_10,0.2675035713638136,0.27010702528660163,0.002603453922788046,True
0040,P_20,0.47673321465618956,0.47823340505234485,0.0015001903961552876,True
0040,R_20,0.49730774152808166,0.5014754658951922,0.004167724367110548,True
0040,F_20,0.48680318170777176,0.48957874470060037,0.0027755629928286063,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.61908879709906,0.12037035513017003,True
0050,CD_Comp,26.700826260374676,26.577733268563,0.12309299181167432,True
0050,chamferL2_old,26.720142706301953,26.59841103283103,0.12173167347092217,True
0050,chamfer-L1,53.440285412603906,53.19682206566206,0.24346334694184435,True
0050,chamfer-L2,2280.1556313208107,2277.261255949308,2.8943753715025196,True
0050,P_5,0.11424836557038673,0.11429450719894069,4.6141628553958425e-05,True
0050,R_5,0.13701728274089003,0.1427790211849361,0.005761738444046066,True
0050,F_5,0.12460119967254353,0.1269586796218951,0.002357479949351579,True
0050,P_10,0.22192345400145283,0.22177063631422364,-0.00015281768722918976,False
0050,R_10,0.26601819787206227,0.27032991324193567,0.004311715369873403,True
0050,F_10,0.24197842947956938,0.2436544195226151,0.001675990043045722,True
0050,P_20,0.4191945788242944,0.42035785584508606,0.0011632770207916643,True
0050,R_20,0.4789822949543239,0.4820506031658837,0.003068308211559845,True
0050,F_20,0.44709853317190057,0.44909543108167627,0.0019968979097756967,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.139392428294816,0.12295973672911842,True
0060,CD_Comp,29.178067226868468,28.88707183985232,0.2909953870161459,True
0060,chamferL2_old,28.220209695946203,28.01323213407357,0.20697756187263394,True
0060,chamfer-L1,56.440419391892405,56.02646426814714,0.4139551237452679,True
0060,chamfer-L2,2529.5578434992453,2515.2479057498085,14.309937749436813,True
0060,P_5,0.1111009192672546,0.11144030766767621,0.00033938840042160856,True
