metric,baseline,igr,delta_for_better,igr_improved
N_Acc,nan,nan,nan,False
N_Comp,nan,nan,nan,False
normals,nan,nan,nan,False
CD_Acc,23.617759213033505,51.99740473922789,-28.379645526194384,False
CD_Comp,26.488399366804423,39.61955416440276,-13.131154797598334,False
chamferL2_old,25.053079289918962,45.80847945181532,-20.75540016189636,False
chamfer-L1,50.106158579837924,91.61695890363065,-41.51080032379272,False
chamfer-L2,2098.367986300955,8029.451783158895,-5931.08379685794,False
P_5,0.12523735388445165,0.09559,-0.029647353884451652,False
R_5,0.14140646620888223,0.08178214746278979,-0.05962431874609243,False
F_5,0.1328316676827739,0.08814862522435311,-0.044683042458420794,False
P_10,0.2417838275264892,0.180085,-0.0616988275264892,False
R_10,0.27432219993479495,0.16927347435863027,-0.10504872557616468,False
F_10,0.25702730813659047,0.17451194613691437,-0.0825153619996761,False
P_20,0.47341338248422776,0.331525,-0.14188838248422775,False
R_20,0.5004960773590293,0.317959848312523,-0.18253622904650635,False
F_20,0.4865781690646267,0.32460076316079534,-0.16197740590383136,False
