variant,metric,baseline,igr,delta_for_better,igr_improved
igr100_50k_res64_sigma18_lam01,N_Acc,nan,nan,nan,False
igr100_50k_res64_sigma18_lam01,N_Comp,nan,nan,nan,False
igr100_50k_res64_sigma18_lam01,normals,nan,nan,nan,False
igr100_50k_res64_sigma18_lam01,CD_Acc,23.617759213033505,645.2074714652817,-621.5897122522482,False
igr100_50k_res64_sigma18_lam01,CD_Comp,26.488399366804423,74.56685048657386,-48.07845111976943,False
igr100_50k_res64_sigma18_lam01,chamferL2_old,25.053079289918962,359.8871609759278,-334.83408168600886,False
igr100_50k_res64_sigma18_lam01,chamfer-L1,50.106158579837924,719.7743219518557,-669.6681633720177,False
igr100_50k_res64_sigma18_lam01,chamfer-L2,2098.367986300955,609782.0088504129,-607683.640864112,False
igr100_50k_res64_sigma18_lam01,P_5,0.12523735388445165,0.0128,-0.11243735388445164,False
igr100_50k_res64_sigma18_lam01,R_5,0.14140646620888223,0.030626122223781707,-0.11078034398510052,False
igr100_50k_res64_sigma18_lam01,F_5,0.1328316676827739,0.01805431129421566,-0.11477735638855825,False
igr100_50k_res64_sigma18_lam01,P_10,0.2417838275264892,0.025075,-0.21670882752648918,False
igr100_50k_res64_sigma18_lam01,R_10,0.27432219993479495,0.08781163227710287,-0.18651056765769208,False
igr100_50k_res64_sigma18_lam01,F_10,0.25702730813659047,0.039010406014122326,-0.21801690212246816,False
igr100_50k_res64_sigma18_lam01,P_20,0.47341338248422776,0.0493,-0.42411338248422775,False
igr100_50k_res64_sigma18_lam01,R_20,0.5004960773590293,0.19091828648940462,-0.3095777908696247,False
igr100_50k_res64_sigma18_lam01,F_20,0.4865781690646267,0.07836432156336105,-0.40821384750126566,False
igr300_100k_res96_sigma08_lam01,N_Acc,nan,nan,nan,False
igr300_100k_res96_sigma08_lam01,N_Comp,nan,nan,nan,False
igr300_100k_res96_sigma08_lam01,normals,nan,nan,nan,False
igr300_100k_res96_sigma08_lam01,CD_Acc,23.617759213033505,72.46105286532003,-48.84329365228652,False
igr300_100k_res96_sigma08_lam01,CD_Comp,26.488399366804423,43.43745091459547,-16.94905154779105,False
