method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
iterativepfn,N_Acc,nan,nan,1
iterativepfn,N_Comp,nan,nan,1
iterativepfn,normals,nan,nan,1
iterativepfn,CD_Acc,23.980892558281656,0.0,1
iterativepfn,CD_Comp,28.160481379036504,0.0,1
iterativepfn,chamferL2_old,26.070686968659082,0.0,1
iterativepfn,chamfer-L1,52.141373937318164,0.0,1
iterativepfn,chamfer-L2,2248.880221300752,0.0,1
iterativepfn,P_5,0.12361560827659773,0.0,1
iterativepfn,R_5,0.12828098525583292,0.0,1
iterativepfn,F_5,0.12590509304112094,0.0,1
iterativepfn,P_10,0.2373422067079687,0.0,1
iterativepfn,R_10,0.2503727729866409,0.0,1
iterativepfn,F_10,0.2436834172181955,0.0,1
iterativepfn,P_20,0.46772887117221285,0.0,1
iterativepfn,R_20,0.46716671851096714,0.0,1
iterativepfn,F_20,0.46744762583040944,0.0,1
