method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
mag,N_Acc,nan,nan,1
mag,N_Comp,nan,nan,1
mag,normals,nan,nan,1
mag,CD_Acc,23.467204658397083,0.0,1
mag,CD_Comp,26.617270276099564,0.0,1
mag,chamferL2_old,25.042237467248324,0.0,1
mag,chamfer-L1,50.08447493449665,0.0,1
mag,chamfer-L2,2093.9045548112254,0.0,1
mag,P_5,0.12485361105974657,0.0,1
mag,R_5,0.13646945153423198,0.0,1
mag,F_5,0.1304033685680871,0.0,1
mag,P_10,0.24267061146337243,0.0,1
mag,R_10,0.2680507261648578,0.0,1
mag,F_10,0.25473004094055496,0.0,1
mag,P_20,0.47775186353866556,0.0,1
mag,R_20,0.4963514665190681,0.0,1
mag,F_20,0.48687409391276765,0.0,1
