frame,metric,baseline,neuralpoints_16x_2048,delta_for_better,neuralpoints_16x_2048_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,24.129223560615927,-0.5114643475824217,False
0000,CD_Comp,26.488399366804423,25.836933414220375,0.6514659525840472,True
0000,chamferL2_old,25.053079289918962,24.98307848741815,0.07000080250081098,True
0000,chamfer-L1,50.106158579837924,49.9661569748363,0.14000160500162195,True
0000,chamfer-L2,2098.367986300955,2197.846013234686,-99.47802693373069,False
0000,P_5,0.12523735388445165,0.1224365234375,-0.0028008304469516465,False
0000,R_5,0.14140646620888223,0.07372083538107321,-0.06768563082780901,False
0000,F_5,0.1328316676827739,0.0920294078522453,-0.04080225983052861,False
0000,P_10,0.2417838275264892,0.237640380859375,-0.004143446667114192,False
0000,R_10,0.27432219993479495,0.25745864958723286,-0.016863550347562095,False
0000,F_10,0.25702730813659047,0.2471528634918157,-0.009874444644774771,False
0000,P_20,0.47341338248422776,0.485321044921875,0.011907662437647237,True
0000,R_20,0.5004960773590293,0.5185541731875357,0.01805809582850637,True
0000,F_20,0.4865781690646267,0.5013875203612113,0.01480935129658456,True
