method,sequence,frame,pred_file,gt_file,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.617759213033505,26.488399366804423,25.053079289918962,50.106158579837924,2098.367986300955,0.12523735388445165,0.14140646620888223,0.1328316676827739,0.2417838275264892,0.27432219993479495,0.25702730813659047,0.47341338248422776,0.5004960773590293,0.4865781690646267
neuralpoints_16x_2048_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/neuralpoints_16x_2048_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,24.129223560615927,25.836933414220375,24.98307848741815,49.9661569748363,2197.846013234686,0.1224365234375,0.07372083538107321,0.0920294078522453,0.237640380859375,0.25745864958723286,0.2471528634918157,0.485321044921875,0.5185541731875357,0.5013875203612113
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.94215055900293,27.307251467895746,25.62470101344934,51.24940202689868,2158.955502050578,0.13069106374841305,0.1471705319619715,0.13844211414215993,0.2517586898667946,0.27569705066386074,0.2631846539595633,0.47687453409990316,0.4680568329832218,0.47242454200700684
neuralpoints_16x_2048_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/neuralpoints_16x_2048_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,24.1281143036252,27.150143798994513,25.639129051309858,51.278258102619716,2242.8972759209155,0.133453369140625,0.07442018481041116,0.09555447728917639,0.25714111328125,0.2608874794352138,0.25900074955834773,0.488067626953125,0.48786087360590913,0.48796422837886216
cg_baseline,OrangeKettlebell,0020,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.459573968552462,27.123948322714178,27.29176114563332,54.58352229126664,2378.607453328108,0.1152224977838179,0.13822788838150532,0.12568110708902866,0.21604412358190217,0.26252066007836844,0.23702557256714418,0.4040763953323928,0.4624890872937773,0.43131402535878965
neuralpoints_16x_2048_selected10,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/neuralpoints_16x_2048_selected10/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,26.35999176985549,26.432004189029925,26.395997979442708,52.791995958885416,2483.505464261756,0.1265869140625,0.0712397207175889,0.09117090238469329,0.240264892578125,0.26144213044200654,0.25040656201268413,0.449798583984375,0.4887587213602318,0.46847002207739885
cg_baseline,OrangeKettlebell,0030,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.478833267425685,28.288345625250475,26.88358944633808,53.76717889267616,2324.984719629893,0.11335397440343024,0.13338799271839993,0.12255766044744903,0.21653937615621968,0.2512871156317758,0.2326228044377577,0.4288789575496855,0.4526779614530087,0.4404572138877167
neuralpoints_16x_2048_selected10,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/neuralpoints_16x_2048_selected10/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,26.757682508481615,28.294998771539237,27.526340640010424,55.05268128002085,2953.7898220916336,0.1229248046875,0.06795393560115429,0.08752388295193872,0.241058349609375,0.24058756190990652,0.24082272567250346,0.466705322265625,0.4728307178497037,0.4697480525048194
cg_baseline,OrangeKettlebell,0040,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.55243464179633,26.352273215747406,24.95235392877187,49.90470785754374,2073.5311704947126,0.13154029551734292,0.14466363027967347,0.13779019702699274,0.2550107953682149,0.2812834224598931,0.2675035713638136,0.47673321465618956,0.49730774152808166,0.48680318170777176
neuralpoints_16x_2048_selected10,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/neuralpoints_16x_2048_selected10/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.78350295833929,25.979766018808075,24.88163448857368,49.76326897714736,2212.7767710037187,0.137420654296875,0.07791878119342177,0.0994490383912755,0.263671875,0.2708043208723983,0.2671905076183183,0.50537109375,0.5120930300862454,0.5087098574850376
