method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
neuralpoints_16x_2048_selected10,N_Acc,nan,nan,10
neuralpoints_16x_2048_selected10,N_Comp,nan,nan,10
neuralpoints_16x_2048_selected10,normals,nan,nan,10
neuralpoints_16x_2048_selected10,CD_Acc,25.730723813611256,1.847010113418264,10
neuralpoints_16x_2048_selected10,CD_Comp,27.182946227196815,1.054212612896612,10
neuralpoints_16x_2048_selected10,chamferL2_old,26.456835020404036,1.3309495889539285,10
neuralpoints_16x_2048_selected10,chamfer-L1,52.91367004080807,2.661899177907857,10
neuralpoints_16x_2048_selected10,chamfer-L2,2617.233757354949,508.08097376560676,10
neuralpoints_16x_2048_selected10,P_5,0.1266693115234375,0.007933620102546082,10
neuralpoints_16x_2048_selected10,R_5,0.0715314270152401,0.0052883944486180326,10
neuralpoints_16x_2048_selected10,F_5,0.09141693941469686,0.006309849646944127,10
neuralpoints_16x_2048_selected10,P_10,0.2454742431640625,0.014146950252835033,10
neuralpoints_16x_2048_selected10,R_10,0.25549021794443727,0.014706008320698846,10
neuralpoints_16x_2048_selected10,F_10,0.25030462867457837,0.013754697875528393,10
neuralpoints_16x_2048_selected10,P_20,0.4727325439453125,0.023551794359982562,10
neuralpoints_16x_2048_selected10,R_20,0.48989625425577,0.023560571113243587,10
neuralpoints_16x_2048_selected10,F_20,0.4809888405451986,0.021710609495512435,10
