method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
pathnet_chunked,N_Acc,nan,nan,1
pathnet_chunked,N_Comp,nan,nan,1
pathnet_chunked,normals,nan,nan,1
pathnet_chunked,CD_Acc,23.628963070879486,0.0,1
pathnet_chunked,CD_Comp,26.50059098591206,0.0,1
pathnet_chunked,chamferL2_old,25.064777028395774,0.0,1
pathnet_chunked,chamfer-L1,50.12955405679155,0.0,1
pathnet_chunked,chamfer-L2,2107.650592347538,0.0,1
pathnet_chunked,P_5,0.12466671040937208,0.0,1
pathnet_chunked,R_5,0.14261861088659913,0.0,1
pathnet_chunked,F_5,0.13303980163354048,0.0,1
pathnet_chunked,P_10,0.2422033598374362,0.0,1
pathnet_chunked,R_10,0.27845097149766085,0.0,1
pathnet_chunked,F_10,0.259065398241451,0.0,1
pathnet_chunked,P_20,0.4732761894536337,0.0,1
pathnet_chunked,R_20,0.5059729473946809,0.0,1
pathnet_chunked,F_20,0.4890787022397376,0.0,1
