method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
pc2pu_4x_chunks256,N_Acc,nan,nan,1
pc2pu_4x_chunks256,N_Comp,nan,nan,1
pc2pu_4x_chunks256,normals,nan,nan,1
pc2pu_4x_chunks256,CD_Acc,23.55446556985006,0.0,1
pc2pu_4x_chunks256,CD_Comp,26.504188497115923,0.0,1
pc2pu_4x_chunks256,chamferL2_old,25.029327033482993,0.0,1
pc2pu_4x_chunks256,chamfer-L1,50.058654066965985,0.0,1
pc2pu_4x_chunks256,chamfer-L2,2114.1686262318003,0.0,1
pc2pu_4x_chunks256,P_5,0.1250775286259542,0.0,1
pc2pu_4x_chunks256,R_5,0.14433805241128794,0.0,1
pc2pu_4x_chunks256,F_5,0.13401932295661667,0.0,1
pc2pu_4x_chunks256,P_10,0.24231323552798983,0.0,1
pc2pu_4x_chunks256,R_10,0.2749848096932856,0.0,1
pc2pu_4x_chunks256,F_10,0.25761728494189995,0.0,1
pc2pu_4x_chunks256,P_20,0.4753871461513995,0.0,1
pc2pu_4x_chunks256,R_20,0.5012299638644492,0.0,1
pc2pu_4x_chunks256,F_20,0.4879666342999515,0.0,1
