method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
pdflow,N_Acc,nan,nan,1
pdflow,N_Comp,nan,nan,1
pdflow,normals,nan,nan,1
pdflow,CD_Acc,23.328113003787205,0.0,1
pdflow,CD_Comp,26.990344501561264,0.0,1
pdflow,chamferL2_old,25.159228752674235,0.0,1
pdflow,chamfer-L1,50.31845750534847,0.0,1
pdflow,chamfer-L2,2121.5051850243085,0.0,1
pdflow,P_5,0.12571454703434398,0.0,1
pdflow,R_5,0.13584599998856053,0.0,1
pdflow,F_5,0.13058405443305562,0.0,1
pdflow,P_10,0.24210990951224895,0.0,1
pdflow,R_10,0.26659659253151685,0.0,1
pdflow,F_10,0.2537639154788171,0.0,1
pdflow,P_20,0.48049970076012893,0.0,1
pdflow,R_20,0.491210301161855,0.0,1
pdflow,F_20,0.48579597256736706,0.0,1
