method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
pmpnetplus_pcn,N_Acc,nan,nan,1
pmpnetplus_pcn,N_Comp,nan,nan,1
pmpnetplus_pcn,normals,nan,nan,1
pmpnetplus_pcn,CD_Acc,45.10413605295126,0.0,1
pmpnetplus_pcn,CD_Comp,116.95801548531063,0.0,1
pmpnetplus_pcn,chamferL2_old,81.03107576913095,0.0,1
pmpnetplus_pcn,chamfer-L1,162.0621515382619,0.0,1
pmpnetplus_pcn,chamfer-L2,42489.51083139911,0.0,1
pmpnetplus_pcn,P_5,0.06689453125,0.0,1
pmpnetplus_pcn,R_5,0.02114235506291493,0.0,1
pmpnetplus_pcn,F_5,0.03212989442692911,0.0,1
pmpnetplus_pcn,P_10,0.12646484375,0.0,1
pmpnetplus_pcn,R_10,0.09270992871885327,0.0,1
pmpnetplus_pcn,F_10,0.10698810376243992,0.0,1
pmpnetplus_pcn,P_20,0.239501953125,0.0,1
pmpnetplus_pcn,R_20,0.24286715554302102,0.0,1
pmpnetplus_pcn,F_20,0.2411728158259772,0.0,1
