method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
pointcleannet,N_Acc,nan,nan,1
pointcleannet,N_Comp,nan,nan,1
pointcleannet,normals,nan,nan,1
pointcleannet,CD_Acc,23.557575800291904,0.0,1
pointcleannet,CD_Comp,26.20775142045054,0.0,1
pointcleannet,chamferL2_old,24.88266361037122,0.0,1
pointcleannet,chamfer-L1,49.76532722074244,0.0,1
pointcleannet,chamfer-L2,2051.3024936674674,0.0,1
pointcleannet,P_5,0.12499875730950549,0.0,1
pointcleannet,R_5,0.1539441339897247,0.0,1
pointcleannet,F_5,0.13796964213123647,0.0,1
pointcleannet,P_10,0.24357529014337667,0.0,1
pointcleannet,R_10,0.28214284300064546,0.0,1
pointcleannet,F_10,0.26144437679851723,0.0,1
pointcleannet,P_20,0.47693467026947495,0.0,1
pointcleannet,R_20,0.49868687993079996,0.0,1
pointcleannet,F_20,0.4875682842362091,0.0,1
