method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
pu_gaussian_pu1k_4x_selected10,N_Acc,nan,nan,10
pu_gaussian_pu1k_4x_selected10,N_Comp,nan,nan,10
pu_gaussian_pu1k_4x_selected10,normals,nan,nan,10
pu_gaussian_pu1k_4x_selected10,CD_Acc,25.151866000286013,1.5862006740310128,10
pu_gaussian_pu1k_4x_selected10,CD_Comp,27.44631642880077,1.2043346806182214,10
pu_gaussian_pu1k_4x_selected10,chamferL2_old,26.29909121454339,1.2617178854556708,10
pu_gaussian_pu1k_4x_selected10,chamfer-L1,52.59818242908678,2.5234357709113415,10
pu_gaussian_pu1k_4x_selected10,chamfer-L2,2272.050151103448,175.97472244834984,10
pu_gaussian_pu1k_4x_selected10,P_5,0.12274683000206052,0.008153414655073585,10
pu_gaussian_pu1k_4x_selected10,R_5,0.1416997780848656,0.006886869011267402,10
pu_gaussian_pu1k_4x_selected10,F_5,0.13151908620702651,0.0075013961411469895,10
pu_gaussian_pu1k_4x_selected10,P_10,0.23633399074469047,0.016559434187494705,10
pu_gaussian_pu1k_4x_selected10,R_10,0.266850450762303,0.014932674818890998,10
pu_gaussian_pu1k_4x_selected10,F_10,0.2506037242326591,0.015465972097025342,10
pu_gaussian_pu1k_4x_selected10,P_20,0.45283639213716526,0.03100411605622098,10
pu_gaussian_pu1k_4x_selected10,R_20,0.4703742601695442,0.027241098221763824,10
pu_gaussian_pu1k_4x_selected10,F_20,0.4612038941994154,0.02743785744408311,10
