method,sequence,frame,pred_file,gt_file,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.617759213033505,26.488399366804423,25.053079289918962,50.106158579837924,2098.367986300955,0.12523735388445165,0.14140646620888223,0.1328316676827739,0.2417838275264892,0.27432219993479495,0.25702730813659047,0.47341338248422776,0.5004960773590293,0.4865781690646267
pucrn_pu1k_4x_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.574327040615024,25.39492510689228,24.484626073753653,48.969252147507305,2026.1079387423579,0.12543469313498004,0.16316787301827546,0.14183458140608704,0.2427764886935048,0.2968029739122706,0.2670849757410308,0.4744403419088919,0.5210110210569989,0.4966363122595943
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.94215055900293,27.307251467895746,25.62470101344934,51.24940202689868,2158.955502050578,0.13069106374841305,0.1471705319619715,0.13844211414215993,0.2517586898667946,0.27569705066386074,0.2631846539595633,0.47687453409990316,0.4680568329832218,0.47242454200700684
pucrn_pu1k_4x_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.9145552055562,26.21492294164931,25.064739073602755,50.12947814720551,2079.4462532174234,0.13121163240770087,0.16721443415026951,0.14704130319477202,0.2517117678617908,0.2951475670975121,0.27170466386845193,0.47745264861438436,0.486341889649472,0.4818562756405549
cg_baseline,OrangeKettlebell,0020,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.459573968552462,27.123948322714178,27.29176114563332,54.58352229126664,2378.607453328108,0.1152224977838179,0.13822788838150532,0.12568110708902866,0.21604412358190217,0.26252066007836844,0.23702557256714418,0.4040763953323928,0.4624890872937773,0.43131402535878965
pucrn_pu1k_4x_selected10,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.426539715814744,26.190523433200347,26.808531574507548,53.617063149015095,2311.99560585228,0.11506296716601187,0.15690265182386695,0.13276446296501665,0.21620192954438056,0.2804827569919009,0.24418273769810264,0.40477272492092453,0.4797923820091478,0.43910135803603784
cg_baseline,OrangeKettlebell,0030,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.478833267425685,28.288345625250475,26.88358944633808,53.76717889267616,2324.984719629893,0.11335397440343024,0.13338799271839993,0.12255766044744903,0.21653937615621968,0.2512871156317758,0.2326228044377577,0.4288789575496855,0.4526779614530087,0.4404572138877167
pucrn_pu1k_4x_selected10,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.44793723365727,27.226866122282576,26.337401677969922,52.674803355939844,2250.6930672951084,0.11313439167222591,0.15147659778357728,0.12952759655271848,0.21691869542335024,0.2689024334157544,0.24012938750561258,0.42982901589972594,0.47429113522887956,0.45096681376012104
cg_baseline,OrangeKettlebell,0040,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.55243464179633,26.352273215747406,24.95235392877187,49.90470785754374,2073.5311704947126,0.13154029551734292,0.14466363027967347,0.13779019702699274,0.2550107953682149,0.2812834224598931,0.2675035713638136,0.47673321465618956,0.49730774152808166,0.48680318170777176
pucrn_pu1k_4x_selected10,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.503623904386473,25.28313371825672,24.393378811321597,48.786757622643194,2003.1074466496768,0.13250915871160893,0.16526980277470665,0.14708737257192908,0.2565878945561706,0.3016025997402777,0.27728016457021815,0.4775914042232306,0.5186536399930349,0.4972762909443223
cg_baseline,OrangeKettlebell,0050,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,nan,nan,nan,26.73945915222923,26.700826260374676,26.720142706301953,53.440285412603906,2280.1556313208107,0.11424836557038673,0.13701728274089003,0.12460119967254353,0.22192345400145283,0.26601819787206227,0.24197842947956938,0.4191945788242944,0.4789822949543239,0.44709853317190057
pucrn_pu1k_4x_selected10,OrangeKettlebell,0050,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0050.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0050.ply,nan,nan,nan,26.708007163804936,25.757113617025688,26.232560390415312,52.465120780830624,2218.8781460512573,0.11467591644047391,0.15824304712698714,0.1329820853224426,0.22215500877960895,0.28500046808196505,0.24968391105918383,0.4199870295458817,0.4986891642942953,0.4559669275921528
cg_baseline,OrangeKettlebell,0060,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0060.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0060.ply,nan,nan,nan,27.262352165023934,29.178067226868468,28.220209695946203,56.440419391892405,2529.5578434992453,0.1111009192672546,0.1317061193835844,0.12052921544569437,0.21556250083387812,0.24738865173013558,0.23038161218313652,0.41687402436258353,0.4326343741037772,0.4246080037250411
pucrn_pu1k_4x_selected10,OrangeKettlebell,0060,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/pucrn_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0060.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0060.ply,nan,nan,nan,27.237588382104576,28.219246650466005,27.72841751628529,55.45683503257058,2462.719956203282,0.11101002655067978,0.151116319662948,0.12799496807812846,0.21592565476111059,0.26472817755476374,0.23784936779475274,0.4171975690784646,0.44904626418224247,0.4325364351868694
cg_baseline,OrangeKettlebell,0070,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0070.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0070.ply,nan,nan,nan,23.397878436684735,27.06073662518216,25.229307530933447,50.458615061866894,2160.3062330937587,0.12388456125745773,0.14683563383478315,0.13438722640093273,0.2449921706209986,0.2857228864521919,0.2637945512006304,0.4868030366097798,0.5030254178411727,0.4947812922448575
