method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
pucrn_pu1k_4x_selected10,N_Acc,nan,nan,10
pucrn_pu1k_4x_selected10,N_Comp,nan,nan,10
pucrn_pu1k_4x_selected10,normals,nan,nan,10
pucrn_pu1k_4x_selected10,CD_Acc,25.483770766368842,1.666803197097822,10
pucrn_pu1k_4x_selected10,CD_Comp,26.53889599353507,1.1691910874220623,10
pucrn_pu1k_4x_selected10,chamferL2_old,26.011333379951957,1.2970207498498045,10
pucrn_pu1k_4x_selected10,chamfer-L1,52.02266675990391,2.594041499699609,10
pucrn_pu1k_4x_selected10,chamfer-L2,2217.321100640523,171.06366017723212,10
pucrn_pu1k_4x_selected10,P_5,0.11894992719966994,0.008195652656137734,10
pucrn_pu1k_4x_selected10,R_5,0.15784281024904506,0.007321630474058933,10
pucrn_pu1k_4x_selected10,F_5,0.1356310415726095,0.007862723302400615,10
pucrn_pu1k_4x_selected10,P_10,0.23006529248462226,0.01637774260250215,10
pucrn_pu1k_4x_selected10,R_10,0.28437332655377884,0.015926775576415357,10
pucrn_pu1k_4x_selected10,F_10,0.2542786843170558,0.015862570305454345,10
pucrn_pu1k_4x_selected10,P_20,0.4434685815492904,0.030709861797520818,10
pucrn_pu1k_4x_selected10,R_20,0.4883654318902626,0.028163673503982575,10
pucrn_pu1k_4x_selected10,F_20,0.4646000992180106,0.02789890270675704,10
