method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
pudm_pu1k_4x_selected10,N_Acc,nan,nan,10
pudm_pu1k_4x_selected10,N_Comp,nan,nan,10
pudm_pu1k_4x_selected10,normals,nan,nan,10
pudm_pu1k_4x_selected10,CD_Acc,25.493086055467195,1.666755919097424,10
pudm_pu1k_4x_selected10,CD_Comp,28.190075259360196,1.219251373107913,10
pudm_pu1k_4x_selected10,chamferL2_old,26.841580657413697,1.3047973248841607,10
pudm_pu1k_4x_selected10,chamfer-L1,53.683161314827395,2.6095946497683213,10
pudm_pu1k_4x_selected10,chamfer-L2,2349.25922377247,176.56991175378212,10
pudm_pu1k_4x_selected10,P_5,0.11885153798626209,0.0080380462231516,10
pudm_pu1k_4x_selected10,R_5,0.1376471523710544,0.006786095679440171,10
pudm_pu1k_4x_selected10,F_5,0.12752918838438368,0.007330850808885043,10
pudm_pu1k_4x_selected10,P_10,0.22987034755614172,0.016221807849041422,10
pudm_pu1k_4x_selected10,R_10,0.2596622449131033,0.014415407047660058,10
pudm_pu1k_4x_selected10,F_10,0.2437900875049368,0.014989564235892473,10
pudm_pu1k_4x_selected10,P_20,0.44303670511774235,0.03091475080299491,10
pudm_pu1k_4x_selected10,R_20,0.45933991201374874,0.02694170905365579,10
pudm_pu1k_4x_selected10,F_20,0.4508085497814334,0.027315283686657945,10
