frame,metric,baseline,puflow_discrete_selected10,delta_for_better,puflow_discrete_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.30626844722714,0.31149076580636503,True
0000,CD_Comp,26.488399366804423,24.035364824315618,2.4530345424888047,True
0000,chamferL2_old,25.053079289918962,23.67081663577138,1.3822626541475813,True
0000,chamfer-L1,50.106158579837924,47.34163327154276,2.7645253082951626,True
0000,chamfer-L2,2098.367986300955,3810.3837362056906,-1712.0157499047355,False
0000,P_5,0.12523735388445165,0.12815220870837732,0.002914854823925672,True
0000,R_5,0.14140646620888223,0.15466878091683894,0.013262314707956718,True
0000,F_5,0.1328316676827739,0.14016743183729938,0.00733576415452547,True
0000,P_10,0.2417838275264892,0.24770698749952777,0.0059231599730385776,True
0000,R_10,0.27432219993479495,0.299075030215621,0.024752830280826033,True
0000,F_10,0.25702730813659047,0.27097809500251685,0.013950786865926379,True
0000,P_20,0.47341338248422776,0.48774508341932754,0.014331700935099778,True
0000,R_20,0.5004960773590293,0.5434693560585895,0.042973278699560136,True
0000,F_20,0.4865781690646267,0.5141016189432855,0.027523449878658846,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.551919254241763,0.39023130476116563,True
0010,CD_Comp,27.307251467895746,25.11247467105441,2.194776796841335,True
0010,chamferL2_old,25.62470101344934,24.332196962648087,1.2925040508012522,True
0010,chamfer-L1,51.24940202689868,48.664393925296174,2.5850081016025044,True
0010,chamfer-L2,2158.955502050578,2013.4608232499213,145.49467880065686,True
0010,P_5,0.13069106374841305,0.13408715452567166,0.003396090777258609,True
0010,R_5,0.1471705319619715,0.16033909906491597,0.013168567102944478,True
0010,F_5,0.13844211414215993,0.14604277499465265,0.007600660852492724,True
0010,P_10,0.2517586898667946,0.25909622906437524,0.0073375391975806226,True
0010,R_10,0.27569705066386074,0.3001779739386648,0.024480923274804056,True
0010,F_10,0.2631846539595633,0.27812826223014475,0.014943608270581443,True
0010,P_20,0.47687453409990316,0.49059346597800507,0.013718931878101914,True
0010,R_20,0.4680568329832218,0.5091274847506129,0.04107065176739105,True
0010,F_20,0.47242454200700684,0.4996886724969123,0.027264130489905447,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,26.980999197080628,0.478574771471834,True
0020,CD_Comp,27.123948322714178,25.24892850830775,1.8750198144064285,True
0020,chamferL2_old,27.29176114563332,26.11496385269419,1.1767972929391313,True
0020,chamfer-L1,54.58352229126664,52.22992770538838,2.3535945858782625,True
0020,chamfer-L2,2378.607453328108,2277.4406184639774,101.16683486413058,True
0020,P_5,0.1152224977838179,0.11675744102541107,0.001534943241593159,True
0020,R_5,0.13822788838150532,0.14884247625100944,0.010614587869504116,True
0020,F_5,0.12568110708902866,0.13086198837077884,0.005180881281750177,True
0020,P_10,0.21604412358190217,0.21913125661836483,0.003087133036462658,True
0020,R_10,0.26252066007836844,0.28485612630108254,0.022335466222714095,True
0020,F_10,0.23702557256714418,0.24770810947770347,0.010682536910559287,True
0020,P_20,0.4040763953323928,0.41342575186349007,0.009349356531097253,True
0020,R_20,0.4624890872937773,0.4997097541259041,0.037220666832126825,True
0020,F_20,0.43131402535878965,0.4524911789278757,0.02117715356908606,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.30403237815027,0.1748008892754136,True
0030,CD_Comp,28.288345625250475,26.5687537938528,1.7195918313976755,True
0030,chamferL2_old,26.88358944633808,25.936393086001537,0.947196360336541,True
0030,chamfer-L1,53.76717889267616,51.872786172003075,1.894392720673082,True
0030,chamfer-L2,2324.984719629893,5456.252544137236,-3131.2678245073434,False
0030,P_5,0.11335397440343024,0.11980680240018447,0.006452827996754229,True
0030,R_5,0.13338799271839993,0.14641133681915827,0.013023344100758338,True
0030,F_5,0.12255766044744903,0.1317797063030877,0.009222045855638655,True
0030,P_10,0.21653937615621968,0.22989211843210008,0.013352742275880403,True
0030,R_10,0.2512871156317758,0.2743456552478445,0.023058539616068685,True
0030,F_10,0.2326228044377577,0.25015937781607767,0.01753657337831996,True
0030,P_20,0.4288789575496855,0.44743303826812153,0.018554080718436006,True
0030,R_20,0.4526779614530087,0.48868082459020096,0.036002863137192254,True
0030,F_20,0.4404572138877167,0.467148185205023,0.0266909713173063,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.421822390603232,0.13061225119309938,True
0040,CD_Comp,26.352273215747406,24.14560745465968,2.206665761087727,True
0040,chamferL2_old,24.95235392877187,23.783714922631454,1.1686390061404168,True
0040,chamfer-L1,49.90470785754374,47.56742984526291,2.3372780122808337,True
0040,chamfer-L2,2073.5311704947126,1906.6999790077384,166.83119148697415,True
0040,P_5,0.13154029551734292,0.1336243361927147,0.0020840406753717677,True
0040,R_5,0.14466363027967347,0.155678959768222,0.011015329488548525,True
0040,F_5,0.13779019702699274,0.14381099661588279,0.006020799588890041,True
0040,P_10,0.2550107953682149,0.25912822946582154,0.00411743409760662,True
0040,R_10,0.2812834224598931,0.30364177626541183,0.02235835380551876,True
0040,F_10,0.2675035713638136,0.27962455381138474,0.01212098244757115,True
0040,P_20,0.47673321465618956,0.48529072461212647,0.008557509955936904,True
0040,R_20,0.49730774152808166,0.5344492859735285,0.03714154444544682,True
0040,F_20,0.48680318170777176,0.5086851130016371,0.021881931293865342,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.32895094836838,0.4105082038608501,True
0050,CD_Comp,26.700826260374676,24.305826239147624,2.3950000212270517,True
0050,chamferL2_old,26.720142706301953,25.317388593758004,1.402754112543949,True
0050,chamfer-L1,53.440285412603906,50.63477718751601,2.805508225087898,True
0050,chamfer-L2,2280.1556313208107,2128.8390435328674,151.31658778794326,True
0050,P_5,0.11424836557038673,0.11628706358062424,0.0020386980102375107,True
0050,R_5,0.13701728274089003,0.15049185722963937,0.013474574488749336,True
0050,F_5,0.12460119967254353,0.13119669362839723,0.006595493955853696,True
0050,P_10,0.22192345400145283,0.2241179329227716,0.002194478921318771,True
0050,R_10,0.26601819787206227,0.2924126594107776,0.02639446153871533,True
0050,F_10,0.24197842947956938,0.2537503944985113,0.011771965018941899,True
0050,P_20,0.4191945788242944,0.425601915427898,0.006407336603603597,True
0050,R_20,0.4789822949543239,0.5245850257486322,0.04560273079430832,True
0050,F_20,0.44709853317190057,0.4699378239969559,0.022839290825055314,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.89151364049237,0.37083852453156396,True
0060,CD_Comp,29.178067226868468,27.05847788718505,2.1195893396834187,True
0060,chamferL2_old,28.220209695946203,26.97499576383871,1.245213932107493,True
0060,chamfer-L1,56.440419391892405,53.94999152767742,2.490427864214986,True
0060,chamfer-L2,2529.5578434992453,2424.6992052653927,104.85863823385262,True
0060,P_5,0.1111009192672546,0.11396278902216114,0.002861869754906543,True
0060,R_5,0.1317061193835844,0.14166499887553052,0.009958879491946127,True
