method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
puflow_discrete_selected10,N_Acc,nan,nan,10
puflow_discrete_selected10,N_Comp,nan,nan,10
puflow_discrete_selected10,normals,nan,nan,10
puflow_discrete_selected10,CD_Acc,25.199674979334123,1.5715327764389588,10
puflow_discrete_selected10,CD_Comp,25.481628903427634,1.3205416342898253,10
puflow_discrete_selected10,chamferL2_old,25.340651941380877,1.3151564182830302,10
puflow_discrete_selected10,chamfer-L1,50.68130388276175,2.6303128365660604,10
puflow_discrete_selected10,chamfer-L2,2876.2326708117394,1211.0909249621097,10
puflow_discrete_selected10,P_5,0.12217056611400301,0.008334067868706187,10
puflow_discrete_selected10,R_5,0.14974302051549734,0.0074359045748838655,10
puflow_discrete_selected10,F_5,0.13452963592197884,0.007894428073706068,10
puflow_discrete_selected10,P_10,0.23588006302234463,0.017026642230863417,10
puflow_discrete_selected10,R_10,0.28764330221644857,0.015583232271058671,10
puflow_discrete_selected10,F_10,0.2591057579355355,0.01598428318387206,10
puflow_discrete_selected10,P_20,0.453241409198318,0.031476755660386484,10
puflow_discrete_selected10,R_20,0.5083163929077815,0.02722568377732642,10
puflow_discrete_selected10,F_20,0.4789100094576252,0.027525373278546622,10
