method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
pufm_pugan_4x_selected10,N_Acc,nan,nan,10
pufm_pugan_4x_selected10,N_Comp,nan,nan,10
pufm_pugan_4x_selected10,normals,nan,nan,10
pufm_pugan_4x_selected10,CD_Acc,26.171811358137923,1.8023218072033844,10
pufm_pugan_4x_selected10,CD_Comp,26.587916115106776,1.2418188384913151,10
pufm_pugan_4x_selected10,chamferL2_old,26.379863736622347,1.411974857348076,10
pufm_pugan_4x_selected10,chamfer-L1,52.759727473244695,2.823949714696152,10
pufm_pugan_4x_selected10,chamfer-L2,2272.5186277371267,203.54104261019927,10
pufm_pugan_4x_selected10,P_5,0.11565622914518014,0.00811646223391411,10
pufm_pugan_4x_selected10,R_5,0.14702699691539822,0.007673428818296802,10
pufm_pugan_4x_selected10,F_5,0.12943855636520293,0.007863909465067001,10
pufm_pugan_4x_selected10,P_10,0.2241180657664517,0.016411762147943567,10
pufm_pugan_4x_selected10,R_10,0.2766817698786315,0.016167905405768016,10
pufm_pugan_4x_selected10,F_10,0.24757887829961298,0.016059831939237847,10
pufm_pugan_4x_selected10,P_20,0.4337373343258613,0.032182957497671194,10
pufm_pugan_4x_selected10,R_20,0.48689411746769135,0.028983119795935614,10
pufm_pugan_4x_selected10,F_20,0.458572088097111,0.029441350280602203,10
