method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
repkpu_pu1k_4x,N_Acc,nan,nan,1
repkpu_pu1k_4x,N_Comp,nan,nan,1
repkpu_pu1k_4x,normals,nan,nan,1
repkpu_pu1k_4x,CD_Acc,23.414381498372467,0.0,1
repkpu_pu1k_4x,CD_Comp,25.97320813186212,0.0,1
repkpu_pu1k_4x,chamferL2_old,24.693794815117293,0.0,1
repkpu_pu1k_4x,chamfer-L1,49.38758963023459,0.0,1
repkpu_pu1k_4x,chamfer-L2,2036.4020140441833,0.0,1
repkpu_pu1k_4x,P_5,0.12506138891042887,0.0,1
repkpu_pu1k_4x,R_5,0.1484338254802051,0.0,1
repkpu_pu1k_4x,F_5,0.13574892282633205,0.0,1
repkpu_pu1k_4x,P_10,0.24202938316820463,0.0,1
repkpu_pu1k_4x,R_10,0.28039216290168517,0.0,1
repkpu_pu1k_4x,F_10,0.2598022334370369,0.0,1
repkpu_pu1k_4x,P_20,0.4781276531442058,0.0,1
repkpu_pu1k_4x,R_20,0.5068744662493604,0.0,1
repkpu_pu1k_4x,F_20,0.49208157873961955,0.0,1
