method,sequence,frame,pred_file,gt_file,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.617759213033505,26.488399366804423,25.053079289918962,50.106158579837924,2098.367986300955,0.12523735388445165,0.14140646620888223,0.1328316676827739,0.2417838275264892,0.27432219993479495,0.25702730813659047,0.47341338248422776,0.5004960773590293,0.4865781690646267
repkpu_pu1k_4x_selected10,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/repkpu_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.414381498372467,25.97320813186212,24.693794815117293,49.38758963023459,2036.4020140441833,0.12506138891042887,0.1484338254802051,0.13574892282633205,0.24202938316820463,0.28039216290168517,0.2598022334370369,0.4781276531442058,0.5068744662493604,0.49208157873961955
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.94215055900293,27.307251467895746,25.62470101344934,51.24940202689868,2158.955502050578,0.13069106374841305,0.1471705319619715,0.13844211414215993,0.2517586898667946,0.27569705066386074,0.2631846539595633,0.47687453409990316,0.4680568329832218,0.47242454200700684
repkpu_pu1k_4x_selected10,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/repkpu_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.698246367992876,26.881332581354805,25.28978947467384,50.57957894934768,2120.1606158697914,0.13293004017586013,0.15310647889489842,0.14230665690382438,0.2561910486979586,0.280684834021229,0.2678792037269553,0.48483401119399683,0.4736843864746493,0.47919435181016334
cg_baseline,OrangeKettlebell,0020,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.459573968552462,27.123948322714178,27.29176114563332,54.58352229126664,2378.607453328108,0.1152224977838179,0.13822788838150532,0.12568110708902866,0.21604412358190217,0.26252066007836844,0.23702557256714418,0.4040763953323928,0.4624890872937773,0.43131402535878965
repkpu_pu1k_4x_selected10,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/repkpu_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.25535540126663,26.851043696429397,27.053199548848013,54.10639909769603,2389.1868377209316,0.11636163262771936,0.14372039274555196,0.12860204020456803,0.21738806124596,0.26707716811181903,0.2396844366141812,0.4081806438483269,0.4666921624498492,0.4354797771204757
cg_baseline,OrangeKettlebell,0030,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.478833267425685,28.288345625250475,26.88358944633808,53.76717889267616,2324.984719629893,0.11335397440343024,0.13338799271839993,0.12255766044744903,0.21653937615621968,0.2512871156317758,0.2326228044377577,0.4288789575496855,0.4526779614530087,0.4404572138877167
repkpu_pu1k_4x_selected10,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/repkpu_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.42855006698213,27.986157662393605,26.707353864687867,53.414707729375735,2319.7455478129846,0.11464726828521289,0.13930826471643318,0.12578038218359158,0.21933366542104438,0.25600828169122436,0.2362561736560455,0.4323055922749123,0.45782600588180694,0.44469995906548077
cg_baseline,OrangeKettlebell,0040,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.55243464179633,26.352273215747406,24.95235392877187,49.90470785754374,2073.5311704947126,0.13154029551734292,0.14466363027967347,0.13779019702699274,0.2550107953682149,0.2812834224598931,0.2675035713638136,0.47673321465618956,0.49730774152808166,0.48680318170777176
repkpu_pu1k_4x_selected10,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/repkpu_pu1k_4x_selected10/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.42822383535582,26.08713335441586,24.75767859488584,49.51535718977168,2053.7303240466467,0.13352585542272635,0.15034227536016012,0.14143596090410224,0.25793379841267755,0.2859672347129943,0.27122807488416534,0.48215059491764195,0.5020247008893075,0.49188698238694745
