metric,baseline,sal,delta_for_better,sal_improved
N_Acc,nan,nan,nan,False
N_Comp,nan,nan,nan,False
normals,nan,nan,nan,False
CD_Acc,23.617759213033505,74.90626350476715,-51.288504291733645,False
CD_Comp,26.488399366804423,94.34296943825085,-67.85457007144643,False
chamferL2_old,25.053079289918962,84.624616471509,-59.57153718159004,False
chamfer-L1,50.106158579837924,169.249232943018,-119.14307436318008,False
chamfer-L2,2098.367986300955,21905.082758647666,-19806.71477234671,False
P_5,0.12523735388445165,0.03972457627118644,-0.0855127776132652,False
R_5,0.14140646620888223,0.0016987624684809384,-0.13970770374040128,False
F_5,0.1328316676827739,0.0032581931490316108,-0.1295734745337423,False
P_10,0.2417838275264892,0.07627118644067797,-0.1655126410858112,False
R_10,0.27432219993479495,0.01135852159707431,-0.26296367833772066,False
F_10,0.25702730813659047,0.019772470725286317,-0.23725483741130415,False
P_20,0.47341338248422776,0.1371822033898305,-0.33623117909439726,False
R_20,0.5004960773590293,0.06966334056513661,-0.4308327367938927,False
F_20,0.4865781690646267,0.09240296282430126,-0.3941752062403254,False
