method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
sal,N_Acc,nan,nan,10
sal,N_Comp,nan,nan,10
sal,normals,nan,nan,10
sal,CD_Acc,49.27426451030995,22.032115782006084,10
sal,CD_Comp,146.26933045924093,160.59197885038162,10
sal,chamferL2_old,97.77179748477543,90.40629335383682,10
sal,chamfer-L1,195.54359496955087,180.81258670767363,10
sal,chamfer-L2,74915.40700318864,124419.98586835041,10
sal,P_5,0.07507300000000001,0.044493394801925386,10
sal,R_5,0.04526303796194855,0.03321578841493651,10
sal,F_5,0.05438615120948305,0.037539370254552236,10
sal,P_10,0.144291,0.08347195627275067,10
sal,R_10,0.0947530632479967,0.0701892295871851,10
sal,F_10,0.10987947465026322,0.07585206278959797,10
sal,P_20,0.27742849999999997,0.1524170217044343,10
sal,R_20,0.1907368909584117,0.1400691184275127,10
sal,F_20,0.21665491754347813,0.1466751972023571,10
