metric,baseline,sal,delta_for_better,sal_improved
N_Acc,nan,nan,nan,False
N_Comp,nan,nan,nan,False
normals,nan,nan,nan,False
CD_Acc,23.617759213033505,75.16656044714968,-51.54880123411617,False
CD_Comp,26.488399366804423,91.74950241963171,-65.26110305282728,False
chamferL2_old,25.053079289918962,83.45803143339069,-58.404952143471725,False
chamfer-L1,50.106158579837924,166.91606286678137,-116.80990428694345,False
chamfer-L2,2098.367986300955,21654.97593798673,-19556.60795168577,False
P_5,0.12523735388445165,0.035895,-0.08934235388445164,False
R_5,0.14140646620888223,0.02903207497609809,-0.11237439123278414,False
F_5,0.1328316676827739,0.03210082486083584,-0.10073084282193806,False
P_10,0.2417838275264892,0.06935,-0.1724338275264892,False
R_10,0.27432219993479495,0.06048535944819478,-0.21383684048660018,False
F_10,0.25702730813659047,0.06461505857202185,-0.19241224956456862,False
P_20,0.47341338248422776,0.13538,-0.33803338248422776,False
R_20,0.5004960773590293,0.1220873879316148,-0.37840868942741457,False
F_20,0.4865781690646267,0.1283905562639414,-0.3581876128006853,False
