method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
sapcu_4x_2048,N_Acc,nan,nan,1
sapcu_4x_2048,N_Comp,nan,nan,1
sapcu_4x_2048,normals,nan,nan,1
sapcu_4x_2048,CD_Acc,32.27862495573987,0.0,1
sapcu_4x_2048,CD_Comp,26.69872986660921,0.0,1
sapcu_4x_2048,chamferL2_old,29.488677411174542,0.0,1
sapcu_4x_2048,chamfer-L1,58.977354822349085,0.0,1
sapcu_4x_2048,chamfer-L2,4471.447196037188,0.0,1
sapcu_4x_2048,P_5,0.1231689453125,0.0,1
sapcu_4x_2048,R_5,0.022558650423194684,0.0,1
sapcu_4x_2048,F_5,0.038133136915779034,0.0,1
sapcu_4x_2048,P_10,0.232666015625,0.0,1
sapcu_4x_2048,R_10,0.17097091688735327,0.0,1
sapcu_4x_2048,F_10,0.197103479963227,0.0,1
sapcu_4x_2048,P_20,0.44384765625,0.0,1
sapcu_4x_2048,R_20,0.5239478870184365,0.0,1
sapcu_4x_2048,F_20,0.48058299765443296,0.0,1
