method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
score_denoise,N_Acc,nan,nan,1
score_denoise,N_Comp,nan,nan,1
score_denoise,normals,nan,nan,1
score_denoise,CD_Acc,23.47014040396987,0.0,1
score_denoise,CD_Comp,26.6187936605095,0.0,1
score_denoise,chamferL2_old,25.044467032239687,0.0,1
score_denoise,chamfer-L1,50.088934064479375,0.0,1
score_denoise,chamfer-L2,2094.0381943188836,0.0,1
score_denoise,P_5,0.12487150580286753,0.0,1
score_denoise,R_5,0.1364720914137479,0.0,1
score_denoise,F_5,0.13041433374605624,0.0,1
score_denoise,P_10,0.2426447635010866,0.0,1
score_denoise,R_10,0.2679768095384127,0.0,1
score_denoise,F_10,0.2546824223942218,0.0,1
score_denoise,P_20,0.47754309153558766,0.0,1
score_denoise,R_20,0.4962639105151241,0.0,1
score_denoise,F_20,0.4867235531185702,0.0,1
