method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
score_denoise_selected10,N_Acc,nan,nan,10
score_denoise_selected10,N_Comp,nan,nan,10
score_denoise_selected10,normals,nan,nan,10
score_denoise_selected10,CD_Acc,25.08631872244561,1.61774334127097,10
score_denoise_selected10,CD_Comp,27.809362848949057,1.1799262500767678,10
score_denoise_selected10,chamferL2_old,26.44784078569733,1.2684355819291797,10
score_denoise_selected10,chamfer-L1,52.89568157139466,2.5368711638583594,10
score_denoise_selected10,chamfer-L2,2285.141262847207,169.95450685019742,10
score_denoise_selected10,P_5,0.1229545714579143,0.008096510190323272,10
score_denoise_selected10,R_5,0.13419960300819442,0.006697781300220479,10
score_denoise_selected10,F_5,0.12831159919490784,0.0073506288885746545,10
score_denoise_selected10,P_10,0.23740897029766767,0.016537129218905138,10
score_denoise_selected10,R_10,0.26054972497298456,0.014165181987313856,10
score_denoise_selected10,F_10,0.24838339208941757,0.015100522066704973,10
score_denoise_selected10,P_20,0.4534984637956484,0.03113239729290332,10
score_denoise_selected10,R_20,0.46580140882545107,0.026983757760891444,10
score_denoise_selected10,F_20,0.45932832262434903,0.02728602138823393,10
