method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
seedformer_pcn,N_Acc,nan,nan,1
seedformer_pcn,N_Comp,nan,nan,1
seedformer_pcn,normals,nan,nan,1
seedformer_pcn,CD_Acc,45.709825157282026,0.0,1
seedformer_pcn,CD_Comp,36.68516789029255,0.0,1
seedformer_pcn,chamferL2_old,41.19749652378729,0.0,1
seedformer_pcn,chamfer-L1,82.39499304757457,0.0,1
seedformer_pcn,chamfer-L2,5171.663401620309,0.0,1
seedformer_pcn,P_5,0.0555419921875,0.0,1
seedformer_pcn,R_5,0.017962180206095395,0.0,1
seedformer_pcn,F_5,0.02714554127173183,0.0,1
seedformer_pcn,P_10,0.11236572265625,0.0,1
seedformer_pcn,R_10,0.08767787838163066,0.0,1
seedformer_pcn,F_10,0.09849840848898872,0.0,1
seedformer_pcn,P_20,0.23297119140625,0.0,1
seedformer_pcn,R_20,0.32554334220186193,0.0,1
seedformer_pcn,F_20,0.27158548515178255,0.0,1
