method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
snowflakenet_pu_4x,N_Acc,nan,nan,1
snowflakenet_pu_4x,N_Comp,nan,nan,1
snowflakenet_pu_4x,normals,nan,nan,1
snowflakenet_pu_4x,CD_Acc,23.32046675169054,0.0,1
snowflakenet_pu_4x,CD_Comp,25.98296179073314,0.0,1
snowflakenet_pu_4x,chamferL2_old,24.651714271211837,0.0,1
snowflakenet_pu_4x,chamfer-L1,49.303428542423674,0.0,1
snowflakenet_pu_4x,chamfer-L2,2041.3838823728706,0.0,1
snowflakenet_pu_4x,P_5,0.12572597978689348,0.0,1
snowflakenet_pu_4x,R_5,0.15096414999619417,0.0,1
snowflakenet_pu_4x,F_5,0.13719402051563317,0.0,1
snowflakenet_pu_4x,P_10,0.24340628423612312,0.0,1
snowflakenet_pu_4x,R_10,0.28320275462627886,0.0,1
snowflakenet_pu_4x,F_10,0.2618007861692959,0.0,1
snowflakenet_pu_4x,P_20,0.481323356019891,0.0,1
snowflakenet_pu_4x,R_20,0.5075955933371201,0.0,1
snowflakenet_pu_4x,F_20,0.49411049236094473,0.0,1
