method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
spu_pointnet_8x,N_Acc,nan,nan,1
spu_pointnet_8x,N_Comp,nan,nan,1
spu_pointnet_8x,normals,nan,nan,1
spu_pointnet_8x,CD_Acc,23.608365707706387,0.0,1
spu_pointnet_8x,CD_Comp,25.074014952721647,0.0,1
spu_pointnet_8x,chamferL2_old,24.34119033021402,0.0,1
spu_pointnet_8x,chamfer-L1,48.68238066042804,0.0,1
spu_pointnet_8x,chamfer-L2,2006.3360405212266,0.0,1
spu_pointnet_8x,P_5,0.12519907901722072,0.0,1
spu_pointnet_8x,R_5,0.1689056511460817,0.0,1
spu_pointnet_8x,F_5,0.14380477289536667,0.0,1
spu_pointnet_8x,P_10,0.24186534802292914,0.0,1
spu_pointnet_8x,R_10,0.3018178650326399,0.0,1
spu_pointnet_8x,F_10,0.2685360931244929,0.0,1
spu_pointnet_8x,P_20,0.47390325107716413,0.0,1
spu_pointnet_8x,R_20,0.5274237283810367,0.0,1
spu_pointnet_8x,F_20,0.49923316699257314,0.0,1
