method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
spupmd_pu1k_4x,N_Acc,nan,nan,1
spupmd_pu1k_4x,N_Comp,nan,nan,1
spupmd_pu1k_4x,normals,nan,nan,1
spupmd_pu1k_4x,CD_Acc,23.342709273830913,0.0,1
spupmd_pu1k_4x,CD_Comp,26.3368023759574,0.0,1
spupmd_pu1k_4x,chamferL2_old,24.839755824894155,0.0,1
spupmd_pu1k_4x,chamfer-L1,49.67951164978831,0.0,1
spupmd_pu1k_4x,chamfer-L2,2074.0283184529426,0.0,1
spupmd_pu1k_4x,P_5,0.12573045347267373,0.0,1
spupmd_pu1k_4x,R_5,0.1442993341783881,0.0,1
spupmd_pu1k_4x,F_5,0.13437643957634893,0.0,1
spupmd_pu1k_4x,P_10,0.24361754162019003,0.0,1
spupmd_pu1k_4x,R_10,0.276463142222189,0.0,1
spupmd_pu1k_4x,F_10,0.25900316296759374,0.0,1
spupmd_pu1k_4x,P_20,0.4812468062854291,0.0,1
spupmd_pu1k_4x,R_20,0.5030070427585684,0.0,1
spupmd_pu1k_4x,F_20,0.49188638297276993,0.0,1
