method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
spupmd_pu1k_4x_selected10,N_Acc,nan,nan,10
spupmd_pu1k_4x_selected10,N_Comp,nan,nan,10
spupmd_pu1k_4x_selected10,normals,nan,nan,10
spupmd_pu1k_4x_selected10,CD_Acc,25.133263280028892,1.5909559484590685,10
spupmd_pu1k_4x_selected10,CD_Comp,27.480733245267167,1.2034281923649315,10
spupmd_pu1k_4x_selected10,chamferL2_old,26.30699826264803,1.2555032098758871,10
spupmd_pu1k_4x_selected10,chamfer-L1,52.61399652529606,2.5110064197517743,10
spupmd_pu1k_4x_selected10,chamfer-L2,2263.99897023217,167.9259301524024,10
spupmd_pu1k_4x_selected10,P_5,0.121482246272455,0.008385695281437571,10
spupmd_pu1k_4x_selected10,R_5,0.14078772450244587,0.006838696414061898,10
spupmd_pu1k_4x_selected10,F_5,0.13039649443389217,0.007627533004800191,10
spupmd_pu1k_4x_selected10,P_10,0.23430558322924044,0.016881728912277145,10
spupmd_pu1k_4x_selected10,R_10,0.2666181525189439,0.014846517954716917,10
spupmd_pu1k_4x_selected10,F_10,0.2493448525264185,0.015575714951411484,10
spupmd_pu1k_4x_selected10,P_20,0.45039879850578857,0.03174290585879996,10
spupmd_pu1k_4x_selected10,R_20,0.4707794881930452,0.027272226907865137,10
spupmd_pu1k_4x_selected10,F_20,0.4600952829616817,0.027680468679613664,10
