method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
superpc_tartanair_novision_4x,N_Acc,nan,nan,1
superpc_tartanair_novision_4x,N_Comp,nan,nan,1
superpc_tartanair_novision_4x,normals,nan,nan,1
superpc_tartanair_novision_4x,CD_Acc,24.63295748202525,0.0,1
superpc_tartanair_novision_4x,CD_Comp,62.12567876548884,0.0,1
superpc_tartanair_novision_4x,chamferL2_old,43.379318123757045,0.0,1
superpc_tartanair_novision_4x,chamfer-L1,86.75863624751409,0.0,1
superpc_tartanair_novision_4x,chamfer-L2,6848.226857941814,0.0,1
superpc_tartanair_novision_4x,P_5,0.14596354166666667,0.0,1
superpc_tartanair_novision_4x,R_5,0.040611026512749955,0.0,1
superpc_tartanair_novision_4x,F_5,0.0635427359512318,0.0,1
superpc_tartanair_novision_4x,P_10,0.2708333333333333,0.0,1
superpc_tartanair_novision_4x,R_10,0.0974568720683588,0.0,1
superpc_tartanair_novision_4x,F_10,0.14333571260590777,0.0,1
superpc_tartanair_novision_4x,P_20,0.49626736111111114,0.0,1
superpc_tartanair_novision_4x,R_20,0.19977244238572953,0.0,1
superpc_tartanair_novision_4x,F_20,0.2848703258273863,0.0,1
