method,sequence,frame,pred_file,gt_file,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
cg_baseline,OrangeKettlebell,0000,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,23.617759213033505,26.488399366804423,25.053079289918962,50.106158579837924,2098.367986300955,0.12523735388445165,0.14140646620888223,0.1328316676827739,0.2417838275264892,0.27432219993479495,0.25702730813659047,0.47341338248422776,0.5004960773590293,0.4865781690646267
traditional_bpa,OrangeKettlebell,0000,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/traditional_bpa/OrangeKettlebell/15fps/frame_0000.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,nan,nan,nan,22.720138173671117,27.45458358410992,25.087360878890518,50.174721757781036,2128.2133552955447,0.13123805774434774,0.13327299742039772,0.1322476999710039,0.25249681374157207,0.26163097916211103,0.2569827561409292,0.49609596354244334,0.4836061282163082,0.4897714318886605
cg_baseline,OrangeKettlebell,0010,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,23.94215055900293,27.307251467895746,25.62470101344934,51.24940202689868,2158.955502050578,0.13069106374841305,0.1471705319619715,0.13844211414215993,0.2517586898667946,0.27569705066386074,0.2631846539595633,0.47687453409990316,0.4680568329832218,0.47242454200700684
traditional_bpa,OrangeKettlebell,0010,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/traditional_bpa/OrangeKettlebell/15fps/frame_0010.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,nan,nan,nan,22.877458998939357,28.595256306851038,25.736357652895197,51.472715305790395,2199.074967814827,0.14024013442711772,0.13883889451398154,0.13953599669764205,0.2684062631138151,0.26402490214358515,0.2661975555810702,0.5068284797093314,0.4521286042438782,0.4779184740517705
cg_baseline,OrangeKettlebell,0020,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,27.459573968552462,27.123948322714178,27.29176114563332,54.58352229126664,2378.607453328108,0.1152224977838179,0.13822788838150532,0.12568110708902866,0.21604412358190217,0.26252066007836844,0.23702557256714418,0.4040763953323928,0.4624890872937773,0.43131402535878965
traditional_bpa,OrangeKettlebell,0020,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/traditional_bpa/OrangeKettlebell/15fps/frame_0020.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0020.ply,nan,nan,nan,25.995071023990196,28.119182562613048,27.05712679330162,54.11425358660324,2335.4843181947954,0.12462014466408888,0.1315702571110239,0.12800092713122058,0.23077440473521366,0.2505955116096278,0.2402768767111714,0.43408367337787546,0.44527984798657205,0.43961048508184747
cg_baseline,OrangeKettlebell,0030,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,25.478833267425685,28.288345625250475,26.88358944633808,53.76717889267616,2324.984719629893,0.11335397440343024,0.13338799271839993,0.12255766044744903,0.21653937615621968,0.2512871156317758,0.2326228044377577,0.4288789575496855,0.4526779614530087,0.4404572138877167
traditional_bpa,OrangeKettlebell,0030,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/traditional_bpa/OrangeKettlebell/15fps/frame_0030.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0030.ply,nan,nan,nan,24.207718000694054,29.505374056500855,26.856546028597457,53.71309205719491,2343.736311454034,0.12465434421771342,0.12743678144580067,0.1260302073587949,0.23854693437864688,0.24266718287870717,0.2405894194457297,0.46347181860266173,0.43929797949813154,0.4510612426219909
cg_baseline,OrangeKettlebell,0040,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/cg/15fps/OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,23.55243464179633,26.352273215747406,24.95235392877187,49.90470785754374,2073.5311704947126,0.13154029551734292,0.14466363027967347,0.13779019702699274,0.2550107953682149,0.2812834224598931,0.2675035713638136,0.47673321465618956,0.49730774152808166,0.48680318170777176
traditional_bpa,OrangeKettlebell,0040,/gpfs/home2/xzhou/code/PointCloudEnhancement/results/method_outputs/traditional_bpa/OrangeKettlebell/15fps/frame_0040.ply,/gpfs/work3/0/prjs0839/data/UVG_CWI_DQPC/UVG-CWI-DQPC/OrangeKettlebell/he/15fps/OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0040.ply,nan,nan,nan,22.72933858264349,28.163865498488367,25.446602040565928,50.893204081131856,2173.4627825417956,0.13983706591083458,0.13590817831465837,0.13784463222340726,0.2711335042834445,0.26660932356822326,0.26885238232737835,0.5051163104789167,0.47094068555772106,0.4874301859609816
