method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,10
cg_baseline,N_Comp,nan,nan,10
cg_baseline,normals,nan,nan,10
cg_baseline,CD_Acc,25.517652660152855,1.6601191487296783,10
cg_baseline,CD_Comp,27.60646585734178,1.209840741165726,10
cg_baseline,chamferL2_old,26.562059258747315,1.2942815790551234,10
cg_baseline,chamfer-L1,53.12411851749463,2.588563158110247,10
cg_baseline,chamfer-L2,2293.1285398956,174.729241310117,10
cg_baseline,P_5,0.11869803464630327,0.007951993462690633,10
cg_baseline,R_5,0.1380809290182819,0.006648569006135304,10
cg_baseline,F_5,0.1276306912573984,0.007273118979874412,10
cg_baseline,P_10,0.22954935980074306,0.016158461774754173,10
cg_baseline,R_10,0.2648255909738189,0.01472348139036174,10
cg_baseline,F_10,0.2458615939694805,0.01515148797236062,10
cg_baseline,P_20,0.4427644995010864,0.030614343906213,10
cg_baseline,R_20,0.46881739359951063,0.02723640298192134,10
cg_baseline,F_20,0.45518571191709434,0.027335640626944047,10
traditional_bpa,N_Acc,nan,nan,10
traditional_bpa,N_Comp,nan,nan,10
traditional_bpa,normals,nan,nan,10
traditional_bpa,CD_Acc,24.265289325868,1.386294110861087,10
traditional_bpa,CD_Comp,28.817121126830195,1.3121496440823972,10
traditional_bpa,chamferL2_old,26.5412052263491,1.1833068642669022,10
traditional_bpa,chamfer-L1,53.0824104526982,2.3666137285338045,10
traditional_bpa,chamfer-L2,2309.2112340132326,157.6990215166717,10
traditional_bpa,P_5,0.12813757016742927,0.007675475752937638,10
traditional_bpa,R_5,0.13068435957867072,0.005860518242035886,10
traditional_bpa,F_5,0.12937671767631334,0.006632779514491019,10
traditional_bpa,P_10,0.24682302161835584,0.015767115127335984,10
traditional_bpa,R_10,0.25348483965531854,0.013306288580557222,10
traditional_bpa,F_10,0.25003270682864837,0.013965652869067594,10
traditional_bpa,P_20,0.4728354118581615,0.02859710026373317,10
traditional_bpa,R_20,0.45150325467497615,0.025972610599481066,10
traditional_bpa,F_20,0.46166192778184334,0.025047412058446242,10
