frame,metric,baseline,traditional_spsr,delta_for_better,traditional_spsr_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,26.06538038566385,-2.4476211726303454,False
0000,CD_Comp,26.488399366804423,26.434953446156985,0.05344592064743736,True
0000,chamferL2_old,25.053079289918962,26.25016691591042,-1.1970876259914576,False
0000,chamfer-L1,50.106158579837924,52.50033383182084,-2.394175251982915,False
0000,chamfer-L2,2098.367986300955,2280.9743386773634,-182.60635237640827,False
0000,P_5,0.12523735388445165,0.11984109468108585,-0.005396259203365797,False
0000,R_5,0.14140646620888223,0.11957950239151086,-0.02182696381737137,False
0000,F_5,0.1328316676827739,0.11971015562769566,-0.01312151205507825,False
0000,P_10,0.2417838275264892,0.23315458473260284,-0.008629242793886355,False
0000,R_10,0.27432219993479495,0.24129026751219074,-0.033031932422604215,False
0000,F_10,0.25702730813659047,0.2371526716146,-0.01987463652199048,False
0000,P_20,0.47341338248422776,0.4626109225535401,-0.01080245993068768,False
0000,R_20,0.5004960773590293,0.46961960656115653,-0.030876470797872813,False
0000,F_20,0.4865781690646267,0.46608891825673676,-0.020489250807889936,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,32.207496963406776,-8.265346404403846,False
0010,CD_Comp,27.307251467895746,26.447959360384775,0.8592921075109707,True
0010,chamferL2_old,25.62470101344934,29.327728161895777,-3.703027148446438,False
0010,chamfer-L1,51.24940202689868,58.655456323791554,-7.406054296892876,False
0010,chamfer-L2,2158.955502050578,3535.1146376157,-1376.1591355651217,False
0010,P_5,0.13069106374841305,0.12260277247077113,-0.00808829127764192,False
0010,R_5,0.1471705319619715,0.13615152564909924,-0.011019006312872254,False
0010,F_5,0.13844211414215993,0.129022432802039,-0.009419681340120917,False
0010,P_10,0.2517586898667946,0.23364502529361666,-0.01811366457317795,False
0010,R_10,0.27569705066386074,0.267555965261025,-0.008141085402835757,False
0010,F_10,0.2631846539595633,0.2494532989717024,-0.013731354987860905,False
0010,P_20,0.47687453409990316,0.4345296378860663,-0.04234489621383686,False
0010,R_20,0.4680568329832218,0.48307241771682713,0.015015584733605314,True
0010,F_20,0.47242454200700684,0.45751702813115963,-0.014907513875847211,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,32.250753293328614,-4.791179324776152,False
0020,CD_Comp,27.123948322714178,26.16827424908731,0.9556740736268665,True
0020,chamferL2_old,27.29176114563332,29.209513771207963,-1.9177526255746429,False
0020,chamfer-L1,54.58352229126664,58.419027542415925,-3.8355052511492858,False
0020,chamfer-L2,2378.607453328108,4708.266555309669,-2329.6591019815605,False
0020,P_5,0.1152224977838179,0.1238630209752581,0.008640523191440194,True
0020,R_5,0.13822788838150532,0.13915766959702436,0.0009297812155190377,True
0020,F_5,0.12568110708902866,0.1310656535093188,0.005384546420290154,True
0020,P_10,0.21604412358190217,0.23076405680324788,0.01471993322134571,True
0020,R_10,0.26252066007836844,0.26754785949365045,0.005027199415282013,True
0020,F_10,0.23702557256714418,0.24779832641607824,0.010772753848934058,True
0020,P_20,0.4040763953323928,0.4312690358831787,0.027192640550785907,True
0020,R_20,0.4624890872937773,0.47158967313052447,0.009100585836747166,True
0020,F_20,0.43131402535878965,0.4505290177366563,0.01921499237786667,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,36.46339457892494,-10.984561311499256,False
0030,CD_Comp,28.288345625250475,26.64421027995512,1.6441353452953535,True
0030,chamferL2_old,26.88358944633808,31.553802429440033,-4.670212983101955,False
0030,chamfer-L1,53.76717889267616,63.107604858880066,-9.34042596620391,False
0030,chamfer-L2,2324.984719629893,5104.520736615845,-2779.536016985952,False
0030,P_5,0.11335397440343024,0.11583935168968691,0.002485377286256668,True
0030,R_5,0.13338799271839993,0.13147895585801717,-0.0019090368603827679,False
0030,F_5,0.12255766044744903,0.12316465496184058,0.0006069945143915428,True
0030,P_10,0.21653937615621968,0.21640032176130872,-0.0001390543949109646,False
0030,R_10,0.2512871156317758,0.25453364896968034,0.0032465333379045336,True
0030,F_10,0.2326228044377577,0.23392308459133335,0.0013002801535756392,True
0030,P_20,0.4288789575496855,0.4140705445827752,-0.014808412966910323,False
0030,R_20,0.4526779614530087,0.4669284240787831,0.014250462625774396,True
0030,F_20,0.4404572138877167,0.43891380970220434,-0.0015434041855123537,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,28.099317495757738,-4.546882853961407,False
0040,CD_Comp,26.352273215747406,25.4708527801317,0.8814204356157056,True
0040,chamferL2_old,24.95235392877187,26.78508513794472,-1.8327312091728487,False
0040,chamfer-L1,49.90470785754374,53.57017027588944,-3.6654624183456974,False
0040,chamfer-L2,2073.5311704947126,2959.5383758936123,-886.0072053988997,False
0040,P_5,0.13154029551734292,0.12907546253134972,-0.002464832985993204,False
0040,R_5,0.14466363027967347,0.13559223182835672,-0.009071398451316742,False
0040,F_5,0.13779019702699274,0.13225361773935962,-0.0055365792876331255,False
0040,P_10,0.2550107953682149,0.2505369546744601,-0.004473840693754838,False
0040,R_10,0.2812834224598931,0.2715490818460841,-0.009734340613808956,False
0040,F_10,0.2675035713638136,0.2606201861431569,-0.006883385220656679,False
0040,P_20,0.47673321465618956,0.46617607611344236,-0.010557138542747202,False
0040,R_20,0.49730774152808166,0.4930930237924907,-0.004214717735590956,False
0040,F_20,0.48680318170777176,0.4792569071870171,-0.007546274520754681,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.506000646850072,0.2334585053791578,True
0050,CD_Comp,26.700826260374676,25.12805035269516,1.5727759076795174,True
0050,chamferL2_old,26.720142706301953,25.817025499772615,0.9031172065293376,True
0050,chamfer-L1,53.440285412603906,51.63405099954523,1.8062344130586752,True
0050,chamfer-L2,2280.1556313208107,2251.142705058066,29.012926262744713,True
0050,P_5,0.11424836557038673,0.12691403094960318,0.012665665379216456,True
0050,R_5,0.13701728274089003,0.13727709916203018,0.0002598164211401466,True
0050,F_5,0.12460119967254353,0.1318923160240834,0.007291116351539881,True
0050,P_10,0.22192345400145283,0.24794902577666098,0.026025571775208145,True
0050,R_10,0.26601819787206227,0.2778810857357073,0.011862887863645033,True
0050,F_10,0.24197842947956938,0.2620631378136997,0.02008470833413034,True
0050,P_20,0.4191945788242944,0.4672868553083192,0.04809227648402481,True
0050,R_20,0.4789822949543239,0.49311919511347174,0.01413690015914787,True
0050,F_20,0.44709853317190057,0.4798556149777364,0.03275708180583581,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,33.662919736301944,-6.40056757127801,False
0060,CD_Comp,29.178067226868468,25.08411412455618,4.0939531023122875,True
0060,chamferL2_old,28.220209695946203,29.373516930429062,-1.1533072344828597,False
0060,chamfer-L1,56.440419391892405,58.747033860858124,-2.3066144689657193,False
0060,chamfer-L2,2529.5578434992453,4182.965121380193,-1653.4072778809473,False
0060,P_5,0.1111009192672546,0.10893950714466785,-0.0021614121225867478,False
