method,metric,mean,std,count
cg_baseline,N_Acc,nan,nan,1
cg_baseline,N_Comp,nan,nan,1
cg_baseline,normals,nan,nan,1
cg_baseline,CD_Acc,23.617759213033505,0.0,1
cg_baseline,CD_Comp,26.488399366804423,0.0,1
cg_baseline,chamferL2_old,25.053079289918962,0.0,1
cg_baseline,chamfer-L1,50.106158579837924,0.0,1
cg_baseline,chamfer-L2,2098.367986300955,0.0,1
cg_baseline,P_5,0.12523735388445165,0.0,1
cg_baseline,R_5,0.14140646620888223,0.0,1
cg_baseline,F_5,0.1328316676827739,0.0,1
cg_baseline,P_10,0.2417838275264892,0.0,1
cg_baseline,R_10,0.27432219993479495,0.0,1
cg_baseline,F_10,0.25702730813659047,0.0,1
cg_baseline,P_20,0.47341338248422776,0.0,1
cg_baseline,R_20,0.5004960773590293,0.0,1
cg_baseline,F_20,0.4865781690646267,0.0,1
upsample_clean_ounet,N_Acc,nan,nan,1
upsample_clean_ounet,N_Comp,nan,nan,1
upsample_clean_ounet,normals,nan,nan,1
upsample_clean_ounet,CD_Acc,21.64989096837974,0.0,1
upsample_clean_ounet,CD_Comp,25.993394185322593,0.0,1
upsample_clean_ounet,chamferL2_old,23.82164257685117,0.0,1
upsample_clean_ounet,chamfer-L1,47.64328515370234,0.0,1
upsample_clean_ounet,chamfer-L2,1970.7031475107765,0.0,1
upsample_clean_ounet,P_5,0.14091727864763753,0.0,1
upsample_clean_ounet,R_5,0.14686529706784182,0.0,1
upsample_clean_ounet,F_5,0.14382981971110304,0.0,1
upsample_clean_ounet,P_10,0.26896811100773965,0.0,1
upsample_clean_ounet,R_10,0.31543832339492023,0.0,1
upsample_clean_ounet,F_10,0.29035563261619707,0.0,1
upsample_clean_ounet,P_20,0.5214869653001841,0.0,1
upsample_clean_ounet,R_20,0.5177582495134923,0.0,1
upsample_clean_ounet,F_20,0.5196159182630155,0.0,1
